HDBSCAN_Cluster,Percent,NumDocs,DocIds
-1,0.3283582089552239,22,"[1, 3, 17, 20, 21, 25, 30, 41, 56, 61, 71, 90, 110, 137, 156, 171, 176, 204, 211, 223, 237, 430]"
0,0.417910447761194,28,"[26, 37, 58, 63, 64, 72, 105, 109, 111, 126, 150, 178, 245, 313, 361, 364, 382, 401, 437, 444, 450, 451, 454, 455, 531, 532, 568, 575]"
1,0.2537313432835821,17,"[12, 70, 74, 96, 172, 177, 197, 202, 228, 329, 431, 439, 474, 485, 497, 522, 576]"
