cluster,dimension,min_samples,min_cluster_size,epsilon,total_groups,outliers,score,group_result
#6,10,1,5,0.0,32,39,0.7905478661651761,"[{'cluster_no': 3, 'count': 5}, {'cluster_no': 8, 'count': 5}, {'cluster_no': 14, 'count': 5}, {'cluster_no': 15, 'count': 5}, {'cluster_no': 20, 'count': 5}, {'cluster_no': 22, 'count': 5}, {'cluster_no': 23, 'count': 5}, {'cluster_no': 30, 'count': 5}, {'cluster_no': 5, 'count': 6}, {'cluster_no': 26, 'count': 6}, {'cluster_no': 19, 'count': 7}, {'cluster_no': 27, 'count': 7}, {'cluster_no': 4, 'count': 8}, {'cluster_no': 9, 'count': 8}, {'cluster_no': 13, 'count': 8}, {'cluster_no': 29, 'count': 8}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 6, 'count': 9}, {'cluster_no': 11, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 18, 'count': 10}, {'cluster_no': 24, 'count': 10}, {'cluster_no': 25, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 7, 'count': 11}, {'cluster_no': 12, 'count': 11}, {'cluster_no': 16, 'count': 12}, {'cluster_no': 28, 'count': 13}, {'cluster_no': 21, 'count': 14}, {'cluster_no': 10, 'count': 21}, {'cluster_no': 17, 'count': 28}, {'cluster_no': -1, 'count': 39}]"
#6,10,1,6,0.0,24,45,0.7892017732534541,"[{'cluster_no': 4, 'count': 6}, {'cluster_no': 20, 'count': 6}, {'cluster_no': 21, 'count': 7}, {'cluster_no': 3, 'count': 8}, {'cluster_no': 8, 'count': 8}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 6, 'count': 9}, {'cluster_no': 12, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 16, 'count': 10}, {'cluster_no': 17, 'count': 10}, {'cluster_no': 18, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 7, 'count': 11}, {'cluster_no': 13, 'count': 11}, {'cluster_no': 14, 'count': 12}, {'cluster_no': 9, 'count': 13}, {'cluster_no': 22, 'count': 13}, {'cluster_no': 19, 'count': 14}, {'cluster_no': 10, 'count': 17}, {'cluster_no': 11, 'count': 21}, {'cluster_no': 5, 'count': 27}, {'cluster_no': 15, 'count': 28}, {'cluster_no': -1, 'count': 45}]"
#6,10,1,7,0.0,21,45,0.7652823384040559,"[{'cluster_no': 18, 'count': 7}, {'cluster_no': 3, 'count': 8}, {'cluster_no': 7, 'count': 8}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 5, 'count': 9}, {'cluster_no': 11, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 15, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 6, 'count': 11}, {'cluster_no': 12, 'count': 11}, {'cluster_no': 13, 'count': 12}, {'cluster_no': 8, 'count': 13}, {'cluster_no': 19, 'count': 13}, {'cluster_no': 9, 'count': 17}, {'cluster_no': 10, 'count': 21}, {'cluster_no': 17, 'count': 21}, {'cluster_no': 16, 'count': 25}, {'cluster_no': 4, 'count': 27}, {'cluster_no': 14, 'count': 28}, {'cluster_no': -1, 'count': 45}]"
#6,10,1,8,0.0,20,41,0.7540665968440156,"[{'cluster_no': 3, 'count': 8}, {'cluster_no': 7, 'count': 8}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 5, 'count': 9}, {'cluster_no': 11, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 15, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 6, 'count': 11}, {'cluster_no': 12, 'count': 11}, {'cluster_no': 13, 'count': 12}, {'cluster_no': 8, 'count': 13}, {'cluster_no': 9, 'count': 17}, {'cluster_no': 10, 'count': 21}, {'cluster_no': 17, 'count': 21}, {'cluster_no': 18, 'count': 24}, {'cluster_no': 16, 'count': 25}, {'cluster_no': 4, 'count': 27}, {'cluster_no': 14, 'count': 28}, {'cluster_no': -1, 'count': 41}]"
#6,10,1,9,0.0,17,41,0.7164616509852748,"[{'cluster_no': 1, 'count': 9}, {'cluster_no': 5, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 12, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 6, 'count': 11}, {'cluster_no': 10, 'count': 12}, {'cluster_no': 7, 'count': 13}, {'cluster_no': 8, 'count': 17}, {'cluster_no': 9, 'count': 21}, {'cluster_no': 14, 'count': 21}, {'cluster_no': 15, 'count': 24}, {'cluster_no': 13, 'count': 25}, {'cluster_no': 4, 'count': 27}, {'cluster_no': 11, 'count': 28}, {'cluster_no': 3, 'count': 36}, {'cluster_no': -1, 'count': 41}]"
#6,10,1,10,0.0,15,38,0.6524929109706209,"[{'cluster_no': 10, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 4, 'count': 11}, {'cluster_no': 8, 'count': 12}, {'cluster_no': 5, 'count': 13}, {'cluster_no': 6, 'count': 17}, {'cluster_no': 1, 'count': 19}, {'cluster_no': 7, 'count': 21}, {'cluster_no': 12, 'count': 21}, {'cluster_no': 13, 'count': 24}, {'cluster_no': 11, 'count': 25}, {'cluster_no': 9, 'count': 28}, {'cluster_no': 3, 'count': 36}, {'cluster_no': -1, 'count': 38}, {'cluster_no': 2, 'count': 39}]"
#6,10,1,11,0.0,12,33,0.6682419932945306,"[{'cluster_no': 0, 'count': 11}, {'cluster_no': 7, 'count': 12}, {'cluster_no': 1, 'count': 19}, {'cluster_no': 6, 'count': 21}, {'cluster_no': 9, 'count': 21}, {'cluster_no': 10, 'count': 24}, {'cluster_no': 8, 'count': 25}, {'cluster_no': -1, 'count': 33}, {'cluster_no': 4, 'count': 36}, {'cluster_no': 2, 'count': 39}, {'cluster_no': 5, 'count': 41}, {'cluster_no': 3, 'count': 43}]"
#6,10,1,12,0.0,11,44,0.6556386805006373,"[{'cluster_no': 6, 'count': 12}, {'cluster_no': 0, 'count': 19}, {'cluster_no': 5, 'count': 21}, {'cluster_no': 8, 'count': 21}, {'cluster_no': 9, 'count': 24}, {'cluster_no': 7, 'count': 25}, {'cluster_no': 3, 'count': 36}, {'cluster_no': 1, 'count': 39}, {'cluster_no': 4, 'count': 41}, {'cluster_no': 2, 'count': 43}, {'cluster_no': -1, 'count': 44}]"
#6,10,1,13,0.0,10,56,0.6465718310021433,"[{'cluster_no': 0, 'count': 19}, {'cluster_no': 5, 'count': 21}, {'cluster_no': 7, 'count': 21}, {'cluster_no': 8, 'count': 24}, {'cluster_no': 6, 'count': 25}, {'cluster_no': 3, 'count': 36}, {'cluster_no': 1, 'count': 39}, {'cluster_no': 4, 'count': 41}, {'cluster_no': 2, 'count': 43}, {'cluster_no': -1, 'count': 56}]"
#6,10,1,14,0.0,10,56,0.6465718310021433,"[{'cluster_no': 0, 'count': 19}, {'cluster_no': 5, 'count': 21}, {'cluster_no': 7, 'count': 21}, {'cluster_no': 8, 'count': 24}, {'cluster_no': 6, 'count': 25}, {'cluster_no': 3, 'count': 36}, {'cluster_no': 1, 'count': 39}, {'cluster_no': 4, 'count': 41}, {'cluster_no': 2, 'count': 43}, {'cluster_no': -1, 'count': 56}]"
