cluster,dimension,min_samples,min_cluster_size,epsilon,total_groups,outliers,score,group_result
#6,15,None,10,0.0,8,79,0.6681038179731513,"[{'cluster_no': 0, 'count': 11}, {'cluster_no': 4, 'count': 18}, {'cluster_no': 5, 'count': 19}, {'cluster_no': 6, 'count': 20}, {'cluster_no': 2, 'count': 35}, {'cluster_no': 3, 'count': 42}, {'cluster_no': -1, 'count': 79}, {'cluster_no': 1, 'count': 101}]"
#6,15,None,11,0.0,7,84,0.7222005338563544,"[{'cluster_no': 5, 'count': 19}, {'cluster_no': 4, 'count': 21}, {'cluster_no': 3, 'count': 22}, {'cluster_no': 1, 'count': 33}, {'cluster_no': 2, 'count': 43}, {'cluster_no': -1, 'count': 84}, {'cluster_no': 0, 'count': 103}]"
#6,15,None,12,0.0,6,85,0.7440528476361853,"[{'cluster_no': 3, 'count': 21}, {'cluster_no': 1, 'count': 35}, {'cluster_no': 2, 'count': 41}, {'cluster_no': 4, 'count': 49}, {'cluster_no': -1, 'count': 85}, {'cluster_no': 0, 'count': 94}]"
#6,15,None,13,0.0,6,88,0.7493137701426773,"[{'cluster_no': 3, 'count': 25}, {'cluster_no': 1, 'count': 30}, {'cluster_no': 2, 'count': 39}, {'cluster_no': 4, 'count': 50}, {'cluster_no': -1, 'count': 88}, {'cluster_no': 0, 'count': 93}]"
#6,15,None,14,0.0,6,95,0.7540382991420285,"[{'cluster_no': 3, 'count': 18}, {'cluster_no': 1, 'count': 28}, {'cluster_no': 2, 'count': 37}, {'cluster_no': 4, 'count': 51}, {'cluster_no': -1, 'count': 95}, {'cluster_no': 0, 'count': 96}]"
#6,15,None,15,0.0,6,94,0.7583540721614909,"[{'cluster_no': 3, 'count': 23}, {'cluster_no': 1, 'count': 27}, {'cluster_no': 2, 'count': 33}, {'cluster_no': 4, 'count': 52}, {'cluster_no': -1, 'count': 94}, {'cluster_no': 0, 'count': 96}]"
#6,15,1,5,0.0,32,20,0.7440815045244528,"[{'cluster_no': 5, 'count': 5}, {'cluster_no': 7, 'count': 5}, {'cluster_no': 8, 'count': 5}, {'cluster_no': 11, 'count': 5}, {'cluster_no': 20, 'count': 5}, {'cluster_no': 21, 'count': 5}, {'cluster_no': 23, 'count': 5}, {'cluster_no': 24, 'count': 5}, {'cluster_no': 28, 'count': 5}, {'cluster_no': 6, 'count': 7}, {'cluster_no': 13, 'count': 7}, {'cluster_no': 14, 'count': 7}, {'cluster_no': 18, 'count': 7}, {'cluster_no': 19, 'count': 8}, {'cluster_no': 22, 'count': 8}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 3, 'count': 9}, {'cluster_no': 9, 'count': 9}, {'cluster_no': 26, 'count': 9}, {'cluster_no': 29, 'count': 9}, {'cluster_no': 4, 'count': 10}, {'cluster_no': 25, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 10, 'count': 11}, {'cluster_no': 12, 'count': 11}, {'cluster_no': 15, 'count': 12}, {'cluster_no': 30, 'count': 14}, {'cluster_no': 27, 'count': 16}, {'cluster_no': -1, 'count': 20}, {'cluster_no': 17, 'count': 21}, {'cluster_no': 2, 'count': 27}, {'cluster_no': 16, 'count': 28}]"
#6,15,1,6,0.0,22,25,0.6469947694505517,"[{'cluster_no': 10, 'count': 7}, {'cluster_no': 11, 'count': 7}, {'cluster_no': 18, 'count': 7}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 3, 'count': 9}, {'cluster_no': 7, 'count': 9}, {'cluster_no': 20, 'count': 9}, {'cluster_no': 4, 'count': 10}, {'cluster_no': 19, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 8, 'count': 11}, {'cluster_no': 9, 'count': 11}, {'cluster_no': 5, 'count': 12}, {'cluster_no': 14, 'count': 12}, {'cluster_no': 12, 'count': 13}, {'cluster_no': 13, 'count': 13}, {'cluster_no': 16, 'count': 21}, {'cluster_no': -1, 'count': 25}, {'cluster_no': 17, 'count': 25}, {'cluster_no': 2, 'count': 27}, {'cluster_no': 15, 'count': 28}, {'cluster_no': 6, 'count': 39}]"
#6,15,1,7,0.0,21,18,0.661789944679858,"[{'cluster_no': 11, 'count': 7}, {'cluster_no': 12, 'count': 7}, {'cluster_no': 19, 'count': 7}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 3, 'count': 9}, {'cluster_no': 7, 'count': 9}, {'cluster_no': 4, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 8, 'count': 11}, {'cluster_no': 9, 'count': 11}, {'cluster_no': 5, 'count': 12}, {'cluster_no': 15, 'count': 12}, {'cluster_no': 13, 'count': 13}, {'cluster_no': 14, 'count': 13}, {'cluster_no': -1, 'count': 18}, {'cluster_no': 17, 'count': 21}, {'cluster_no': 18, 'count': 25}, {'cluster_no': 10, 'count': 26}, {'cluster_no': 2, 'count': 27}, {'cluster_no': 16, 'count': 28}, {'cluster_no': 6, 'count': 39}]"
#6,15,1,8,0.0,18,32,0.6980625069174455,"[{'cluster_no': 1, 'count': 9}, {'cluster_no': 3, 'count': 9}, {'cluster_no': 7, 'count': 9}, {'cluster_no': 4, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 8, 'count': 11}, {'cluster_no': 9, 'count': 11}, {'cluster_no': 5, 'count': 12}, {'cluster_no': 14, 'count': 12}, {'cluster_no': 12, 'count': 13}, {'cluster_no': 13, 'count': 13}, {'cluster_no': 16, 'count': 21}, {'cluster_no': 10, 'count': 26}, {'cluster_no': 2, 'count': 27}, {'cluster_no': 15, 'count': 28}, {'cluster_no': -1, 'count': 32}, {'cluster_no': 11, 'count': 32}, {'cluster_no': 6, 'count': 39}]"
#6,15,1,9,0.0,18,32,0.6980625069174455,"[{'cluster_no': 1, 'count': 9}, {'cluster_no': 3, 'count': 9}, {'cluster_no': 7, 'count': 9}, {'cluster_no': 4, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 8, 'count': 11}, {'cluster_no': 9, 'count': 11}, {'cluster_no': 5, 'count': 12}, {'cluster_no': 14, 'count': 12}, {'cluster_no': 12, 'count': 13}, {'cluster_no': 13, 'count': 13}, {'cluster_no': 16, 'count': 21}, {'cluster_no': 10, 'count': 26}, {'cluster_no': 2, 'count': 27}, {'cluster_no': 15, 'count': 28}, {'cluster_no': -1, 'count': 32}, {'cluster_no': 11, 'count': 32}, {'cluster_no': 6, 'count': 39}]"
#6,15,1,10,0.0,15,50,0.7071427214283624,"[{'cluster_no': 2, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 5, 'count': 11}, {'cluster_no': 6, 'count': 11}, {'cluster_no': 3, 'count': 12}, {'cluster_no': 11, 'count': 12}, {'cluster_no': 9, 'count': 13}, {'cluster_no': 10, 'count': 13}, {'cluster_no': 13, 'count': 21}, {'cluster_no': 7, 'count': 26}, {'cluster_no': 12, 'count': 28}, {'cluster_no': 8, 'count': 32}, {'cluster_no': 1, 'count': 36}, {'cluster_no': 4, 'count': 39}, {'cluster_no': -1, 'count': 50}]"
#6,15,1,11,0.0,14,60,0.7030153498188232,"[{'cluster_no': 0, 'count': 11}, {'cluster_no': 4, 'count': 11}, {'cluster_no': 5, 'count': 11}, {'cluster_no': 2, 'count': 12}, {'cluster_no': 10, 'count': 12}, {'cluster_no': 8, 'count': 13}, {'cluster_no': 9, 'count': 13}, {'cluster_no': 12, 'count': 21}, {'cluster_no': 6, 'count': 26}, {'cluster_no': 11, 'count': 28}, {'cluster_no': 7, 'count': 32}, {'cluster_no': 1, 'count': 36}, {'cluster_no': 3, 'count': 39}, {'cluster_no': -1, 'count': 60}]"
#6,15,1,12,0.0,10,70,0.7024379242547726,"[{'cluster_no': 1, 'count': 12}, {'cluster_no': 6, 'count': 13}, {'cluster_no': 8, 'count': 21}, {'cluster_no': 4, 'count': 26}, {'cluster_no': 7, 'count': 28}, {'cluster_no': 5, 'count': 32}, {'cluster_no': 0, 'count': 36}, {'cluster_no': 3, 'count': 39}, {'cluster_no': 2, 'count': 48}, {'cluster_no': -1, 'count': 70}]"
#6,15,1,13,0.0,9,82,0.6994004030692886,"[{'cluster_no': 5, 'count': 13}, {'cluster_no': 7, 'count': 21}, {'cluster_no': 3, 'count': 26}, {'cluster_no': 6, 'count': 28}, {'cluster_no': 4, 'count': 32}, {'cluster_no': 0, 'count': 36}, {'cluster_no': 2, 'count': 39}, {'cluster_no': 1, 'count': 48}, {'cluster_no': -1, 'count': 82}]"
#6,15,1,14,0.0,8,82,0.669431227433675,"[{'cluster_no': 6, 'count': 21}, {'cluster_no': 3, 'count': 26}, {'cluster_no': 5, 'count': 28}, {'cluster_no': 0, 'count': 36}, {'cluster_no': 2, 'count': 39}, {'cluster_no': 4, 'count': 45}, {'cluster_no': 1, 'count': 48}, {'cluster_no': -1, 'count': 82}]"
#6,15,1,15,0.0,8,82,0.669431227433675,"[{'cluster_no': 6, 'count': 21}, {'cluster_no': 3, 'count': 26}, {'cluster_no': 5, 'count': 28}, {'cluster_no': 0, 'count': 36}, {'cluster_no': 2, 'count': 39}, {'cluster_no': 4, 'count': 45}, {'cluster_no': 1, 'count': 48}, {'cluster_no': -1, 'count': 82}]"
#6,15,2,5,0.0,30,32,0.7573192716182273,"[{'cluster_no': 6, 'count': 5}, {'cluster_no': 7, 'count': 5}, {'cluster_no': 9, 'count': 5}, {'cluster_no': 19, 'count': 5}, {'cluster_no': 21, 'count': 5}, {'cluster_no': 22, 'count': 5}, {'cluster_no': 26, 'count': 5}, {'cluster_no': 5, 'count': 7}, {'cluster_no': 13, 'count': 7}, {'cluster_no': 14, 'count': 7}, {'cluster_no': 15, 'count': 7}, {'cluster_no': 23, 'count': 7}, {'cluster_no': 25, 'count': 8}, {'cluster_no': 27, 'count': 8}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 4, 'count': 9}, {'cluster_no': 8, 'count': 9}, {'cluster_no': 24, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 11, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 10, 'count': 11}, {'cluster_no': 16, 'count': 12}, {'cluster_no': 12, 'count': 13}, {'cluster_no': 28, 'count': 14}, {'cluster_no': 20, 'count': 16}, {'cluster_no': 18, 'count': 20}, {'cluster_no': 3, 'count': 26}, {'cluster_no': 17, 'count': 28}, {'cluster_no': -1, 'count': 32}]"
#6,15,2,6,0.0,21,22,0.6686900585141577,"[{'cluster_no': 12, 'count': 7}, {'cluster_no': 13, 'count': 7}, {'cluster_no': 15, 'count': 7}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 4, 'count': 9}, {'cluster_no': 6, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 10, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 9, 'count': 11}, {'cluster_no': 5, 'count': 12}, {'cluster_no': 17, 'count': 12}, {'cluster_no': 11, 'count': 13}, {'cluster_no': 16, 'count': 13}, {'cluster_no': 19, 'count': 20}, {'cluster_no': -1, 'count': 22}, {'cluster_no': 8, 'count': 25}, {'cluster_no': 14, 'count': 25}, {'cluster_no': 3, 'count': 26}, {'cluster_no': 18, 'count': 28}, {'cluster_no': 7, 'count': 39}]"
#6,15,2,7,0.0,21,22,0.6686900585141577,"[{'cluster_no': 12, 'count': 7}, {'cluster_no': 13, 'count': 7}, {'cluster_no': 15, 'count': 7}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 4, 'count': 9}, {'cluster_no': 6, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 10, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 9, 'count': 11}, {'cluster_no': 5, 'count': 12}, {'cluster_no': 17, 'count': 12}, {'cluster_no': 11, 'count': 13}, {'cluster_no': 16, 'count': 13}, {'cluster_no': 19, 'count': 20}, {'cluster_no': -1, 'count': 22}, {'cluster_no': 8, 'count': 25}, {'cluster_no': 14, 'count': 25}, {'cluster_no': 3, 'count': 26}, {'cluster_no': 18, 'count': 28}, {'cluster_no': 7, 'count': 39}]"
#6,15,2,8,0.0,18,36,0.7054456330608635,"[{'cluster_no': 1, 'count': 9}, {'cluster_no': 4, 'count': 9}, {'cluster_no': 6, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 10, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 9, 'count': 11}, {'cluster_no': 5, 'count': 12}, {'cluster_no': 14, 'count': 12}, {'cluster_no': 12, 'count': 13}, {'cluster_no': 13, 'count': 13}, {'cluster_no': 16, 'count': 20}, {'cluster_no': 8, 'count': 25}, {'cluster_no': 3, 'count': 26}, {'cluster_no': 15, 'count': 28}, {'cluster_no': 11, 'count': 32}, {'cluster_no': -1, 'count': 36}, {'cluster_no': 7, 'count': 39}]"
#6,15,2,9,0.0,18,36,0.7054456330608635,"[{'cluster_no': 1, 'count': 9}, {'cluster_no': 4, 'count': 9}, {'cluster_no': 6, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 10, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 9, 'count': 11}, {'cluster_no': 5, 'count': 12}, {'cluster_no': 14, 'count': 12}, {'cluster_no': 12, 'count': 13}, {'cluster_no': 13, 'count': 13}, {'cluster_no': 16, 'count': 20}, {'cluster_no': 8, 'count': 25}, {'cluster_no': 3, 'count': 26}, {'cluster_no': 15, 'count': 28}, {'cluster_no': 11, 'count': 32}, {'cluster_no': -1, 'count': 36}, {'cluster_no': 7, 'count': 39}]"
#6,15,2,10,0.0,15,53,0.7129906300370249,"[{'cluster_no': 2, 'count': 10}, {'cluster_no': 7, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 6, 'count': 11}, {'cluster_no': 3, 'count': 12}, {'cluster_no': 11, 'count': 12}, {'cluster_no': 9, 'count': 13}, {'cluster_no': 10, 'count': 13}, {'cluster_no': 13, 'count': 20}, {'cluster_no': 5, 'count': 25}, {'cluster_no': 12, 'count': 28}, {'cluster_no': 8, 'count': 32}, {'cluster_no': 1, 'count': 36}, {'cluster_no': 4, 'count': 39}, {'cluster_no': -1, 'count': 53}]"
#6,15,2,11,0.0,13,73,0.7086468374793725,"[{'cluster_no': 0, 'count': 11}, {'cluster_no': 5, 'count': 11}, {'cluster_no': 2, 'count': 12}, {'cluster_no': 9, 'count': 12}, {'cluster_no': 7, 'count': 13}, {'cluster_no': 8, 'count': 13}, {'cluster_no': 11, 'count': 20}, {'cluster_no': 4, 'count': 25}, {'cluster_no': 10, 'count': 28}, {'cluster_no': 6, 'count': 32}, {'cluster_no': 1, 'count': 36}, {'cluster_no': 3, 'count': 39}, {'cluster_no': -1, 'count': 73}]"
#6,15,2,12,0.0,10,72,0.705915355042938,"[{'cluster_no': 1, 'count': 12}, {'cluster_no': 6, 'count': 13}, {'cluster_no': 8, 'count': 20}, {'cluster_no': 4, 'count': 25}, {'cluster_no': 7, 'count': 28}, {'cluster_no': 5, 'count': 32}, {'cluster_no': 0, 'count': 36}, {'cluster_no': 3, 'count': 39}, {'cluster_no': 2, 'count': 48}, {'cluster_no': -1, 'count': 72}]"
#6,15,2,13,0.0,9,84,0.7030257762935003,"[{'cluster_no': 5, 'count': 13}, {'cluster_no': 7, 'count': 20}, {'cluster_no': 3, 'count': 25}, {'cluster_no': 6, 'count': 28}, {'cluster_no': 4, 'count': 32}, {'cluster_no': 0, 'count': 36}, {'cluster_no': 2, 'count': 39}, {'cluster_no': 1, 'count': 48}, {'cluster_no': -1, 'count': 84}]"
#6,15,2,14,0.0,8,84,0.6715878659269477,"[{'cluster_no': 6, 'count': 20}, {'cluster_no': 3, 'count': 25}, {'cluster_no': 5, 'count': 28}, {'cluster_no': 0, 'count': 36}, {'cluster_no': 2, 'count': 39}, {'cluster_no': 4, 'count': 45}, {'cluster_no': 1, 'count': 48}, {'cluster_no': -1, 'count': 84}]"
#6,15,2,15,0.0,8,84,0.6715878659269477,"[{'cluster_no': 6, 'count': 20}, {'cluster_no': 3, 'count': 25}, {'cluster_no': 5, 'count': 28}, {'cluster_no': 0, 'count': 36}, {'cluster_no': 2, 'count': 39}, {'cluster_no': 4, 'count': 45}, {'cluster_no': 1, 'count': 48}, {'cluster_no': -1, 'count': 84}]"
#6,15,3,5,0.0,29,41,0.7288765241818597,"[{'cluster_no': 4, 'count': 5}, {'cluster_no': 5, 'count': 5}, {'cluster_no': 8, 'count': 5}, {'cluster_no': 15, 'count': 5}, {'cluster_no': 20, 'count': 5}, {'cluster_no': 25, 'count': 5}, {'cluster_no': 13, 'count': 6}, {'cluster_no': 3, 'count': 7}, {'cluster_no': 12, 'count': 7}, {'cluster_no': 6, 'count': 8}, {'cluster_no': 18, 'count': 8}, {'cluster_no': 23, 'count': 8}, {'cluster_no': 27, 'count': 8}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 7, 'count': 9}, {'cluster_no': 24, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 9, 'count': 10}, {'cluster_no': 14, 'count': 10}, {'cluster_no': 26, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 16, 'count': 12}, {'cluster_no': 10, 'count': 13}, {'cluster_no': 17, 'count': 13}, {'cluster_no': 19, 'count': 14}, {'cluster_no': 22, 'count': 20}, {'cluster_no': 11, 'count': 25}, {'cluster_no': 21, 'count': 27}, {'cluster_no': -1, 'count': 41}]"
#6,15,3,6,0.0,21,30,0.6895751619608392,"[{'cluster_no': 13, 'count': 6}, {'cluster_no': 12, 'count': 7}, {'cluster_no': 4, 'count': 8}, {'cluster_no': 17, 'count': 8}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 6, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 7, 'count': 10}, {'cluster_no': 14, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 3, 'count': 12}, {'cluster_no': 15, 'count': 12}, {'cluster_no': 9, 'count': 13}, {'cluster_no': 16, 'count': 13}, {'cluster_no': 19, 'count': 20}, {'cluster_no': 5, 'count': 24}, {'cluster_no': 8, 'count': 25}, {'cluster_no': 11, 'count': 25}, {'cluster_no': 18, 'count': 27}, {'cluster_no': -1, 'count': 30}, {'cluster_no': 10, 'count': 36}]"
#6,15,3,7,0.0,20,36,0.7033648505403861,"[{'cluster_no': 12, 'count': 7}, {'cluster_no': 4, 'count': 8}, {'cluster_no': 16, 'count': 8}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 6, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 7, 'count': 10}, {'cluster_no': 13, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 3, 'count': 12}, {'cluster_no': 14, 'count': 12}, {'cluster_no': 9, 'count': 13}, {'cluster_no': 15, 'count': 13}, {'cluster_no': 18, 'count': 20}, {'cluster_no': 5, 'count': 24}, {'cluster_no': 8, 'count': 25}, {'cluster_no': 11, 'count': 25}, {'cluster_no': 17, 'count': 27}, {'cluster_no': -1, 'count': 36}, {'cluster_no': 10, 'count': 36}]"
#6,15,3,8,0.0,19,36,0.6796658884952249,"[{'cluster_no': 4, 'count': 8}, {'cluster_no': 15, 'count': 8}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 6, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 7, 'count': 10}, {'cluster_no': 12, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 3, 'count': 12}, {'cluster_no': 13, 'count': 12}, {'cluster_no': 10, 'count': 13}, {'cluster_no': 14, 'count': 13}, {'cluster_no': 17, 'count': 20}, {'cluster_no': 5, 'count': 24}, {'cluster_no': 8, 'count': 25}, {'cluster_no': 16, 'count': 27}, {'cluster_no': 9, 'count': 32}, {'cluster_no': -1, 'count': 36}, {'cluster_no': 11, 'count': 36}]"
#6,15,3,9,0.0,17,52,0.7307330915679735,"[{'cluster_no': 1, 'count': 9}, {'cluster_no': 5, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 6, 'count': 10}, {'cluster_no': 11, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 3, 'count': 12}, {'cluster_no': 12, 'count': 12}, {'cluster_no': 9, 'count': 13}, {'cluster_no': 13, 'count': 13}, {'cluster_no': 15, 'count': 20}, {'cluster_no': 4, 'count': 24}, {'cluster_no': 7, 'count': 25}, {'cluster_no': 14, 'count': 27}, {'cluster_no': 8, 'count': 32}, {'cluster_no': 10, 'count': 36}, {'cluster_no': -1, 'count': 52}]"
#6,15,3,10,0.0,15,58,0.719748832932775,"[{'cluster_no': 1, 'count': 10}, {'cluster_no': 4, 'count': 10}, {'cluster_no': 9, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 3, 'count': 12}, {'cluster_no': 10, 'count': 12}, {'cluster_no': 7, 'count': 13}, {'cluster_no': 11, 'count': 13}, {'cluster_no': 13, 'count': 20}, {'cluster_no': 5, 'count': 25}, {'cluster_no': 12, 'count': 27}, {'cluster_no': 6, 'count': 32}, {'cluster_no': 2, 'count': 36}, {'cluster_no': 8, 'count': 36}, {'cluster_no': -1, 'count': 58}]"
#6,15,3,11,0.0,11,65,0.7238937870461148,"[{'cluster_no': 0, 'count': 11}, {'cluster_no': 2, 'count': 12}, {'cluster_no': 6, 'count': 13}, {'cluster_no': 9, 'count': 20}, {'cluster_no': 4, 'count': 25}, {'cluster_no': 8, 'count': 27}, {'cluster_no': 5, 'count': 32}, {'cluster_no': 1, 'count': 36}, {'cluster_no': 7, 'count': 36}, {'cluster_no': 3, 'count': 48}, {'cluster_no': -1, 'count': 65}]"
#6,15,3,12,0.0,10,76,0.712823014924291,"[{'cluster_no': 1, 'count': 12}, {'cluster_no': 5, 'count': 13}, {'cluster_no': 8, 'count': 20}, {'cluster_no': 3, 'count': 25}, {'cluster_no': 7, 'count': 27}, {'cluster_no': 4, 'count': 32}, {'cluster_no': 0, 'count': 36}, {'cluster_no': 6, 'count': 36}, {'cluster_no': 2, 'count': 48}, {'cluster_no': -1, 'count': 76}]"
#6,15,3,13,0.0,9,88,0.7102344218439609,"[{'cluster_no': 4, 'count': 13}, {'cluster_no': 7, 'count': 20}, {'cluster_no': 2, 'count': 25}, {'cluster_no': 6, 'count': 27}, {'cluster_no': 3, 'count': 32}, {'cluster_no': 0, 'count': 36}, {'cluster_no': 5, 'count': 36}, {'cluster_no': 1, 'count': 48}, {'cluster_no': -1, 'count': 88}]"
#6,15,3,14,0.0,8,88,0.6782792294743396,"[{'cluster_no': 6, 'count': 20}, {'cluster_no': 2, 'count': 25}, {'cluster_no': 5, 'count': 27}, {'cluster_no': 0, 'count': 36}, {'cluster_no': 4, 'count': 36}, {'cluster_no': 3, 'count': 45}, {'cluster_no': 1, 'count': 48}, {'cluster_no': -1, 'count': 88}]"
#6,15,3,15,0.0,8,88,0.6782792294743396,"[{'cluster_no': 6, 'count': 20}, {'cluster_no': 2, 'count': 25}, {'cluster_no': 5, 'count': 27}, {'cluster_no': 0, 'count': 36}, {'cluster_no': 4, 'count': 36}, {'cluster_no': 3, 'count': 45}, {'cluster_no': 1, 'count': 48}, {'cluster_no': -1, 'count': 88}]"
#6,15,4,5,0.0,28,49,0.787132973017475,"[{'cluster_no': 3, 'count': 5}, {'cluster_no': 8, 'count': 5}, {'cluster_no': 9, 'count': 5}, {'cluster_no': 13, 'count': 5}, {'cluster_no': 19, 'count': 5}, {'cluster_no': 22, 'count': 5}, {'cluster_no': 7, 'count': 6}, {'cluster_no': 11, 'count': 6}, {'cluster_no': 12, 'count': 6}, {'cluster_no': 21, 'count': 7}, {'cluster_no': 24, 'count': 8}, {'cluster_no': 25, 'count': 8}, {'cluster_no': 26, 'count': 8}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 5, 'count': 9}, {'cluster_no': 23, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 6, 'count': 10}, {'cluster_no': 10, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 17, 'count': 11}, {'cluster_no': 16, 'count': 13}, {'cluster_no': 18, 'count': 13}, {'cluster_no': 15, 'count': 20}, {'cluster_no': 20, 'count': 21}, {'cluster_no': 4, 'count': 24}, {'cluster_no': 14, 'count': 27}, {'cluster_no': -1, 'count': 49}]"
#6,15,4,6,0.0,20,45,0.7349208063658866,"[{'cluster_no': 9, 'count': 6}, {'cluster_no': 10, 'count': 6}, {'cluster_no': 18, 'count': 7}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 4, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 7, 'count': 10}, {'cluster_no': 8, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 14, 'count': 11}, {'cluster_no': 5, 'count': 12}, {'cluster_no': 13, 'count': 13}, {'cluster_no': 16, 'count': 13}, {'cluster_no': 12, 'count': 20}, {'cluster_no': 17, 'count': 21}, {'cluster_no': 3, 'count': 24}, {'cluster_no': 15, 'count': 25}, {'cluster_no': 11, 'count': 27}, {'cluster_no': 6, 'count': 36}, {'cluster_no': -1, 'count': 45}]"
#6,15,4,7,0.0,18,57,0.7802629041609087,"[{'cluster_no': 16, 'count': 7}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 4, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 7, 'count': 10}, {'cluster_no': 8, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 12, 'count': 11}, {'cluster_no': 5, 'count': 12}, {'cluster_no': 11, 'count': 13}, {'cluster_no': 14, 'count': 13}, {'cluster_no': 10, 'count': 20}, {'cluster_no': 15, 'count': 21}, {'cluster_no': 3, 'count': 24}, {'cluster_no': 13, 'count': 25}, {'cluster_no': 9, 'count': 27}, {'cluster_no': 6, 'count': 36}, {'cluster_no': -1, 'count': 57}]"
#6,15,4,8,0.0,15,41,0.7025605511327776,"[{'cluster_no': 1, 'count': 9}, {'cluster_no': 5, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 8, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 6, 'count': 12}, {'cluster_no': 13, 'count': 13}, {'cluster_no': 10, 'count': 20}, {'cluster_no': 4, 'count': 24}, {'cluster_no': 11, 'count': 25}, {'cluster_no': 9, 'count': 27}, {'cluster_no': 12, 'count': 29}, {'cluster_no': 7, 'count': 36}, {'cluster_no': -1, 'count': 41}, {'cluster_no': 3, 'count': 49}]"
#6,15,4,9,0.0,15,41,0.7025605511327776,"[{'cluster_no': 1, 'count': 9}, {'cluster_no': 5, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 8, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 6, 'count': 12}, {'cluster_no': 13, 'count': 13}, {'cluster_no': 10, 'count': 20}, {'cluster_no': 4, 'count': 24}, {'cluster_no': 11, 'count': 25}, {'cluster_no': 9, 'count': 27}, {'cluster_no': 12, 'count': 29}, {'cluster_no': 7, 'count': 36}, {'cluster_no': -1, 'count': 41}, {'cluster_no': 3, 'count': 49}]"
#6,15,4,10,0.0,13,47,0.7342256093492218,"[{'cluster_no': 1, 'count': 10}, {'cluster_no': 6, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 4, 'count': 12}, {'cluster_no': 11, 'count': 13}, {'cluster_no': 8, 'count': 20}, {'cluster_no': 9, 'count': 25}, {'cluster_no': 7, 'count': 27}, {'cluster_no': 10, 'count': 29}, {'cluster_no': 2, 'count': 36}, {'cluster_no': 5, 'count': 36}, {'cluster_no': -1, 'count': 47}, {'cluster_no': 3, 'count': 49}]"
