cluster,dimension,min_samples,min_cluster_size,epsilon,total_groups,outliers,score,group_result,group_labels
#2,80,None,5,0.0,7,35,0.9682818501068119,"[{'group': 1, 'count': 7}, {'group': 5, 'count': 7}, {'group': 0, 'count': 8}, {'group': 4, 'count': 10}, {'group': 2, 'count': 11}, {'group': 3, 'count': 12}, {'group': -1, 'count': 35}]","[3, 4, 4, 3, 4, -1, -1, -1, -1, 5, -1, -1, 4, 4, -1, -1, 1, 1, 1, 1, 1, 1, 1, -1, 0, 4, 3, -1, 3, 3, 2, 2, 2, 2, 2, -1, -1, 5, -1, 5, 5, 5, 5, 4, 5, -1, 4, 0, 0, 0, 2, 2, 4, 2, 2, -1, -1, -1, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 3, 3, -1, 3, 3, 3, 3, -1, 2, -1, 2, -1, 4, 0, 0, 0, -1, 0]"
#2,80,None,6,0.0,7,35,0.9682818501068119,"[{'group': 1, 'count': 7}, {'group': 5, 'count': 7}, {'group': 0, 'count': 8}, {'group': 4, 'count': 10}, {'group': 2, 'count': 11}, {'group': 3, 'count': 12}, {'group': -1, 'count': 35}]","[3, 4, 4, 3, 4, -1, -1, -1, -1, 5, -1, -1, 4, 4, -1, -1, 1, 1, 1, 1, 1, 1, 1, -1, 0, 4, 3, -1, 3, 3, 2, 2, 2, 2, 2, -1, -1, 5, -1, 5, 5, 5, 5, 4, 5, -1, 4, 0, 0, 0, 2, 2, 4, 2, 2, -1, -1, -1, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 3, 3, -1, 3, 3, 3, 3, -1, 2, -1, 2, -1, 4, 0, 0, 0, -1, 0]"
#2,80,None,7,0.0,5,39,0.9331213462942461,"[{'group': 0, 'count': 8}, {'group': 1, 'count': 11}, {'group': 2, 'count': 12}, {'group': 3, 'count': 20}, {'group': -1, 'count': 39}]","[2, 3, 3, 2, 3, -1, -1, -1, -1, 3, -1, -1, 3, 3, -1, 3, -1, -1, -1, -1, -1, -1, -1, -1, 0, 3, 2, -1, 2, 2, 1, 1, 1, 1, 1, -1, -1, 3, -1, 3, 3, 3, 3, 3, 3, -1, 3, 0, 0, 0, 1, 1, 3, 1, 1, -1, -1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 2, -1, 2, 2, 2, 2, 3, 1, -1, 1, -1, 3, 0, 0, 0, 3, 0]"
#2,80,None,8,0.0,4,47,0.9209071332086165,"[{'group': 0, 'count': 11}, {'group': 1, 'count': 12}, {'group': 2, 'count': 20}, {'group': -1, 'count': 47}]","[1, 2, 2, 1, 2, -1, -1, -1, -1, 2, -1, -1, 2, 2, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 1, -1, 1, 1, 0, 0, 0, 0, 0, -1, -1, 2, -1, 2, 2, 2, 2, 2, 2, -1, 2, -1, -1, -1, 0, 0, 2, 0, 0, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1, 1, 1, 1, 1, 2, 0, -1, 0, -1, 2, -1, -1, -1, 2, -1]"
#2,80,None,9,0.0,4,47,0.9209071332086165,"[{'group': 0, 'count': 11}, {'group': 1, 'count': 12}, {'group': 2, 'count': 20}, {'group': -1, 'count': 47}]","[1, 2, 2, 1, 2, -1, -1, -1, -1, 2, -1, -1, 2, 2, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 1, -1, 1, 1, 0, 0, 0, 0, 0, -1, -1, 2, -1, 2, 2, 2, 2, 2, 2, -1, 2, -1, -1, -1, 0, 0, 2, 0, 0, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1, 1, 1, 1, 1, 2, 0, -1, 0, -1, 2, -1, -1, -1, 2, -1]"
#2,80,None,10,0.0,4,47,0.9209071332086165,"[{'group': 0, 'count': 11}, {'group': 1, 'count': 12}, {'group': 2, 'count': 20}, {'group': -1, 'count': 47}]","[1, 2, 2, 1, 2, -1, -1, -1, -1, 2, -1, -1, 2, 2, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 1, -1, 1, 1, 0, 0, 0, 0, 0, -1, -1, 2, -1, 2, 2, 2, 2, 2, 2, -1, 2, -1, -1, -1, 0, 0, 2, 0, 0, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1, 1, 1, 1, 1, 2, 0, -1, 0, -1, 2, -1, -1, -1, 2, -1]"
#2,80,None,11,0.0,3,58,0.9221556908507766,"[{'group': 0, 'count': 12}, {'group': 1, 'count': 20}, {'group': -1, 'count': 58}]","[0, 1, 1, 0, 1, -1, -1, -1, -1, 1, -1, -1, 1, 1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 0, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, 1, -1, 1, 1, 1, 1, 1, 1, -1, 1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, 0, 0, 0, 0, 1, -1, -1, -1, -1, 1, -1, -1, -1, 1, -1]"
#2,80,None,12,0.0,1,90,-1.0,"[{'group': -1, 'count': 90}]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
#2,80,None,13,0.0,1,90,-1.0,"[{'group': -1, 'count': 90}]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
#2,80,None,14,0.0,1,90,-1.0,"[{'group': -1, 'count': 90}]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
