cluster,dimension,min_samples,min_cluster_size,epsilon,total_groups,outliers,score,group_result,group_labels
#6,100,None,5,0.0,10,25,0.9088095577581566,"[{'group': 0, 'count': 7}, {'group': 2, 'count': 8}, {'group': 3, 'count': 8}, {'group': 4, 'count': 8}, {'group': 7, 'count': 12}, {'group': 1, 'count': 15}, {'group': 6, 'count': 18}, {'group': 8, 'count': 20}, {'group': 5, 'count': 24}, {'group': -1, 'count': 25}]","[-1, -1, -1, 6, 6, -1, -1, -1, 5, -1, 4, 4, 4, 4, 4, 6, 6, 8, 6, 8, 3, 3, 3, -1, 3, 3, 3, 3, 3, 7, -1, 5, 5, 5, 5, 8, 8, 8, 8, 8, 0, 0, 0, 0, 5, 7, -1, 6, 1, 5, 7, 6, 8, 2, 7, 1, 1, 8, 6, 6, 8, 1, 6, 4, 1, -1, 2, 8, -1, 5, 6, 6, -1, 0, 8, -1, 4, 4, -1, -1, 1, 2, 1, 1, 2, 7, 5, 5, 5, 5, 6, 6, -1, 7, 6, 7, 7, 1, 1, 1, 2, 8, 2, 8, 2, 5, 5, 5, 5, 5, -1, -1, -1, -1, 0, 5, 5, 5, 5, 5, 7, 7, 7, 7, 8, 8, 1, -1, 2, 1, 6, 6, 5, 5, 1, -1, -1, 8, -1, 1, 6, 8, 8, 8, 0]"
#6,100,None,6,0.0,9,12,0.9084451494810815,"[{'group': 0, 'count': 7}, {'group': 2, 'count': 8}, {'group': 3, 'count': 8}, {'group': 4, 'count': 8}, {'group': -1, 'count': 12}, {'group': 1, 'count': 15}, {'group': 7, 'count': 18}, {'group': 5, 'count': 24}, {'group': 6, 'count': 45}]","[-1, -1, 6, 7, 7, 6, 6, 6, 5, 6, 4, 4, 4, 4, 4, 7, 7, 6, 7, 6, 3, 3, 3, -1, 3, 3, 3, 3, 3, 6, -1, 5, 5, 5, 5, 6, 6, 6, 6, 6, 0, 0, 0, 0, 5, 6, 6, 7, 1, 5, 6, 7, 6, 2, 6, 1, 1, 6, 7, 7, 6, 1, 7, 4, 1, 6, 2, 6, 6, 5, 7, 7, -1, 0, 6, 6, 4, 4, 6, 6, 1, 2, 1, 1, 2, 6, 5, 5, 5, 5, 7, 7, -1, 6, 7, 6, 6, 1, 1, 1, 2, 6, 2, 6, 2, 5, 5, 5, 5, 5, -1, -1, -1, -1, 0, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 1, -1, 2, 1, 7, 7, 5, 5, 1, 6, 6, 6, -1, 1, 7, 6, 6, 6, 0]"
#6,100,None,7,0.0,8,23,0.95370936412854,"[{'group': 1, 'count': 8}, {'group': 2, 'count': 8}, {'group': 3, 'count': 8}, {'group': 0, 'count': 15}, {'group': 6, 'count': 18}, {'group': -1, 'count': 23}, {'group': 4, 'count': 24}, {'group': 5, 'count': 41}]","[-1, -1, 5, 6, 6, 5, 5, 5, 4, 5, 3, 3, 3, 3, 3, 6, 6, 5, 6, 5, 2, 2, 2, -1, 2, 2, 2, 2, 2, 5, -1, 4, 4, 4, 4, 5, 5, 5, 5, 5, -1, -1, -1, -1, 4, 5, 5, 6, 0, 4, 5, 6, 5, 1, 5, 0, 0, 5, 6, 6, 5, 0, 6, 3, 0, -1, 1, 5, 5, 4, 6, 6, -1, -1, 5, -1, 3, 3, -1, -1, 0, 1, 0, 0, 1, 5, 4, 4, 4, 4, 6, 6, -1, 5, 6, 5, 5, 0, 0, 0, 1, 5, 1, 5, 1, 4, 4, 4, 4, 4, -1, -1, -1, -1, -1, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 0, -1, 1, 0, 6, 6, 4, 4, 0, 5, 5, 5, -1, 0, 6, 5, 5, 5, -1]"
#6,100,None,8,0.0,5,48,0.9623731410745691,"[{'group': 0, 'count': 15}, {'group': 3, 'count': 18}, {'group': 1, 'count': 24}, {'group': 2, 'count': 40}, {'group': -1, 'count': 48}]","[-1, -1, 2, 3, 3, 2, 2, 2, 1, 2, -1, -1, -1, -1, -1, 3, 3, 2, 3, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, 1, 1, 1, 1, 2, 2, 2, 2, 2, -1, -1, -1, -1, 1, 2, 2, 3, 0, 1, 2, 3, 2, -1, 2, 0, 0, 2, 3, 3, 2, 0, 3, -1, 0, -1, -1, 2, -1, 1, 3, 3, -1, -1, 2, -1, -1, -1, -1, -1, 0, -1, 0, 0, -1, 2, 1, 1, 1, 1, 3, 3, -1, 2, 3, 2, 2, 0, 0, 0, -1, 2, -1, 2, -1, 1, 1, 1, 1, 1, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 0, -1, -1, 0, 3, 3, 1, 1, 0, 2, 2, 2, -1, 0, 3, 2, 2, 2, -1]"
#6,100,None,9,0.0,5,49,0.9695627488721428,"[{'group': 0, 'count': 15}, {'group': 3, 'count': 18}, {'group': 1, 'count': 24}, {'group': 2, 'count': 39}, {'group': -1, 'count': 49}]","[-1, -1, -1, 3, 3, 2, 2, 2, 1, 2, -1, -1, -1, -1, -1, 3, 3, 2, 3, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, 1, 1, 1, 1, 2, 2, 2, 2, 2, -1, -1, -1, -1, 1, 2, 2, 3, 0, 1, 2, 3, 2, -1, 2, 0, 0, 2, 3, 3, 2, 0, 3, -1, 0, -1, -1, 2, -1, 1, 3, 3, -1, -1, 2, -1, -1, -1, -1, -1, 0, -1, 0, 0, -1, 2, 1, 1, 1, 1, 3, 3, -1, 2, 3, 2, 2, 0, 0, 0, -1, 2, -1, 2, -1, 1, 1, 1, 1, 1, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 0, -1, -1, 0, 3, 3, 1, 1, 0, 2, 2, 2, -1, 0, 3, 2, 2, 2, -1]"
#6,100,None,10,0.0,5,49,0.9695627488721428,"[{'group': 0, 'count': 15}, {'group': 3, 'count': 18}, {'group': 1, 'count': 24}, {'group': 2, 'count': 39}, {'group': -1, 'count': 49}]","[-1, -1, -1, 3, 3, 2, 2, 2, 1, 2, -1, -1, -1, -1, -1, 3, 3, 2, 3, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, 1, 1, 1, 1, 2, 2, 2, 2, 2, -1, -1, -1, -1, 1, 2, 2, 3, 0, 1, 2, 3, 2, -1, 2, 0, 0, 2, 3, 3, 2, 0, 3, -1, 0, -1, -1, 2, -1, 1, 3, 3, -1, -1, 2, -1, -1, -1, -1, -1, 0, -1, 0, 0, -1, 2, 1, 1, 1, 1, 3, 3, -1, 2, 3, 2, 2, 0, 0, 0, -1, 2, -1, 2, -1, 1, 1, 1, 1, 1, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 0, -1, -1, 0, 3, 3, 1, 1, 0, 2, 2, 2, -1, 0, 3, 2, 2, 2, -1]"
#6,100,None,11,0.0,5,49,0.9695627488721428,"[{'group': 0, 'count': 15}, {'group': 3, 'count': 18}, {'group': 1, 'count': 24}, {'group': 2, 'count': 39}, {'group': -1, 'count': 49}]","[-1, -1, -1, 3, 3, 2, 2, 2, 1, 2, -1, -1, -1, -1, -1, 3, 3, 2, 3, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, 1, 1, 1, 1, 2, 2, 2, 2, 2, -1, -1, -1, -1, 1, 2, 2, 3, 0, 1, 2, 3, 2, -1, 2, 0, 0, 2, 3, 3, 2, 0, 3, -1, 0, -1, -1, 2, -1, 1, 3, 3, -1, -1, 2, -1, -1, -1, -1, -1, 0, -1, 0, 0, -1, 2, 1, 1, 1, 1, 3, 3, -1, 2, 3, 2, 2, 0, 0, 0, -1, 2, -1, 2, -1, 1, 1, 1, 1, 1, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 0, -1, -1, 0, 3, 3, 1, 1, 0, 2, 2, 2, -1, 0, 3, 2, 2, 2, -1]"
#6,100,None,12,0.0,5,49,0.9695627488721428,"[{'group': 0, 'count': 15}, {'group': 3, 'count': 18}, {'group': 1, 'count': 24}, {'group': 2, 'count': 39}, {'group': -1, 'count': 49}]","[-1, -1, -1, 3, 3, 2, 2, 2, 1, 2, -1, -1, -1, -1, -1, 3, 3, 2, 3, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, 1, 1, 1, 1, 2, 2, 2, 2, 2, -1, -1, -1, -1, 1, 2, 2, 3, 0, 1, 2, 3, 2, -1, 2, 0, 0, 2, 3, 3, 2, 0, 3, -1, 0, -1, -1, 2, -1, 1, 3, 3, -1, -1, 2, -1, -1, -1, -1, -1, 0, -1, 0, 0, -1, 2, 1, 1, 1, 1, 3, 3, -1, 2, 3, 2, 2, 0, 0, 0, -1, 2, -1, 2, -1, 1, 1, 1, 1, 1, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 0, -1, -1, 0, 3, 3, 1, 1, 0, 2, 2, 2, -1, 0, 3, 2, 2, 2, -1]"
#6,100,None,13,0.0,5,49,0.9695627488721428,"[{'group': 0, 'count': 15}, {'group': 3, 'count': 18}, {'group': 1, 'count': 24}, {'group': 2, 'count': 39}, {'group': -1, 'count': 49}]","[-1, -1, -1, 3, 3, 2, 2, 2, 1, 2, -1, -1, -1, -1, -1, 3, 3, 2, 3, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, 1, 1, 1, 1, 2, 2, 2, 2, 2, -1, -1, -1, -1, 1, 2, 2, 3, 0, 1, 2, 3, 2, -1, 2, 0, 0, 2, 3, 3, 2, 0, 3, -1, 0, -1, -1, 2, -1, 1, 3, 3, -1, -1, 2, -1, -1, -1, -1, -1, 0, -1, 0, 0, -1, 2, 1, 1, 1, 1, 3, 3, -1, 2, 3, 2, 2, 0, 0, 0, -1, 2, -1, 2, -1, 1, 1, 1, 1, 1, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 0, -1, -1, 0, 3, 3, 1, 1, 0, 2, 2, 2, -1, 0, 3, 2, 2, 2, -1]"
#6,100,None,14,0.0,5,49,0.9695627488721428,"[{'group': 0, 'count': 15}, {'group': 3, 'count': 18}, {'group': 1, 'count': 24}, {'group': 2, 'count': 39}, {'group': -1, 'count': 49}]","[-1, -1, -1, 3, 3, 2, 2, 2, 1, 2, -1, -1, -1, -1, -1, 3, 3, 2, 3, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, 1, 1, 1, 1, 2, 2, 2, 2, 2, -1, -1, -1, -1, 1, 2, 2, 3, 0, 1, 2, 3, 2, -1, 2, 0, 0, 2, 3, 3, 2, 0, 3, -1, 0, -1, -1, 2, -1, 1, 3, 3, -1, -1, 2, -1, -1, -1, -1, -1, 0, -1, 0, 0, -1, 2, 1, 1, 1, 1, 3, 3, -1, 2, 3, 2, 2, 0, 0, 0, -1, 2, -1, 2, -1, 1, 1, 1, 1, 1, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 0, -1, -1, 0, 3, 3, 1, 1, 0, 2, 2, 2, -1, 0, 3, 2, 2, 2, -1]"
