HDBSCAN_Cluster,Percent,NumDocs,DocIds
-1,0.8981481481481481,97,"[1, 4, 6, 10, 11, 16, 17, 18, 19, 21, 23, 25, 27, 28, 29, 30, 31, 32, 35, 38, 39, 42, 46, 47, 49, 50, 52, 56, 60, 61, 65, 67, 73, 76, 78, 83, 84, 85, 88, 89, 92, 97, 99, 100, 105, 108, 110, 114, 115, 130, 132, 134, 135, 137, 140, 143, 146, 148, 150, 151, 152, 153, 156, 157, 159, 162, 163, 168, 169, 170, 174, 178, 182, 185, 194, 197, 212, 219, 225, 229, 231, 234, 235, 241, 245, 246, 248, 249, 251, 254, 257, 258, 275, 287, 289, 304, 325]"
0,0.046296296296296294,5,"[72, 80, 116, 183, 240]"
1,0.05555555555555555,6,"[177, 224, 263, 267, 278, 282]"
