group,count,key-phrases,NumDocs,DocIds
-1,10,"['intelligent system analyze', 'intelligent system', 'fuzzy linguistic variable', 'aggregated fuzzy score', 'triangular fuzzy number', 'content analysis method', 'inductive content analysis', 'adequate intervention strategy', 'San Bartolomeo student', 'Bartolomeo student dorm']",4,"[204, 227, 274, 333]"
0,7,"['different outdoor environment', 'different thermal environment', 'hot dry city', 'different thermal index', 'smart city application', 'Smart City road', 'smart urban development']",3,"[16, 204, 227]"
1,8,"['comprehensive micrometeorological measurement', 'big displacement crisis', 'historic urban landscape', 'many urban livability', 'various measurable aspect', 'urban livability measure', 'European energy politics', 'single building scale']",5,"[16, 204, 227, 274, 333]"
