cluster,group,count,key-phrases,NumDocs,DocIds
13,-1,16,"['landscape reality', 'Singapore experience', 'wood construction', 'wood construction field', 'wood', 'Singaporean society', 'contemporary Thai youth', 'Thai youth', 'young Thai people', 'youth subculture', 'conspicuous youth subculture', 'sustainable tourism', 'Ecotourism', 'tourism', 'ecotourism development', 'tourism development']",8,"[26, 44, 159, 194, 235, 293, 300, 316]"
13,0,23,"['coastal mangrove forest', 'Singapore River waterfront', 'Waterfront development', 'Derelict waterfront', 'Singapore River development', 'Singapore River landscape', 'acclaimed waterfront', 'pier waterfront redevelopment', 'waterfront redevelopment', 'Swettenham pier waterfront', 'Swettenham pier', 'pier waterfront', 'bamboo fishing raft', 'Songkram river', 'local fishery raft', 'sustainable floating village', 'sustainable floating community', 'floating village', 'long beach', 'wide beach', 'Angeles basin', 'Los Angeles basin', 'beach']",7,"[21, 31, 44, 216, 293, 316, 387]"
13,1,17,"['cultural ecosystem', 'contemporary cultural ecosystem', 'cultural ecosystem service', 'cultural heritage', 'event management profession', 'event industry', 'festival tourism', 'festival environment', 'international festival environment', 'heritage management', 'intangible heritage perspective', 'heritage perspective', 'heritage element', 'World Heritage Convention', 'Celtic culture', 'heritage', 'global heritage']",5,"[21, 61, 287, 300, 305]"
13,2,30,"['Chinatown landscape', 'urban renewal', 'housing landscape', 'landscape meaning', 'urban reclamation', 'redevelopment', 'global urbanism', 'urban architecture', 'Chinese architecture', 'urban design', 'modern city making', 'urban development', 'abstract', 'favela Morro da', 'favelas', 'favela', 'Urban afforestation', 'urbanized area', 'totora productivity', 'construction material', 'Vernacular architecture', 'Modernist high rise', 'high rise housing', 'housing development', 'Architecture', 'Castro da', 'Chilean architect', 'Architectural culture', 'modern architecture', 'architectural competition']",11,"[26, 31, 44, 88, 126, 132, 159, 194, 293, 300, 305]"
