term,score,freq,doc_ids
greenery,0.05763111579839775,8,"[2, 325, 367, 411, 477]"
housing,0.046117297406678776,4,"[2, 411]"
facility,0.04440416856579107,3,[411]
price,0.03458797305500908,3,"[2, 411]"
coefficient,0.029602779043860713,2,[411]
accessibility,0.028845866781454253,3,"[325, 367, 411]"
neighborhood,0.023058648703339388,2,"[52, 411]"
density,0.023058648703339388,2,"[367, 411]"
effect,0.021611668424399155,3,"[2, 35, 52, 376, 411]"
distance,0.016514518362818056,2,"[2, 86, 367, 411]"
phenomenon,0.014801389521930356,1,[411]
measuring,0.014801389521930356,1,[411]
attempt,0.014801389521930356,1,[411]
direction,0.014801389521930356,1,[411]
estate,0.014801389521930356,1,[411]
market,0.014801389521930356,1,[411]
center,0.014801389521930356,1,[411]
forty,0.014801389521930356,1,[411]
radius,0.014801389521930356,1,[411]
pricing,0.014801389521930356,1,[411]
number,0.014801389521930356,1,[411]
syntax,0.014801389521930356,1,[411]
hold,0.014801389521930356,1,[411]
significance,0.014801389521930356,1,[411]
greening,0.014801389521930356,1,[411]
street,0.012842502519063815,9,"[2, 35, 48, 49, 51, 52, 86, 154, 206, 325, 367, 376, 411, 477, 523, 534, 595]"
help,0.011529324351669694,1,"[206, 411]"
baidu,0.011529324351669694,1,"[86, 411]"
show,0.011529324351669694,1,"[411, 529]"
policy,0.011529324351669694,1,"[376, 411]"
exposure,0.009615288927151418,1,"[49, 325, 411]"
life,0.009615288927151418,1,"[411, 477, 529]"
indicator,0.009615288927151418,1,"[2, 48, 411]"
shanghai,0.009615288927151418,1,"[2, 367, 411]"
addition,0.009615288927151418,1,"[268, 411, 477]"
assessment,0.009615288927151418,1,"[411, 474, 529]"
planner,0.009615288927151418,1,"[325, 411, 595]"
maker,0.009615288927151418,1,"[2, 376, 411]"
support,0.008257259181409028,1,"[157, 367, 411, 529]"
issue,0.008257259181409028,1,"[2, 325, 367, 411]"
information,0.007203889474799718,1,"[35, 86, 376, 411, 529]"
system,0.007203889474799718,1,"[154, 277, 411, 477, 534]"
space,0.007203889474799718,1,"[35, 157, 411, 477, 595]"
regression,0.007203889474799718,1,"[2, 49, 52, 411, 529]"
decision,0.007203889474799718,1,"[2, 51, 376, 411, 595]"
feature,0.006963807627377561,2,"[2, 52, 157, 206, 277, 287, 367, 376, 411, 523, 529]"
tool,0.006343223756890752,1,"[287, 325, 376, 411, 474, 595]"
algorithm,0.006343223756890752,1,"[325, 411, 523, 529, 534, 595]"
scale,0.006343223756890752,1,"[2, 48, 86, 287, 411, 523]"
study,0.006053366640062337,3,"[2, 35, 48, 49, 51, 52, 154, 206, 367, 411, 474, 477, 523, 529, 595]"
quality,0.005615541260905826,1,"[2, 35, 86, 367, 411, 523, 529]"
people,0.004985194011148362,1,"[2, 49, 52, 206, 367, 376, 411, 595]"
model,0.0046869521812903225,2,"[2, 35, 49, 52, 157, 206, 268, 277, 287, 376, 411, 477, 529, 595]"
image,0.004429188332372478,1,"[2, 35, 52, 268, 287, 367, 376, 411, 477]"
city,0.0034819038136887806,1,"[2, 48, 52, 86, 154, 157, 287, 325, 376, 411, 477]"
result,0.0030711585866300874,1,"[35, 48, 49, 154, 206, 268, 287, 376, 411, 523, 529, 595]"
view,0.0026933096055516965,1,"[2, 35, 48, 49, 51, 52, 86, 268, 277, 325, 411, 477, 523]"
data,0.002017788880020779,1,"[2, 49, 51, 52, 86, 157, 206, 268, 277, 287, 367, 411, 523, 529, 595]"
