term,score,freq,doc_ids
game,0.19453254800251324,4,[534]
generation,0.04863313700062831,1,[534]
first,0.04863313700062831,1,[534]
shooter,0.04863313700062831,1,[534]
FPS,0.04863313700062831,1,[534]
item,0.04863313700062831,1,[534]
engine,0.04863313700062831,1,[534]
agent,0.04863313700062831,1,[534]
intent,0.04863313700062831,1,[534]
part,0.04863313700062831,1,[534]
selection,0.04863313700062831,1,[534]
system,0.04733984512011243,2,"[154, 277, 411, 477, 534]"
person,0.03788206572691471,1,"[2, 534]"
map,0.02713099445320109,1,"[206, 268, 325, 534]"
building,0.02713099445320109,1,"[2, 157, 287, 534]"
level,0.023669922560056216,1,"[2, 35, 268, 534, 595]"
designer,0.020842020915498184,1,"[2, 35, 268, 287, 534, 595]"
algorithm,0.020842020915498184,1,"[325, 411, 523, 529, 534, 595]"
paper,0.016379923179487475,1,"[48, 51, 86, 157, 376, 474, 523, 534]"
technique,0.016379923179487475,1,"[48, 86, 157, 367, 376, 474, 477, 534]"
approach,0.008849445846812716,1,"[35, 48, 49, 157, 268, 325, 367, 376, 477, 523, 529, 534, 595]"
learning,0.008849445846812716,1,"[2, 51, 52, 86, 154, 157, 206, 268, 277, 287, 367, 376, 534]"
street,0.004688532665689964,1,"[2, 35, 48, 49, 51, 52, 86, 154, 206, 325, 367, 376, 411, 477, 523, 534, 595]"
machine,0.0038019761040816702,1,"[2, 49, 51, 86, 154, 157, 206, 268, 277, 287, 325, 367, 376, 474, 477, 523, 534, 595]"
