term,score,freq,doc_ids
playability,0.1150755917761346,6,[52]
play,0.09589632648011218,5,[52]
child,0.038358530592044866,2,[52]
development,0.03737774287174354,3,"[2, 52, 595]"
place,0.029878812404327094,2,"[2, 52]"
childhood,0.019179265296022433,1,[52]
duration,0.019179265296022433,1,[52]
feeling,0.019179265296022433,1,[52]
amazon,0.019179265296022433,1,[52]
mechanical,0.019179265296022433,1,[52]
turk,0.019179265296022433,1,[52]
mturk,0.019179265296022433,1,[52]
boston,0.019179265296022433,1,[52]
seattle,0.019179265296022433,1,[52]
san,0.019179265296022433,1,[52]
francisco,0.019179265296022433,1,[52]
traffic,0.019179265296022433,1,[52]
speed,0.019179265296022433,1,[52]
crime,0.019179265296022433,1,[52]
beauty,0.019179265296022433,1,[52]
growth,0.019179265296022433,1,[52]
location,0.014939406202163547,1,"[49, 52]"
neighborhood,0.014939406202163547,1,"[52, 411]"
multivariate,0.014939406202163547,1,"[52, 477]"
rate,0.014939406202163547,1,"[35, 52]"
city,0.01353528806448033,3,"[2, 48, 52, 86, 154, 157, 287, 325, 376, 411, 477]"
people,0.01291937602889153,2,"[2, 49, 52, 206, 367, 376, 411, 595]"
benefit,0.012459247623914513,1,"[52, 325, 595]"
time,0.012459247623914513,1,"[52, 277, 287]"
score,0.012459247623914513,1,"[52, 154, 523]"
perception,0.011478459903613182,2,"[2, 35, 52, 154, 206, 277, 367, 376, 595]"
factor,0.010699547108304655,1,"[35, 49, 52, 268]"
research,0.010189516507537827,2,"[48, 49, 51, 52, 86, 268, 277, 287, 367, 523]"
effect,0.009334617347627805,1,"[2, 35, 52, 376, 411]"
regression,0.009334617347627805,1,"[2, 49, 52, 411, 529]"
insight,0.009334617347627805,1,"[51, 52, 86, 477, 595]"
feature,0.00902352537632022,2,"[2, 52, 157, 206, 277, 287, 367, 376, 411, 523, 529]"
environment,0.00902352537632022,2,"[49, 51, 52, 86, 206, 268, 277, 367, 376, 477, 595]"
study,0.007843799026559647,3,"[2, 35, 48, 49, 51, 52, 154, 206, 367, 411, 474, 477, 523, 529, 595]"
measurement,0.007276476000046986,1,"[52, 157, 325, 367, 376, 477, 523]"
model,0.006073233812376192,2,"[2, 35, 49, 52, 157, 206, 268, 277, 287, 376, 411, 477, 529, 595]"
image,0.005739229951806591,1,"[2, 35, 52, 268, 287, 367, 376, 411, 477]"
planning,0.00451176268816011,1,"[2, 35, 49, 52, 154, 157, 325, 367, 376, 474, 477]"
design,0.003979529436196733,1,"[2, 35, 49, 52, 268, 287, 325, 367, 474, 477, 523, 595]"
view,0.003489922305785297,1,"[2, 35, 48, 49, 51, 52, 86, 268, 277, 325, 411, 477, 523]"
learning,0.003489922305785297,1,"[2, 51, 52, 86, 154, 157, 206, 268, 277, 287, 367, 376, 534]"
data,0.0026145996755198827,1,"[2, 49, 51, 52, 86, 157, 206, 268, 277, 287, 367, 411, 523, 529, 595]"
street,0.001848998797736887,1,"[2, 35, 48, 49, 51, 52, 86, 154, 206, 325, 367, 376, 411, 477, 523, 534, 595]"
