term,score,freq,doc_ids
greenery,0.07746520110563852,9,"[2, 325, 367, 411, 477]"
accessibility,0.03446519147914015,3,"[325, 367, 411]"
measurement,0.03354738935086597,5,"[52, 157, 325, 367, 376, 477, 523]"
benefit,0.022976794319426768,2,"[52, 325, 595]"
practice,0.022976794319426768,2,"[35, 325, 367]"
resident,0.022976794319426768,2,"[35, 49, 325]"
planner,0.022976794319426768,2,"[325, 411, 595]"
network,0.019731632329600794,2,"[268, 287, 325, 367]"
literature,0.017684777091137572,1,[325]
situation,0.017684777091137572,1,[325]
GSV,0.017684777091137572,1,[325]
open,0.017684777091137572,1,[325]
OSM,0.017684777091137572,1,[325]
sdna,0.017684777091137572,1,[325]
integration,0.017684777091137572,1,[325]
prioritisation,0.017684777091137572,1,[325]
intervention,0.017684777091137572,1,[325]
performance,0.017684777091137572,1,[325]
cover,0.017684777091137572,1,[325]
mismatch,0.017684777091137572,1,[325]
viewpoint,0.017684777091137572,1,[325]
satellite,0.017684777091137572,1,[325]
step,0.017684777091137572,1,[325]
street,0.015344288724076244,9,"[2, 35, 48, 49, 51, 52, 86, 154, 206, 325, 367, 376, 411, 477, 523, 534, 595]"
response,0.013775296627968985,1,"[157, 325]"
sensing,0.013775296627968985,1,"[49, 325]"
trend,0.013775296627968985,1,"[51, 325]"
exposure,0.011488397159713384,1,"[49, 325, 411]"
resolution,0.011488397159713384,1,"[35, 49, 325]"
singapore,0.011488397159713384,1,"[48, 325, 477]"
perspective,0.011488397159713384,1,"[86, 325, 367]"
contribution,0.011488397159713384,1,"[48, 325, 477]"
datasets,0.011488397159713384,1,"[206, 325, 477]"
issue,0.009865816164800397,1,"[2, 325, 367, 411]"
google,0.009865816164800397,1,"[51, 86, 325, 523]"
map,0.009865816164800397,1,"[206, 268, 325, 534]"
value,0.009865816164800397,1,"[49, 157, 325, 367]"
planning,0.00832039352881475,2,"[2, 35, 49, 52, 154, 157, 325, 367, 376, 474, 477]"
algorithm,0.007578916696544796,1,"[325, 411, 523, 529, 534, 595]"
tool,0.007578916696544796,1,"[287, 325, 376, 411, 474, 595]"
approach,0.006435960615863795,2,"[35, 48, 49, 157, 268, 325, 367, 376, 477, 523, 529, 534, 595]"
analysis,0.004697764104124582,1,"[86, 154, 206, 277, 287, 325, 474, 477, 523, 595]"
area,0.004160196764407375,1,"[35, 49, 86, 154, 206, 268, 325, 474, 477, 523, 595]"
city,0.004160196764407375,1,"[2, 48, 52, 86, 154, 157, 287, 325, 376, 411, 477]"
design,0.003669436233376209,1,"[2, 35, 49, 52, 268, 287, 325, 367, 474, 477, 523, 595]"
view,0.0032179803079318975,1,"[2, 35, 48, 49, 51, 52, 86, 268, 277, 325, 411, 477, 523]"
machine,0.002765073530241215,2,"[2, 49, 51, 86, 154, 157, 206, 268, 277, 287, 325, 367, 376, 474, 477, 523, 534, 595]"
