term,score,freq,doc_ids
soundscapes,0.07043419841470308,3,[157]
concept,0.04695613227646872,2,[157]
aim,0.04695613227646872,2,[157]
experience,0.03929316438049813,3,"[35, 49, 157, 529]"
collection,0.030503675217170016,2,"[51, 157, 367]"
method,0.028102436315742618,4,"[35, 157, 268, 277, 367, 376, 474, 477, 523]"
listener,0.02347806613823436,1,[157]
attitude,0.02347806613823436,1,[157]
citizens,0.02347806613823436,1,[157]
style,0.02347806613823436,1,[157]
professional,0.02347806613823436,1,[157]
industry,0.02347806613823436,1,[157]
innovation,0.02347806613823436,1,[157]
pollution,0.02347806613823436,1,[157]
consideration,0.02347806613823436,1,[157]
communication,0.02347806613823436,1,[157]
data,0.019203783823646032,6,"[2, 49, 51, 52, 86, 157, 206, 268, 277, 287, 367, 411, 523, 529, 595]"
response,0.018287893799200202,1,"[157, 325]"
emotion,0.018287893799200202,1,"[49, 157]"
sound,0.018287893799200202,1,"[157, 595]"
living,0.018287893799200202,1,"[49, 157]"
solution,0.018287893799200202,1,"[157, 287]"
pertaining,0.018287893799200202,1,"[51, 157]"
understanding,0.018287893799200202,1,"[157, 595]"
importance,0.015251837608585008,1,"[35, 154, 157]"
pattern,0.015251837608585008,1,"[157, 477, 595]"
support,0.013097721460166044,1,"[157, 367, 411, 529]"
building,0.013097721460166044,1,"[2, 157, 287, 534]"
value,0.013097721460166044,1,"[49, 157, 325, 367]"
citizen,0.013097721460166044,1,"[157, 277, 376, 474]"
space,0.011426859166923691,1,"[35, 157, 411, 477, 595]"
city,0.011046039684805787,2,"[2, 48, 52, 86, 154, 157, 287, 325, 376, 411, 477]"
process,0.010061665269550848,1,"[2, 35, 157, 287, 523, 595]"
measurement,0.008907410275919587,1,"[52, 157, 325, 367, 376, 477, 523]"
technique,0.007907549121131884,1,"[48, 86, 157, 367, 376, 474, 477, 534]"
paper,0.007907549121131884,1,"[48, 51, 86, 157, 376, 474, 523, 534]"
feature,0.005523019842402894,1,"[2, 52, 157, 206, 277, 287, 367, 376, 411, 523, 529]"
planning,0.005523019842402894,1,"[2, 35, 49, 52, 154, 157, 325, 367, 376, 474, 477]"
approach,0.004272146270875105,1,"[35, 48, 49, 157, 268, 325, 367, 376, 477, 523, 529, 534, 595]"
learning,0.004272146270875105,1,"[2, 51, 52, 86, 154, 157, 206, 268, 277, 287, 367, 376, 534]"
model,0.003717237936885428,1,"[2, 35, 49, 52, 157, 206, 268, 277, 287, 376, 411, 477, 529, 595]"
machine,0.001835436739901496,1,"[2, 49, 51, 86, 154, 157, 206, 268, 277, 287, 325, 367, 376, 474, 477, 523, 534, 595]"
