1-gram,1-gram-score,1-gram-freq,1-gram-docs,1-gram-clusters,2-gram,2-gram-score,2-gram-freq,2-gram-docs,2-gram-clusters,3-gram,3-gram-score,3-gram-freq,3-gram-docs,3-gram-clusters,N-gram,N-gram-score,N-gram-freq,N-gram-docs,N-gram-clusters
flood,0.013745661900000001,20,4,2,pluvial flooding,0.0086627337,4,2,1,urban pluvial flooding,0.0154374357,3,1,1,urban pluvial flooding,0.0154374357,3,1,1
vulnerability,0.012371095700000001,9,3,1,flood vulnerability,0.0064970503,3,2,1,urban flood risk,0.0102916238,2,1,1,flood,0.013745661900000001,20,4,2
risk,0.0089346802,13,3,2,demand point,0.0064970503,3,1,1,flood risk mapping,0.0102916238,2,1,1,vulnerability,0.012371095700000001,9,3,1
flooding,0.0054982648,4,2,1,pluvial flood,0.0064970503,3,2,1,flood risk map,0.0102916238,2,1,1,urban flood risk,0.0102916238,2,1,1
emergency,0.0041236986000000005,6,2,2,urban flood,0.0054142086,5,2,2,evaluate model performance,0.0102916238,2,2,1,flood risk mapping,0.0102916238,2,1,1
event,0.0041236986000000005,6,3,2,flood risk,0.0054142086,5,1,2,emergency response centre,0.0102916238,2,1,1,evaluate model performance,0.0102916238,2,2,1
rainfall,0.0034364155,5,1,2,risk mapping,0.0043313668,2,1,1,multiple layer perceptron,0.0102916238,2,1,1,emergency response centre,0.0102916238,2,1,1
exposure,0.0034364155,5,1,2,risk map,0.0043313668,2,1,1,maximum coverage location,0.0102916238,2,1,1,multiple layer perceptron,0.0102916238,2,1,1
curve,0.0027491324,4,3,2,flood hazard,0.0043313668,2,1,1,coverage location problem,0.0102916238,2,1,1,maximum coverage location,0.0102916238,2,1,1
point,0.0027491324,4,2,2,evaluate model,0.0043313668,2,2,1,location problem model,0.0102916238,2,1,1,coverage location problem,0.0102916238,2,1,1
hazard,0.0027491324,4,3,2,emergency response,0.0043313668,4,1,2,prevent urban flood,0.0051458119,1,1,1,location problem model,0.0102916238,2,1,1
centre,0.0027491324,2,1,1,response centre,0.0043313668,2,1,1,urban flood damage,0.0051458119,1,1,1,risk,0.0089346802,13,3,2
perceptron,0.0027491324,2,1,1,multiple layer,0.0043313668,2,1,1,flood conditioning factor,0.0051458119,1,1,1,pluvial flooding,0.0086627337,4,2,1
threshold,0.0027491324,2,1,1,layer perceptron,0.0043313668,2,1,1,including urban density,0.0051458119,1,1,1,flood vulnerability,0.0064970503,3,2,1
location,0.0025672343,9,2,3,maximum coverage,0.0043313668,2,1,1,analyze flood vulnerability,0.0051458119,1,1,1,demand point,0.0064970503,3,1,1
mapping,0.0020618493000000002,3,2,2,coverage location,0.0043313668,2,1,1,using flood hazard,0.0051458119,1,1,1,urban flood,0.0054142086,5,2,2
demand,0.0020618493000000002,3,1,2,problem model,0.0043313668,2,1,1,flood vulnerability map,0.0051458119,1,1,1,flood risk,0.0054142086,5,1,2
coverage,0.0020618493000000002,3,1,2,location allocation,0.0043313668,2,1,1,higher performance accuracy,0.0051458119,1,1,1,prevent urban flood,0.0051458119,1,1,1
intensity,0.0020618493000000002,3,2,2,flood event,0.0043313668,2,2,1,played major role,0.0051458119,1,1,1,urban flood damage,0.0051458119,1,1,1
probability,0.0020618493000000002,3,1,2,natural hazard,0.0043313668,2,2,1,flood hazard determination,0.0051458119,1,1,1,flood conditioning factor,0.0051458119,1,1,1
