Cluster,Parent,Group,NumPhrases,Key-phrases,NumDocs,DocIds
10,,0,12,"['urban functional area', 'Rational planning', 'intercity corporate network', 'City factor', 'regional planning', 'sustainable urban planning', 'urban development classification', 'urban planning machine', 'urban planning', 'multidimensional livability', 'urban computing', 'neighborhood']",5,"[342, 447, 463, 481, 567]"
10,,1,13,"['ML algorithms', 'user behavior data', 'classification accuracy', 'predefined model', 'big data', 'classification model', 'spatial data', 'extreme learning machine', 'SAR ground object', 'big data technology', 'object classification', 'survey', 'quantitative framework']",5,"[342, 447, 463, 481, 567]"
