Cluster,Parent,Group,NumPhrases,Key-phrases,NumDocs,DocIds
2,,-1,52,"['place sentiment', 'deep learning model', 'street view image', 'new urban region', 'machine learning technique', 'fast urbanising city', 'Street View imagery', 'view pattern', 'machine learning algorithms', 'public space', 'environment influence', 'discrete choice model', 'new urban data', 'Space Syntax theory', 'machine learning', 'heterogeneous perception', 'auditory perception map', 'urban environment', 'Machine Learning modeling', 'urban vitality feature', 'convolutional neural network', 'visual feature', 'deep learning', 'crowdsourcing', 'city image', 'perception model', 'housing price', 'Random Forest model', 'crowdsourced street', 'street image evaluation', 'hedonistic sustainability', 'human emotion', 'expression recognition model', 'conventional urban data', 'imagery platform', 'land', 'residential district', 'Shanghai city', 'prediction', 'GDP contribution', 'video surveillance system', 'urban ecosystem', 'machine learning method', 'social survey', 'residential urban environment', 'environment', 'Machine learning model', 'city census information', 'human perception', 'urban public space', 'social analysis', 'space']",24,"[11, 15, 16, 43, 62, 93, 115, 135, 331, 346, 360, 366, 375, 390, 410, 422, 423, 427, 470, 513, 517, 518, 542, 557]"
2,,0,34,"['human perceptual indicator', 'urban visual experience', 'maintenance quality', 'building facade', 'street walkability', 'visual enclosure measure', 'urban design quality', 'perceived visual quality', 'experienced urban designer', 'street quality', 'Destination accessibility', 'systematic measurement', 'urban space', 'design process', 'aspect', 'safety perception', 'habitual mobility choice', 'urban street landscape', 'urban space quality', 'mediatized urban heritage', 'Digital excavation', 'City safety perception', 'vegetation', 'streetscape perception', 'perceptual score', 'classical urban design', 'urban scene quality', 'area quality', 'urban landscape perception', 'perceptual quality', 'historical preservation', 'landscape design', 'urban environment perception', 'architectural beauty']",19,"[11, 15, 16, 43, 62, 115, 135, 331, 360, 366, 375, 410, 423, 427, 470, 513, 517, 518, 542]"
2,,1,19,"['big data', 'urban planning', 'visual analytics', 'datasets', 'efficient street renewal', 'Place Pulse dataset', 'feature cluster', 'Feature extraction', 'visual scene', 'historical big data', 'image processing', 'Holistic visual data', 'urban analytics', 'urban renewal strategy', 'city planning', 'policy making', 'edge computing', 'medium data processing', 'urban analysis']",19,"[16, 43, 62, 93, 115, 135, 331, 346, 360, 366, 375, 390, 410, 423, 427, 470, 513, 517, 557]"
