iteration,total_papers,dimension,min_samples,min_cluster_size,score,Cluster,NumDocs,Percent,DocIds
0,129,95,30,30,0.9786224436000001,-1,67,0.519379845,"[1, 3, 12, 17, 20, 21, 25, 26, 30, 37, 41, 56, 58, 61, 63, 64, 70, 71, 72, 74, 90, 96, 105, 109, 110, 111, 126, 137, 150, 156, 171, 172, 176, 177, 178, 197, 202, 204, 211, 223, 228, 237, 245, 313, 329, 361, 364, 382, 401, 430, 431, 437, 439, 444, 450, 451, 454, 455, 474, 485, 497, 522, 531, 532, 568, 575, 576]"
0,129,95,30,30,0.9786224436000001,0,30,0.2325581395,"[19, 54, 81, 99, 100, 125, 144, 148, 186, 220, 238, 242, 249, 256, 292, 327, 367, 378, 385, 389, 428, 460, 465, 469, 486, 504, 505, 506, 535, 538]"
0,129,95,30,30,0.9786224436000001,1,32,0.2480620155,"[2, 31, 53, 68, 76, 77, 84, 102, 112, 113, 139, 147, 166, 182, 224, 297, 300, 324, 332, 347, 407, 459, 471, 488, 503, 521, 537, 539, 540, 548, 564, 580]"
1,67,50,15,15,0.9064342956,-1,22,0.328358209,"[1, 3, 17, 20, 21, 25, 30, 41, 56, 61, 71, 90, 110, 137, 156, 171, 176, 204, 211, 223, 237, 430]"
1,67,50,15,15,0.9064342956,0,28,0.41791044780000003,"[26, 37, 58, 63, 64, 72, 105, 109, 111, 126, 150, 178, 245, 313, 361, 364, 382, 401, 437, 444, 450, 451, 454, 455, 531, 532, 568, 575]"
1,67,50,15,15,0.9064342956,1,17,0.2537313433,"[12, 70, 74, 96, 172, 177, 197, 202, 228, 329, 431, 439, 474, 485, 497, 522, 576]"
