Cluster,NumTopics,LDAScore,LDATopics,LDATopic_Words
-1,3,0.065,"[{'topic_words': ['the', '.', ',', 'of', 'and'], 'score': 0.085, 'word_docIds': {'the': [2, 35, 48, 49, 51, 52, 86, 154, 157, 206, 268, 277, 287, 325, 367, 376, 411, 474, 477, 523, 529, 534, 595], '.': [2, 35, 48, 49, 51, 52, 86, 154, 157, 206, 268, 277, 287, 325, 367, 376, 411, 474, 477, 523, 529, 534, 595], ',': [2, 35, 48, 49, 51, 52, 86, 154, 157, 206, 268, 277, 287, 325, 367, 376, 411, 474, 477, 523, 529, 534, 595], 'of': [2, 35, 48, 49, 51, 52, 86, 154, 157, 206, 268, 277, 287, 325, 367, 376, 411, 474, 477, 523, 529, 534, 595], 'and': [2, 35, 48, 49, 51, 52, 86, 154, 157, 206, 268, 277, 287, 325, 367, 376, 411, 474, 477, 523, 529, 534, 595]}}, {'topic_words': ['the', '.', 'of', 'to', ','], 'score': 0.06, 'word_docIds': {'the': [2, 35, 48, 49, 51, 52, 86, 154, 157, 206, 268, 277, 287, 325, 367, 376, 411, 474, 477, 523, 529, 534, 595], '.': [2, 35, 48, 49, 51, 52, 86, 154, 157, 206, 268, 277, 287, 325, 367, 376, 411, 474, 477, 523, 529, 534, 595], 'of': [2, 35, 48, 49, 51, 52, 86, 154, 157, 206, 268, 277, 287, 325, 367, 376, 411, 474, 477, 523, 529, 534, 595], 'to': [2, 35, 48, 49, 51, 52, 86, 154, 157, 206, 268, 287, 325, 367, 376, 411, 474, 477, 523, 529, 534, 595], ',': [2, 35, 48, 49, 51, 52, 86, 154, 157, 206, 268, 277, 287, 325, 367, 376, 411, 474, 477, 523, 529, 534, 595]}}, {'topic_words': ['and', ',', '.', 'the', 'to'], 'score': 0.051, 'word_docIds': {'and': [2, 35, 48, 49, 51, 52, 86, 154, 157, 206, 268, 277, 287, 325, 367, 376, 411, 474, 477, 523, 529, 534, 595], ',': [2, 35, 48, 49, 51, 52, 86, 154, 157, 206, 268, 277, 287, 325, 367, 376, 411, 474, 477, 523, 529, 534, 595], '.': [2, 35, 48, 49, 51, 52, 86, 154, 157, 206, 268, 277, 287, 325, 367, 376, 411, 474, 477, 523, 529, 534, 595], 'the': [2, 35, 48, 49, 51, 52, 86, 154, 157, 206, 268, 277, 287, 325, 367, 376, 411, 474, 477, 523, 529, 534, 595], 'to': [2, 35, 48, 49, 51, 52, 86, 154, 157, 206, 268, 287, 325, 367, 376, 411, 474, 477, 523, 529, 534, 595]}}]","[(['the', '.', ',', 'of', 'and'], 0.085), (['the', '.', 'of', 'to', ','], 0.06), (['and', ',', '.', 'the', 'to'], 0.051)]"
0,1,0.174,"[{'topic_words': ['the', ',', 'of', '.', 'and'], 'score': 0.174, 'word_docIds': {'the': [31, 77, 170, 269, 271, 280, 313, 340, 429, 472, 489], ',': [31, 77, 170, 269, 271, 280, 313, 340, 429, 472, 489], 'of': [31, 77, 170, 269, 271, 280, 313, 340, 429, 472, 489], '.': [31, 77, 170, 269, 271, 280, 313, 340, 429, 472, 489], 'and': [31, 77, 170, 269, 271, 280, 313, 340, 429, 472, 489]}}]","[(['the', ',', 'of', '.', 'and'], 0.174)]"
1,2,0.191,"[{'topic_words': ['of', ',', 'and', 'the', '.'], 'score': 0.191, 'word_docIds': {'of': [116, 177, 196, 341, 404, 416, 488, 492, 505, 533], ',': [116, 177, 196, 341, 404, 416, 488, 492, 505, 533], 'and': [116, 177, 196, 341, 404, 416, 488, 492, 505, 533], 'the': [116, 177, 196, 341, 404, 416, 488, 492, 505, 533], '.': [116, 177, 196, 341, 404, 416, 488, 492, 505, 533]}}, {'topic_words': ['of', 'the', '.', 'and', ','], 'score': 0.191, 'word_docIds': {'of': [116, 177, 196, 341, 404, 416, 488, 492, 505, 533], 'the': [116, 177, 196, 341, 404, 416, 488, 492, 505, 533], '.': [116, 177, 196, 341, 404, 416, 488, 492, 505, 533], 'and': [116, 177, 196, 341, 404, 416, 488, 492, 505, 533], ',': [116, 177, 196, 341, 404, 416, 488, 492, 505, 533]}}]","[(['of', ',', 'and', 'the', '.'], 0.191), (['of', 'the', '.', 'and', ','], 0.191)]"
