HDBSCAN_Cluster,DocId,x,y
6,260,7.34,3.39
6,261,7.88,4.03
6,262,7.01,4.29
-1,263,10.07,1.9
-1,264,7.65,4.04
6,265,7.31,3.35
-1,266,8.15,4.69
5,268,9.11,4.85
-1,269,8.71,2.34
6,270,7.54,3.72
-1,271,9.67,1.38
-1,272,7.65,3.7
-1,273,7.38,4.61
-1,274,9.59,3.74
5,275,9.4,4.43
-1,276,8.69,4.82
-1,277,8.75,3.48
-1,278,8.84,3.63
5,279,8.77,4.61
-1,281,8.0,4.49
5,282,9.31,4.31
-1,283,8.5,2.8
-1,284,7.42,2.96
-1,285,8.29,5.03
0,286,11.11,3.88
-1,287,9.69,2.22
6,288,7.1,4.46
-1,289,8.51,4.23
-1,290,8.73,2.62
3,292,10.45,0.18
-1,293,9.64,3.59
-1,294,9.67,3.85
6,295,7.09,3.68
-1,296,7.05,3.4
-1,297,10.45,2.39
6,298,7.14,3.91
-1,299,7.6,4.55
4,300,10.93,1.93
6,301,7.29,4.1
6,302,7.17,4.17
-1,304,10.45,2.71
5,305,8.79,4.54
-1,306,10.06,3.32
-1,307,6.7,3.71
-1,308,9.97,1.4
-1,309,9.64,2.04
-1,310,7.61,3.63
6,311,7.26,4.52
-1,312,8.61,3.64
4,313,11.07,1.14
1,314,9.08,1.4
-1,315,9.46,2.53
5,316,9.69,4.75
5,317,9.66,4.69
-1,318,10.18,4.22
-1,320,8.36,5.03
6,321,7.32,4.62
-1,322,9.52,4.14
-1,323,10.67,4.35
-1,324,10.26,1.74
-1,325,11.11,2.4
-1,326,10.82,4.22
3,327,10.37,0.68
-1,328,8.35,3.55
-1,329,10.16,2.41
-1,330,11.54,2.93
1,331,8.83,2.15
4,332,11.31,1.9
-1,333,9.11,2.94
6,334,7.44,3.4
6,335,7.26,3.9
-1,336,8.81,2.76
5,337,8.53,4.49
-1,338,9.36,3.97
6,339,6.91,3.67
-1,340,9.73,2.47
-1,341,8.07,3.39
-1,342,10.12,1.99
5,343,9.44,4.57
-1,344,8.56,3.28
-1,345,10.94,2.46
1,346,8.54,1.9
-1,347,10.63,2.16
0,348,11.01,3.55
0,349,11.44,3.58
-1,350,9.03,3.1
6,351,7.09,3.89
6,352,6.95,3.87
-1,353,7.44,3.66
5,354,9.29,4.69
-1,355,9.08,3.29
0,356,11.56,3.31
5,357,9.43,4.66
1,360,8.94,1.77
4,361,10.97,1.12
1,363,9.18,2.28
3,364,10.41,0.71
1,365,9.61,1.58
1,366,9.07,1.78
3,367,10.25,0.74
-1,368,7.9,4.31
-1,369,8.33,2.74
-1,370,8.1,3.09
6,371,7.34,3.32
-1,372,7.89,2.93
-1,373,8.27,3.05
-1,374,7.98,3.41
1,375,8.77,2.11
5,376,9.35,4.28
5,377,8.92,4.6
3,378,10.54,0.26
1,379,9.23,1.74
-1,380,10.51,3.34
6,381,7.18,3.44
4,382,10.84,1.06
-1,383,8.31,2.32
-1,384,9.25,2.1
3,385,10.14,0.82
-1,386,9.1,4.1
-1,387,7.68,4.24
-1,388,7.62,3.77
3,389,10.02,0.4
1,390,9.53,1.9
-1,391,9.91,4.3
6,392,7.53,2.94
-1,393,8.15,3.82
-1,394,9.62,3.29
5,395,9.26,4.38
-1,396,11.08,2.31
6,397,7.44,3.43
6,398,7.01,4.06
-1,399,9.84,2.86
-1,400,7.22,3.73
3,401,10.18,1.0
5,402,9.5,4.61
-1,403,8.1,4.75
6,404,7.64,3.09
-1,405,7.95,4.04
-1,406,9.2,4.91
4,407,11.21,1.93
-1,408,7.84,4.56
-1,409,7.77,3.2
1,410,9.3,1.72
-1,411,9.89,1.24
-1,412,9.9,4.38
-1,413,10.89,2.89
0,414,11.42,3.6
-1,415,10.2,3.99
-1,416,10.62,3.89
-1,417,7.95,3.57
-1,418,9.76,2.65
6,419,7.33,3.06
-1,420,10.87,4.14
0,421,11.57,3.23
1,422,8.88,1.9
1,423,8.9,1.86
0,424,11.47,3.58
-1,425,11.1,3.11
-1,426,9.03,3.71
1,427,9.31,1.78
3,428,10.1,0.64
-1,429,9.57,3.68
3,430,10.14,0.91
-1,431,10.35,2.37
-1,432,9.85,2.61
5,433,8.84,4.44
-1,434,8.21,5.05
0,435,10.97,3.31
1,436,9.04,1.62
3,437,10.67,0.32
-1,438,10.15,1.76
2,439,10.23,2.53
0,440,10.99,3.67
-1,441,8.46,1.91
-1,442,7.79,3.29
-1,443,10.6,3.12
3,444,10.36,0.98
