Cluster,DocId,x,y
11,0,8.29,7.95
0,1,9.0,6.8100000000000005
8,2,7.36,5.14
1,3,4.55,4.97
8,4,7.51,4.54
7,5,7.02,4.01
13,6,6.12,3.91
6,7,7.92,7.32
11,8,9.07,7.3
14,9,7.33,2.93
6,10,7.8100000000000005,6.42
6,11,7.35,7.25
10,12,4.79,6.24
4,13,8.84,5.06
4,14,9.23,4.96
4,15,8.8,5.42
14,16,6.86,4.3
9,17,5.34,5.92
4,18,8.91,4.74
6,19,5.41,6.68
12,20,6.5,5.54
1,21,5.03,4.73
10,22,4.44,5.39
4,23,9.42,5.74
7,24,5.46,4.1
3,25,8.99,6.02
3,26,8.82,6.57
6,27,7.23,6.55
0,28,6.93,5.76
5,29,5.36,7.07
11,30,8.63,7.53
0,31,6.46,6.8
10,32,5.05,6.27
8,33,7.13,4.62
1,34,5.28,5.23
5,35,4.93,7.52
12,36,6.8,5.28
12,37,6.41,5.68
6,38,7.06,6.7
12,39,6.0,5.3
3,40,8.01,6.25
14,41,7.4,3.36
10,42,4.82,5.98
1,43,4.53,5.0
4,44,9.38,5.57
13,45,6.18,3.93
1,46,5.01,4.65
3,47,8.63,6.54
14,48,7.09,3.19
4,49,8.22,5.73
1,50,5.05,5.91
1,51,5.39,5.46
7,52,5.62,6.18
12,53,6.71,5.62
8,54,6.46,5.96
8,55,7.46,5.87
4,56,8.72,5.23
9,57,5.98,6.01
14,58,7.96,3.44
9,59,5.76,5.78
11,60,8.32,7.89
10,61,4.27,6.57
7,62,5.57,3.92
8,63,7.4,5.11
12,64,6.19,4.85
6,65,7.76,7.08
14,66,7.37,3.04
1,67,5.38,5.17
5,68,5.86,6.59
14,69,7.19,3.34
8,70,6.94,5.35
0,71,8.3,6.07
6,72,5.3,5.58
3,73,8.96,7.01
4,74,8.22,5.84
13,75,6.38,4.2
5,76,5.13,7.51
3,77,9.41,6.15
5,78,5.17,7.37
5,79,5.11,7.36
4,80,8.5,5.84
3,81,9.36,6.21
1,82,4.85,4.78
11,83,8.67,7.59
3,84,8.25,7.0
9,85,5.91,6.32
4,86,8.82,5.9
0,87,7.18,6.08
6,88,7.33,6.58
7,89,6.99,3.33
4,90,8.82,5.62
10,91,4.24,5.77
3,92,9.33,6.22
1,93,5.24,4.38
6,94,7.25,6.62
0,95,7.43,3.1
10,96,4.82,6.17
13,97,6.2,4.16
12,98,6.24,4.49
8,99,7.62,4.92
5,100,5.07,7.61
5,101,5.45,7.1
7,102,5.84,3.7800000000000002
11,103,8.7,7.43
12,104,6.8100000000000005,5.2
9,105,6.05,5.98
10,106,4.8100000000000005,6.31
10,107,4.73,6.92
11,108,8.62,7.46
11,109,8.54,7.27
8,110,7.9,5.03
14,111,7.96,3.37
6,112,6.95,6.51
11,113,7.98,7.29
3,114,8.9,6.96
4,115,8.67,5.12
4,116,8.78,4.6
4,117,8.73,5.35
1,118,5.24,5.98
13,119,6.62,3.96
13,120,6.25,3.88
9,121,5.74,6.09
9,122,5.9,6.1
4,123,8.98,4.71
8,124,7.34,5.47
13,125,5.86,4.32
3,126,9.41,6.44
0,127,8.89,6.52
9,128,5.27,6.1
14,129,7.36,3.47
7,130,6.87,2.94
6,131,7.69,6.23
9,132,5.11,6.24
10,133,4.49,5.48
13,134,7.99,4.69
3,135,8.91,6.28
1,136,5.26,5.01
14,137,7.79,4.99
13,138,5.87,4.09
0,139,9.0,6.52
9,140,5.72,6.05
10,141,4.98,5.86
0,142,9.0,6.89
12,143,6.41,5.5
7,144,6.78,2.98
0,145,9.0,6.65
14,146,6.96,3.71
8,147,7.53,5.01
0,148,9.02,6.82
9,149,5.93,6.05
6,150,7.29,6.59
4,151,8.4,5.29
5,152,6.1,7.51
14,153,7.18,3.73
4,154,8.08,5.45
8,155,7.16,4.96
14,156,7.27,2.96
4,157,8.82,5.52
6,158,7.31,6.98
7,159,6.99,3.17
4,160,8.65,5.71
10,161,4.4,5.45
11,162,8.07,7.77
5,163,4.72,6.75
6,164,7.19,6.44
7,165,6.85,3.76
6,166,7.91,6.94
14,167,7.34,3.7
3,168,9.04,7.18
1,169,4.59,5.1
0,170,9.05,6.91
0,171,9.06,6.73
11,172,8.64,7.46
14,173,7.35,3.5300000000000002
4,174,8.73,5.76
14,175,6.66,3.64
1,176,5.22,5.94
8,177,7.27,5.24
1,178,6.73,6.57
10,179,4.63,6.84
5,180,5.86,6.62
12,181,6.21,4.47
5,182,6.52,7.33
5,183,6.55,7.25
1,184,5.19,5.42
4,185,8.01,5.38
0,186,8.45,6.22
13,187,5.49,5.05
5,188,5.42,6.92
13,189,5.31,4.25
10,190,4.75,6.67
5,191,5.3,7.48
