Cluster,DocId,x,y
2,262,6.39,3.29
0,263,6.23,5.9
3,264,8.33,5.19
2,265,6.35,3.85
3,266,9.22,6.03
4,267,4.32,5.29
4,268,4.4,5.67
3,269,2.83,9.43
3,270,8.13,5.74
2,271,7.46,3.73
4,272,5.46,5.8100000000000005
3,273,9.19,7.07
4,274,5.24,7.59
2,275,5.7,4.13
4,276,6.0,7.47
4,277,6.13,7.47
4,278,4.54,5.62
3,279,8.46,5.34
4,280,4.43,5.76
4,281,5.21,5.08
4,282,5.08,5.21
4,283,4.87,7.07
0,284,6.78,5.77
4,285,6.26,6.61
3,286,8.87,4.82
3,287,8.56,5.65
4,288,5.06,4.57
4,289,5.06,6.82
4,290,5.4,7.14
0,291,7.27,5.27
0,292,6.63,6.33
4,293,6.32,7.0
3,294,9.0,5.44
3,295,9.38,6.26
2,296,7.31,4.2
3,297,9.11,5.32
3,298,9.03,4.76
2,299,6.75,4.01
4,300,4.88,5.52
4,301,5.46,5.01
3,302,8.47,4.95
2,303,6.39,3.92
4,304,4.39,5.27
4,305,5.15,5.41
0,306,5.69,5.3
3,307,8.4,7.47
4,308,5.69,5.91
4,309,5.28,6.14
3,310,8.55,5.33
4,311,5.33,4.57
0,312,6.74,5.3
3,313,8.93,7.08
3,314,8.96,6.69
3,315,8.86,7.52
4,316,5.15,7.55
3,317,8.06,5.59
4,318,5.23,7.49
3,319,8.69,4.63
2,320,7.32,2.79
4,321,6.46,7.34
2,322,7.72,3.42
3,323,8.37,5.97
2,324,7.44,3.68
4,325,4.97,4.98
0,326,6.63,5.15
2,327,7.08,3.73
4,328,6.08,7.02
3,329,7.62,6.69
3,330,8.85,6.93
2,331,7.07,3.42
4,332,4.27,5.84
0,333,6.35,6.08
4,334,4.26,6.02
3,335,8.02,7.25
4,336,4.53,4.91
2,337,6.89,2.87
3,338,8.51,5.53
3,339,8.45,6.82
3,340,8.98,5.39
2,341,6.27,4.17
3,342,8.05,6.73
0,343,5.85,5.48
2,344,6.8100000000000005,2.99
4,345,4.55,6.49
3,346,9.29,4.91
2,347,6.93,4.08
4,348,6.67,6.55
4,349,4.94,7.49
0,350,6.44,5.91
3,351,9.06,5.42
0,352,6.23,4.91
4,353,4.33,5.53
4,354,4.8100000000000005,7.37
3,355,9.33,5.77
3,356,8.68,6.31
3,357,8.35,5.3
3,358,8.35,4.89
3,359,7.9,6.31
2,360,8.06,3.69
4,361,5.39,7.03
3,362,8.41,6.8
3,363,8.49,7.8
0,364,6.66,5.17
3,365,8.28,6.5
4,366,5.69,7.53
0,367,5.87,5.11
3,368,8.38,7.15
4,369,4.45,6.03
3,370,8.6,5.8
3,371,9.12,7.18
3,372,9.45,6.19
4,373,4.76,5.69
4,374,4.6,5.71
3,375,9.0,6.64
4,376,5.22,4.33
0,377,6.62,5.05
3,378,8.13,7.29
4,379,5.8,7.19
4,380,5.29,7.01
0,381,7.43,5.79
4,382,5.85,7.44
4,383,5.35,5.3
0,384,7.45,5.41
3,385,9.34,6.24
4,386,4.57,6.42
4,387,4.77,4.88
0,388,6.84,5.8100000000000005
3,389,9.01,7.14
4,390,5.97,7.41
4,391,6.32,7.05
0,392,5.79,5.6
3,393,9.17,4.96
3,394,8.0,6.32
2,395,7.37,3.71
4,396,5.18,7.16
3,397,7.86,7.27
3,398,7.46,7.17
4,399,5.1,6.36
0,400,7.33,5.91
4,401,5.4,7.63
2,402,6.25,4.07
0,403,6.48,5.28
4,404,4.67,5.24
4,405,4.63,6.18
2,406,7.07,3.31
4,407,5.63,6.8100000000000005
4,408,4.78,6.34
0,409,5.5600000000000005,4.73
2,410,7.95,3.93
0,411,6.59,6.72
2,412,7.09,4.14
3,413,7.24,6.52
3,414,9.01,4.76
2,415,7.91,4.46
3,416,9.39,6.38
3,417,8.51,6.9
4,418,4.89,7.45
4,419,4.36,4.93
2,420,6.49,4.12
4,421,4.55,5.37
2,422,7.92,3.32
4,423,6.7,6.59
3,424,8.37,7.9
4,425,4.7,6.89
4,426,4.17,6.06
0,427,7.35,5.76
3,428,8.61,5.68
0,429,7.4,5.65
2,430,7.35,3.21
3,431,8.25,6.46
4,432,6.62,7.34
4,433,5.86,7.48
3,434,9.12,5.59
4,435,6.82,7.13
2,436,6.89,3.85
2,437,6.65,3.04
4,438,6.45,6.89
2,439,7.4,2.93
3,440,9.24,6.47
3,441,8.51,7.78
3,442,9.19,5.83
0,443,6.92,5.45
4,444,5.37,6.37
2,445,8.24,4.54
2,446,7.36,2.86
3,447,8.18,5.98
3,448,8.09,4.92
3,449,7.88,5.67
0,450,7.14,6.09
4,451,4.11,6.62
3,452,8.66,6.82
0,453,6.1,5.61
2,454,6.46,4.23
4,455,4.33,5.1
0,456,7.37,5.78
3,457,8.94,5.39
2,458,6.74,4.37
0,459,7.16,4.95
3,460,8.58,4.88
4,461,5.5,5.8
3,462,8.95,4.71
0,463,6.0,4.39
0,464,7.12,4.57
1,465,2.38,9.54
2,466,7.98,4.5600000000000005
3,467,8.93,5.9
2,468,7.15,4.2
3,469,7.59,7.04
2,470,6.27,4.14
4,471,5.0,5.14
1,472,2.43,9.67
3,473,8.16,6.12
2,474,7.05,4.08
4,475,4.62,5.41
4,476,5.49,4.79
3,477,8.15,4.8
4,478,5.75,7.2
4,479,5.12,4.66
3,480,8.67,6.15
1,481,2.63,9.63
4,482,5.55,4.86
2,483,7.97,4.47
3,484,8.8,6.99
0,485,6.69,5.19
1,486,2.42,9.65
2,487,8.01,3.67
3,488,8.56,6.36
3,489,8.55,6.77
2,490,5.71,3.88
3,491,8.86,5.03
2,492,6.97,6.47
4,493,4.64,6.58
4,494,4.32,5.55
4,495,5.14,5.1
2,496,6.5,3.14
3,497,8.97,5.37
4,498,5.84,7.02
2,499,7.93,4.57
4,500,4.76,4.66
3,501,8.21,6.99
2,502,6.92,3.83
0,503,7.29,5.42
0,504,7.21,5.28
0,505,6.55,5.1
4,506,4.78,6.06
3,507,8.99,7.22
4,508,5.75,7.59
3,509,8.31,5.14
0,510,6.26,5.3
3,511,8.98,7.05
2,512,7.95,3.38
4,513,5.01,5.31
4,514,5.15,4.48
4,515,4.8,4.68
3,516,8.16,4.08
4,517,4.93,7.04
1,518,2.43,9.62
0,519,6.33,5.19
0,520,6.19,4.57
3,521,7.65,6.24
4,522,5.27,7.6
0,523,6.31,4.67
1,524,2.52,9.6
3,525,8.9,4.9
