Cluster,DocId,x,y
8,0,8.29,7.95
8,1,9.0,6.8100000000000005
9,2,7.36,5.14
2,3,4.55,4.97
9,4,7.51,4.54
5,5,7.02,4.01
6,6,6.12,3.91
5,7,7.92,7.32
8,8,9.07,7.3
4,9,7.33,2.93
8,10,7.8100000000000005,6.42
5,11,7.35,7.25
2,12,4.79,6.24
0,13,8.84,5.06
0,14,9.23,4.96
0,15,8.8,5.42
4,16,6.86,4.3
2,17,5.34,5.92
0,18,8.91,4.74
5,19,5.41,6.68
3,20,6.5,5.54
2,21,5.03,4.73
2,22,4.44,5.39
0,23,9.42,5.74
2,24,5.46,4.1
8,25,8.99,6.02
8,26,8.82,6.57
5,27,7.23,6.55
3,28,6.93,5.76
1,29,5.36,7.07
8,30,8.63,7.53
5,31,6.46,6.8
2,32,5.05,6.27
6,33,7.13,4.62
2,34,5.28,5.23
1,35,4.93,7.52
3,36,6.8,5.28
3,37,6.41,5.68
5,38,7.06,6.7
3,39,6.0,5.3
8,40,8.01,6.25
4,41,7.4,3.36
2,42,4.82,5.98
2,43,4.53,5.0
0,44,9.38,5.57
6,45,6.18,3.93
2,46,5.01,4.65
8,47,8.63,6.54
4,48,7.09,3.19
0,49,8.22,5.73
2,50,5.05,5.91
2,51,5.39,5.46
4,52,5.62,6.18
3,53,6.71,5.62
9,54,6.46,5.96
9,55,7.46,5.87
0,56,8.72,5.23
9,57,5.98,6.01
4,58,7.96,3.44
9,59,5.76,5.78
8,60,8.32,7.89
1,61,4.27,6.57
2,62,5.57,3.92
9,63,7.4,5.11
3,64,6.19,4.85
5,65,7.76,7.08
4,66,7.37,3.04
2,67,5.38,5.17
1,68,5.86,6.59
4,69,7.19,3.34
3,70,6.94,5.35
3,71,8.3,6.07
5,72,5.3,5.58
8,73,8.96,7.01
0,74,8.22,5.84
6,75,6.38,4.2
1,76,5.13,7.51
8,77,9.41,6.15
1,78,5.17,7.37
1,79,5.11,7.36
0,80,8.5,5.84
8,81,9.36,6.21
2,82,4.85,4.78
8,83,8.67,7.59
8,84,8.25,7.0
9,85,5.91,6.32
0,86,8.82,5.9
3,87,7.18,6.08
5,88,7.33,6.58
4,89,6.99,3.33
0,90,8.82,5.62
2,91,4.24,5.77
8,92,9.33,6.22
2,93,5.24,4.38
5,94,7.25,6.62
4,95,7.43,3.1
2,96,4.82,6.17
6,97,6.2,4.16
3,98,6.24,4.49
9,99,7.62,4.92
1,100,5.07,7.61
1,101,5.45,7.1
6,102,5.84,3.7800000000000002
8,103,8.7,7.43
3,104,6.8100000000000005,5.2
9,105,6.05,5.98
1,106,4.8100000000000005,6.31
1,107,4.73,6.92
8,108,8.62,7.46
8,109,8.54,7.27
9,110,7.9,5.03
4,111,7.96,3.37
5,112,6.95,6.51
8,113,7.98,7.29
8,114,8.9,6.96
0,115,8.67,5.12
0,116,8.78,4.6
0,117,8.73,5.35
2,118,5.24,5.98
6,119,6.62,3.96
6,120,6.25,3.88
9,121,5.74,6.09
9,122,5.9,6.1
0,123,8.98,4.71
9,124,7.34,5.47
6,125,5.86,4.32
8,126,9.41,6.44
4,127,8.89,6.52
2,128,5.27,6.1
4,129,7.36,3.47
4,130,6.87,2.94
5,131,7.69,6.23
2,132,5.11,6.24
2,133,4.49,5.48
6,134,7.99,4.69
8,135,8.91,6.28
2,136,5.26,5.01
6,137,7.79,4.99
6,138,5.87,4.09
8,139,9.0,6.52
9,140,5.72,6.05
2,141,4.98,5.86
8,142,9.0,6.89
3,143,6.41,5.5
4,144,6.78,2.98
8,145,9.0,6.65
4,146,6.96,3.71
9,147,7.53,5.01
8,148,9.02,6.82
9,149,5.93,6.05
5,150,7.29,6.59
0,151,8.4,5.29
1,152,6.1,7.51
6,153,7.18,3.73
0,154,8.08,5.45
9,155,7.16,4.96
4,156,7.27,2.96
0,157,8.82,5.52
5,158,7.31,6.98
4,159,6.99,3.17
0,160,8.65,5.71
2,161,4.4,5.45
8,162,8.07,7.77
1,163,4.72,6.75
5,164,7.19,6.44
4,165,6.85,3.76
5,166,7.91,6.94
6,167,7.34,3.7
8,168,9.04,7.18
2,169,4.59,5.1
8,170,9.05,6.91
8,171,9.06,6.73
8,172,8.64,7.46
4,173,7.35,3.5300000000000002
0,174,8.73,5.76
4,175,6.66,3.64
2,176,5.22,5.94
9,177,7.27,5.24
5,178,6.73,6.57
1,179,4.63,6.84
1,180,5.86,6.62
3,181,6.21,4.47
1,182,6.52,7.33
1,183,6.55,7.25
2,184,5.19,5.42
0,185,8.01,5.38
8,186,8.45,6.22
2,187,5.49,5.05
1,188,5.42,6.92
6,189,5.31,4.25
1,190,4.75,6.67
1,191,5.3,7.48
3,192,6.14,5.02
0,193,8.95,5.58
0,194,8.42,5.35
8,195,8.24,6.72
1,196,5.29,7.48
4,197,7.27,2.89
0,198,9.29,5.59
3,199,6.33,5.1
4,200,6.37,3.3
1,201,5.24,6.83
8,202,8.98,6.54
4,203,8.04,3.45
8,204,8.65,7.09
5,205,7.43,6.45
8,206,8.49,7.25
2,207,5.49,5.12
2,208,5.22,5.28
0,209,8.98,5.42
9,210,6.78,6.46
2,211,4.42,6.12
8,212,7.99,7.29
8,213,8.22,7.09
9,214,5.74,6.05
1,215,5.09,7.17
1,216,4.97,7.49
2,217,5.36,5.09
8,218,8.81,6.17
9,219,7.48,5.16
4,220,8.08,5.57
2,221,4.76,5.24
3,222,6.4,5.03
6,223,6.25,4.03
0,224,8.99,5.38
5,225,6.91,3.94
2,226,4.22,6.17
4,227,7.52,3.08
6,228,7.48,3.79
1,229,5.58,7.48
4,230,7.07,2.89
2,231,5.25,4.61
6,232,7.96,4.66
2,233,4.24,4.98
0,234,8.88,4.88
3,235,6.52,5.9
3,236,6.73,5.2
9,237,7.44,5.04
2,238,4.51,5.85
0,239,8.39,4.96
2,240,5.82,5.08
9,241,7.04,5.66
9,242,6.34,5.95
9,243,7.07,5.86
8,244,8.46,7.8100000000000005
8,245,8.09,7.77
5,246,7.01,4.02
3,247,6.08,4.6
3,248,6.58,5.11
2,249,4.43,4.84
6,250,5.68,4.2
8,251,8.19,6.83
2,252,4.34,4.93
8,253,8.71,6.1
0,254,8.98,4.86
0,255,8.79,5.84
4,256,7.77,3.31
8,257,8.55,7.03
0,258,8.33,5.06
0,259,8.46,4.95
2,260,5.1,4.88
9,261,5.91,5.89
4,262,6.39,3.29
3,263,6.23,5.9
0,264,8.33,5.19
6,265,6.35,3.85
8,266,9.22,6.03
2,267,4.32,5.29
1,268,4.4,5.67
8,269,2.83,9.43
0,270,8.13,5.74
6,271,7.46,3.73
2,272,5.46,5.8100000000000005
8,273,9.19,7.07
1,274,5.24,7.59
6,275,5.7,4.13
1,276,6.0,7.47
1,277,6.13,7.47
2,278,4.54,5.62
0,279,8.46,5.34
2,280,4.43,5.76
2,281,5.21,5.08
2,282,5.08,5.21
1,283,4.87,7.07
3,284,6.78,5.77
2,285,6.26,6.61
0,286,8.87,4.82
0,287,8.56,5.65
2,288,5.06,4.57
1,289,5.06,6.82
1,290,5.4,7.14
9,291,7.27,5.27
9,292,6.63,6.33
1,293,6.32,7.0
0,294,9.0,5.44
8,295,9.38,6.26
4,296,7.31,4.2
0,297,9.11,5.32
0,298,9.03,4.76
4,299,6.75,4.01
2,300,4.88,5.52
2,301,5.46,5.01
0,302,8.47,4.95
6,303,6.39,3.92
2,304,4.39,5.27
2,305,5.15,5.41
2,306,5.69,5.3
8,307,8.4,7.47
2,308,5.69,5.91
9,309,5.28,6.14
0,310,8.55,5.33
2,311,5.33,4.57
3,312,6.74,5.3
8,313,8.93,7.08
8,314,8.96,6.69
8,315,8.86,7.52
1,316,5.15,7.55
0,317,8.06,5.59
1,318,5.23,7.49
0,319,8.69,4.63
4,320,7.32,2.79
1,321,6.46,7.34
4,322,7.72,3.42
8,323,8.37,5.97
6,324,7.44,3.68
2,325,4.97,4.98
3,326,6.63,5.15
6,327,7.08,3.73
5,328,6.08,7.02
5,329,7.62,6.69
8,330,8.85,6.93
4,331,7.07,3.42
2,332,4.27,5.84
9,333,6.35,6.08
2,334,4.26,6.02
8,335,8.02,7.25
2,336,4.53,4.91
4,337,6.89,2.87
0,338,8.51,5.53
8,339,8.45,6.82
0,340,8.98,5.39
6,341,6.27,4.17
