term,freq,range,score,doc_ids
water scarcity,1,1,2,[510]
scarcity evaluation,1,1,2,[510]
efficient stance,1,1,2,[510]
stance detection,1,1,2,[510]
latent feature,1,1,2,[510]
adversarial machine,1,1,2,[510]
android malware,1,1,2,[510]
malware evasion,1,1,2,[510]
evasion attack,1,1,2,[510]
word similarity,1,1,2,[510]
similarity computation,1,1,2,[510]
jaccard distance,1,1,2,[510]
distance measure,1,1,2,[510]
unsupervised activity,1,1,2,[510]
smartphone accelerometer,1,1,2,[510]
emotion recognition,1,1,2,[510]
multiple classifier,1,1,2,[510]
intelligent taxi,1,1,2,[510]
artificial fish,1,1,2,[510]
fish swarm,1,1,2,[510]
swarm algorithm,1,1,2,[510]
telecom localization,1,1,2,[510]
localization error,1,1,2,[510]
context knowledge,1,1,2,[510]
human mobility,1,1,2,[510]
mobility demand,1,1,2,[510]
timely detection,1,1,2,[510]
temporal relation,1,1,2,[510]
rdf stream,1,1,2,[510]
stream processing,1,1,2,[510]
processing scenario,1,1,2,[510]
online taxicab,1,1,2,[510]
taxicab platform,1,1,2,[510]
automatic text,1,1,2,[510]
text generation,1,1,2,[510]
text extraction,1,1,2,[510]
heterogeneous information,1,1,2,[510]
comparative research,1,1,2,[510]
social recommendation,1,1,2,[510]
public interactive,1,1,2,[532]
singaporean child,1,1,2,[532]
dangerous road,1,1,2,[532]
road section,1,1,2,[532]
digital city,1,1,2,[532]
tackling challenge,1,1,2,[532]
city transportation,1,1,2,[532]
transportation service,1,1,2,[532]
ux machine,1,1,2,[532]
physiological sensor,1,1,2,[532]
data recording,1,1,2,[532]
user experience,1,1,2,[532]
experience design,1,1,2,[532]
design experiment,1,1,2,[532]
international series,1,1,2,[540]
creative emedia,1,1,2,[540]
white paper,1,1,2,[540]
paper collection,1,1,2,[540]
online resource,1,1,2,[540]
visual data,1,1,2,[543]
data exploration,1,1,2,[543]
visualization tool,1,1,2,[543]
multivariate time,1,1,2,[543]
dynamic trafficmanagement,1,1,2,[543]
cluster analysis,1,1,2,[543]
spatial configuration,1,1,2,[543]
spatial abstraction,1,1,2,[543]
traffic analysis,1,1,2,[543]
library version,1,1,2,[543]
community structure,1,1,2,[543]
structure generator,1,1,2,[543]
social tag,1,1,2,[543]
learning language,1,1,2,[543]
language model,1,1,2,[543]
exploratory analysis,1,1,2,[543]
hybrid biclustering,1,1,2,[543]
satellite image,1,1,2,[543]
image time,1,1,2,[543]
medium message,1,1,2,[543]
emergency awareness,1,1,2,[543]
