term,freq,range,score,doc_ids
machine learning,18,11,29,"[54, 58, 108, 147, 268, 287, 457, 465, 481, 533, 535]"
neural network,16,7,23,"[54, 108, 268, 390, 465, 481, 535]"
urban planning,12,8,20,"[108, 250, 276, 345, 414, 457, 465, 535]"
urban design,9,6,15,"[54, 147, 268, 287, 402, 533]"
design method,6,3,9,"[54, 147, 276]"
artificial intelligence,5,4,9,"[58, 250, 481, 535]"
urban space,6,2,8,"[147, 390]"
learning technique,3,3,6,"[58, 390, 465]"
heat map,5,1,6,[268]
architectural color,5,1,6,[402]
city pattern,4,1,5,[58]
deep learning,3,2,5,"[147, 457]"
design task,3,2,5,"[287, 414]"
color icon,4,1,5,[402]
feature parameter,3,1,4,[54]
architectural design,2,2,4,"[54, 481]"
many application,2,2,4,"[58, 535]"
unsupervised learning,2,2,4,"[58, 390]"
climate change,3,1,4,[108]
big data,2,2,4,"[108, 268]"
data set,2,2,4,"[250, 481]"
different way,2,2,4,"[276, 345]"
ecological environment,3,1,4,[276]
design process,2,2,4,"[481, 533]"
design problem,3,1,4,[533]
design feature,2,1,3,[54]
design data,2,1,3,[54]
latent manifold,2,1,3,[58]
urban area,2,1,3,[108]
knn algorithm,2,1,3,[250]
landscape architecture,2,1,3,[276]
medium data,2,1,3,[276]
data processing,2,1,3,[276]
early design,2,1,3,[287]
design stage,2,1,3,[287]
urban designer,2,1,3,[287]
design pattern,2,1,3,[345]
particular functionality,2,1,3,[345]
machine intuition,2,1,3,[390]
neural aggregation,2,1,3,[390]
network architecture,2,1,3,[390]
convolutional network,2,1,3,[390]
urban network,2,1,3,[390]
visual field,2,1,3,[390]
layout synthesis,2,1,3,[414]
constructive preference,2,1,3,[414]
preference elicitation,2,1,3,[414]
furniture arrangement,2,1,3,[414]
space partitioning,2,1,3,[414]
query engine,2,1,3,[457]
design recommendation,2,1,3,[465]
city configuration,2,1,3,[465]
coordinate system,2,1,3,[481]
interactive machine,2,1,3,[533]
design goal,2,1,3,[533]
generative architectural,1,1,2,[54]
computational tool,1,1,2,[54]
output data,1,1,2,[54]
engineering field,1,1,2,[54]
vectorized model,1,1,2,[54]
computation speed,1,1,2,[54]
customized data,1,1,2,[54]
data structure,1,1,2,[54]
additional input,1,1,2,[54]
quantified vector,1,1,2,[54]
generated design,1,1,2,[54]
generative ability,1,1,2,[54]
network learns,1,1,2,[54]
geometric design,1,1,2,[54]
different feature,1,1,2,[54]
architectural form,1,1,2,[54]
human interact,1,1,2,[58]
essential task,1,1,2,[58]
urban environment,1,1,2,[58]
recent development,1,1,2,[58]
city developer,1,1,2,[58]
powerful tool,1,1,2,[58]
new insight,1,1,2,[58]
common strategy,1,1,2,[58]
several problem,1,1,2,[58]
underlying data,1,1,2,[58]
data distribution,1,1,2,[58]
data visualization,1,1,2,[58]
density estimation,1,1,2,[58]
natural pattern,1,1,2,[58]
depicted location,1,1,2,[58]
multiple manifold,1,1,2,[58]
pattern image,1,1,2,[58]
qualitative test,1,1,2,[58]
specialized dataset,1,1,2,[58]
multiple location,1,1,2,[58]
superimposed pattern,1,1,2,[58]
urban climate,1,1,2,[108]
environment relation,1,1,2,[108]
individual organism,1,1,2,[108]
complex network,1,1,2,[108]
significant role,1,1,2,[108]
global ecosystem,1,1,2,[108]
serious study,1,1,2,[108]
vast population,1,1,2,[108]
area exerts,1,1,2,[108]
significant effect,1,1,2,[108]
small proportion,1,1,2,[108]
great importance,1,1,2,[108]
information technology,1,1,2,[108]
extensive computational,1,1,2,[108]
computational capacity,1,1,2,[108]
urban study,1,1,2,[108]
computer science,1,1,2,[108]
automated recognition,1,1,2,[108]
significant advantage,1,1,2,[108]
computational power,1,1,2,[108]
nonlinear behavior,1,1,2,[108]
new data,1,1,2,[108]
useful tool,1,1,2,[108]
network algorithm,1,1,2,[108]
climate prediction,1,1,2,[108]
possible effect,1,1,2,[108]
space case,1,1,2,[147]
learning algorithms,1,1,2,[147]
learning algorithm,1,1,2,[147]
basic concept,1,1,2,[147]
procedural logic,1,1,2,[147]
generation mode,1,1,2,[147]
traffic road,1,1,2,[147]
road network,1,1,2,[147]
neighborhood space,1,1,2,[147]
space form,1,1,2,[147]
building function,1,1,2,[147]
function layout,1,1,2,[147]
northern extension,1,1,2,[147]
green axis,1,1,2,[147]
application case,1,1,2,[147]
space generation,1,1,2,[147]
generation design,1,1,2,[147]
new idea,1,1,2,[147]
innovative development,1,1,2,[147]
management improvement,1,1,2,[250]
traditional method,1,1,2,[250]
relevant theory,1,1,2,[250]
later machine,1,1,2,[250]
architecture design,1,1,2,[250]
great influence,1,1,2,[250]
livelihood orientation,1,1,2,[250]
livelihood behavior,1,1,2,[250]
current contradiction,1,1,2,[250]
intelligence approach,1,1,2,[250]
related factor,1,1,2,[250]
first paper,1,1,2,[250]
upm theory,1,1,2,[250]
software model,1,1,2,[250]
urban plan,1,1,2,[250]
optimization advice,1,1,2,[250]
new period,1,1,2,[250]
government management,1,1,2,[250]
social governance,1,1,2,[250]
urbanization process,1,1,2,[250]
behavior vitality,1,1,2,[268]
open source,1,1,2,[268]
source data,1,1,2,[268]
new opportunity,1,1,2,[268]
certain behavior,1,1,2,[268]
generative model,1,1,2,[268]
urban vitality,1,1,2,[268]
input image,1,1,2,[268]
plan view,1,1,2,[268]
built environment,1,1,2,[268]
output image,1,1,2,[268]
certain activity,1,1,2,[268]
corresponding area,1,1,2,[268]
model yield,1,1,2,[268]
yield output,1,1,2,[268]
acceptable level,1,1,2,[268]
subject activity,1,1,2,[268]
different section,1,1,2,[268]
predicted result,1,1,2,[268]
regional vitality,1,1,2,[268]
behavioral heat,1,1,2,[268]
heat distribution,1,1,2,[268]
different interaction,1,1,2,[268]
modified plan,1,1,2,[268]
potential application,1,1,2,[268]
architecture art,1,1,2,[276]
art design,1,1,2,[276]
garden landscape,1,1,2,[276]
difficult thing,1,1,2,[276]
effective design,1,1,2,[276]
landscape design,1,1,2,[276]
natural landscape,1,1,2,[276]
urban ecosystem,1,1,2,[276]
many problem,1,1,2,[276]
relevant personnel,1,1,2,[276]
quality living,1,1,2,[276]
living environment,1,1,2,[276]
architecture system,1,1,2,[276]
mobile edge,1,1,2,[276]
video surveillance,1,1,2,[276]
surveillance system,1,1,2,[276]
edge computing,1,1,2,[276]
inner connection,1,1,2,[276]
stram data,1,1,2,[276]
experimental result,1,1,2,[276]
urban scale,1,1,2,[287]
scale plan,1,1,2,[287]
much time,1,1,2,[287]
different characteristic,1,1,2,[287]
many field,1,1,2,[287]
model frame,1,1,2,[287]
image data,1,1,2,[287]
design plan,1,1,2,[287]
predicted detail,1,1,2,[287]
building configuration,1,1,2,[287]
image pair,1,1,2,[287]
site condition,1,1,2,[287]
green land,1,1,2,[287]
automatic design,1,1,2,[287]
design tool,1,1,2,[287]
heavy load,1,1,2,[287]
design solution,1,1,2,[287]
different machine,1,1,2,[287]
different city,1,1,2,[287]
city inspires,1,1,2,[287]
design strategy,1,1,2,[287]
distinct condition,1,1,2,[287]
topic modeling,1,1,2,[345]
urban setting,1,1,2,[345]
general methodology,1,1,2,[345]
expert knowledge,1,1,2,[345]
similar region,1,1,2,[345]
methodology face,1,1,2,[345]
face limitation,1,1,2,[345]
transferability issue,1,1,2,[345]
data quality,1,1,2,[345]
novel framework,1,1,2,[345]
dirichlet allocation,1,1,2,[345]
functional region,1,1,2,[345]
significant agreement,1,1,2,[345]
