dimension,min_samples,min_cluster_size,epsilon,total_clusters,outliers,Silhouette_score,cluster_results
20,None,5,0.0,9,175,0.5279985468613327,"[{'cluster_no': 4, 'count': 8}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 7, 'count': 17}, {'cluster_no': 6, 'count': 39}, {'cluster_no': 2, 'count': 45}, {'cluster_no': 1, 'count': 49}, {'cluster_no': 5, 'count': 50}, {'cluster_no': -1, 'count': 175}, {'cluster_no': 3, 'count': 190}]"
20,None,6,0.0,8,171,0.38635280028331653,"[{'cluster_no': 4, 'count': 9}, {'cluster_no': 1, 'count': 11}, {'cluster_no': 2, 'count': 43}, {'cluster_no': 0, 'count': 50}, {'cluster_no': 5, 'count': 52}, {'cluster_no': 6, 'count': 91}, {'cluster_no': 3, 'count': 157}, {'cluster_no': -1, 'count': 171}]"
20,None,7,0.0,7,129,0.29553486278979785,"[{'cluster_no': 1, 'count': 9}, {'cluster_no': 5, 'count': 12}, {'cluster_no': 2, 'count': 44}, {'cluster_no': 0, 'count': 47}, {'cluster_no': -1, 'count': 129}, {'cluster_no': 4, 'count': 153}, {'cluster_no': 3, 'count': 190}]"
20,None,8,0.0,8,212,0.5508423076883788,"[{'cluster_no': 3, 'count': 12}, {'cluster_no': 4, 'count': 13}, {'cluster_no': 1, 'count': 40}, {'cluster_no': 6, 'count': 40}, {'cluster_no': 0, 'count': 43}, {'cluster_no': 5, 'count': 49}, {'cluster_no': 2, 'count': 175}, {'cluster_no': -1, 'count': 212}]"
20,None,9,0.0,5,164,0.43455641919358845,"[{'cluster_no': 1, 'count': 37}, {'cluster_no': 0, 'count': 41}, {'cluster_no': -1, 'count': 164}, {'cluster_no': 2, 'count': 167}, {'cluster_no': 3, 'count': 175}]"
20,None,10,0.0,7,225,0.6123840193151086,"[{'cluster_no': 3, 'count': 22}, {'cluster_no': 5, 'count': 31}, {'cluster_no': 0, 'count': 40}, {'cluster_no': 1, 'count': 40}, {'cluster_no': 4, 'count': 45}, {'cluster_no': 2, 'count': 181}, {'cluster_no': -1, 'count': 225}]"
20,None,11,0.0,5,155,0.48065652050248214,"[{'cluster_no': 1, 'count': 39}, {'cluster_no': 0, 'count': 43}, {'cluster_no': -1, 'count': 155}, {'cluster_no': 2, 'count': 156}, {'cluster_no': 3, 'count': 191}]"
20,None,12,0.0,5,165,0.5017879699207138,"[{'cluster_no': 0, 'count': 41}, {'cluster_no': 1, 'count': 42}, {'cluster_no': 2, 'count': 148}, {'cluster_no': -1, 'count': 165}, {'cluster_no': 3, 'count': 188}]"
20,None,13,0.0,5,166,0.49826268941527624,"[{'cluster_no': 1, 'count': 36}, {'cluster_no': 0, 'count': 45}, {'cluster_no': 2, 'count': 147}, {'cluster_no': -1, 'count': 166}, {'cluster_no': 3, 'count': 190}]"
20,None,14,0.0,5,164,0.4920844246721795,"[{'cluster_no': 3, 'count': 35}, {'cluster_no': 0, 'count': 43}, {'cluster_no': 1, 'count': 151}, {'cluster_no': -1, 'count': 164}, {'cluster_no': 2, 'count': 191}]"
20,None,15,0.0,5,181,0.49394715753642476,"[{'cluster_no': 3, 'count': 30}, {'cluster_no': 0, 'count': 42}, {'cluster_no': 1, 'count': 148}, {'cluster_no': -1, 'count': 181}, {'cluster_no': 2, 'count': 183}]"
20,1,5,0.0,36,156,0.4826617639964262,"[{'cluster_no': 1, 'count': 5}, {'cluster_no': 8, 'count': 5}, {'cluster_no': 10, 'count': 5}, {'cluster_no': 16, 'count': 5}, {'cluster_no': 17, 'count': 5}, {'cluster_no': 23, 'count': 5}, {'cluster_no': 24, 'count': 5}, {'cluster_no': 27, 'count': 5}, {'cluster_no': 6, 'count': 6}, {'cluster_no': 2, 'count': 7}, {'cluster_no': 3, 'count': 7}, {'cluster_no': 9, 'count': 7}, {'cluster_no': 11, 'count': 7}, {'cluster_no': 15, 'count': 7}, {'cluster_no': 32, 'count': 7}, {'cluster_no': 34, 'count': 7}, {'cluster_no': 4, 'count': 8}, {'cluster_no': 22, 'count': 8}, {'cluster_no': 25, 'count': 8}, {'cluster_no': 12, 'count': 10}, {'cluster_no': 18, 'count': 10}, {'cluster_no': 20, 'count': 10}, {'cluster_no': 30, 'count': 10}, {'cluster_no': 0, 'count': 12}, {'cluster_no': 26, 'count': 14}, {'cluster_no': 33, 'count': 15}, {'cluster_no': 5, 'count': 16}, {'cluster_no': 21, 'count': 18}, {'cluster_no': 14, 'count': 20}, {'cluster_no': 19, 'count': 20}, {'cluster_no': 13, 'count': 23}, {'cluster_no': 28, 'count': 23}, {'cluster_no': 29, 'count': 27}, {'cluster_no': 31, 'count': 32}, {'cluster_no': 7, 'count': 49}, {'cluster_no': -1, 'count': 156}]"
