n_neighbors,n_components,total_clusters,outliers,cluster_results,adjusted_rand_score,adjusted_mutual_info_score
150,2,27,206,"[{'cluster_no': 25, 'count': 12}, {'cluster_no': 24, 'count': 17}, {'cluster_no': 23, 'count': 8}, {'cluster_no': 22, 'count': 11}, {'cluster_no': 21, 'count': 21}, {'cluster_no': 20, 'count': 9}, {'cluster_no': 19, 'count': 9}, {'cluster_no': 18, 'count': 11}, {'cluster_no': 17, 'count': 6}, {'cluster_no': 16, 'count': 12}, {'cluster_no': 15, 'count': 7}, {'cluster_no': 14, 'count': 35}, {'cluster_no': 13, 'count': 13}, {'cluster_no': 12, 'count': 12}, {'cluster_no': 11, 'count': 38}, {'cluster_no': 10, 'count': 19}, {'cluster_no': 9, 'count': 13}, {'cluster_no': 8, 'count': 12}, {'cluster_no': 7, 'count': 31}, {'cluster_no': 6, 'count': 6}, {'cluster_no': 5, 'count': 52}, {'cluster_no': 4, 'count': 5}, {'cluster_no': 3, 'count': 7}, {'cluster_no': 2, 'count': 7}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 0, 'count': 12}, {'cluster_no': -1, 'count': 206}]",-0.015315122546721757,0.05773654186477953
100,768,Error,Error,Error,Error,Error
100,600,Error,Error,Error,Error,Error
100,500,3,16,"[{'cluster_no': 1, 'count': 12}, {'cluster_no': 0, 'count': 572}, {'cluster_no': -1, 'count': 16}]",0.1373832925867583,0.17797619244934698
100,400,3,0,"[{'cluster_no': 1, 'count': 12}, {'cluster_no': 0, 'count': 588}, {'cluster_no': -1, 'count': 0}]",0.15076257770531765,0.21654625303331038
100,300,21,200,"[{'cluster_no': 19, 'count': 10}, {'cluster_no': 18, 'count': 10}, {'cluster_no': 17, 'count': 25}, {'cluster_no': 16, 'count': 6}, {'cluster_no': 15, 'count': 11}, {'cluster_no': 14, 'count': 11}, {'cluster_no': 13, 'count': 62}, {'cluster_no': 12, 'count': 48}, {'cluster_no': 11, 'count': 55}, {'cluster_no': 10, 'count': 9}, {'cluster_no': 9, 'count': 21}, {'cluster_no': 8, 'count': 14}, {'cluster_no': 7, 'count': 6}, {'cluster_no': 6, 'count': 26}, {'cluster_no': 5, 'count': 10}, {'cluster_no': 4, 'count': 6}, {'cluster_no': 3, 'count': 6}, {'cluster_no': 2, 'count': 6}, {'cluster_no': 1, 'count': 46}, {'cluster_no': 0, 'count': 12}, {'cluster_no': -1, 'count': 200}]",-0.0051095104581437255,0.065337913859152
100,200,3,1,"[{'cluster_no': 1, 'count': 12}, {'cluster_no': 0, 'count': 587}, {'cluster_no': -1, 'count': 1}]",0.14743669519726013,0.2111926471176624
100,100,3,11,"[{'cluster_no': 1, 'count': 12}, {'cluster_no': 0, 'count': 577}, {'cluster_no': -1, 'count': 11}]",0.1285724441820459,0.18728903386195622
100,50,3,2,"[{'cluster_no': 1, 'count': 586}, {'cluster_no': 0, 'count': 12}, {'cluster_no': -1, 'count': 2}]",0.1441583438937992,0.20851504135555227
100,30,14,201,"[{'cluster_no': 12, 'count': 15}, {'cluster_no': 11, 'count': 43}, {'cluster_no': 10, 'count': 7}, {'cluster_no': 9, 'count': 10}, {'cluster_no': 8, 'count': 57}, {'cluster_no': 7, 'count': 7}, {'cluster_no': 6, 'count': 50}, {'cluster_no': 5, 'count': 82}, {'cluster_no': 4, 'count': 5}, {'cluster_no': 3, 'count': 9}, {'cluster_no': 2, 'count': 50}, {'cluster_no': 1, 'count': 52}, {'cluster_no': 0, 'count': 12}, {'cluster_no': -1, 'count': 201}]",-0.01463094083350678,0.060597890377971336
