Group,score,NumPhrases,Key-phrases,NumDocs,DocIds
1,0.8044490703,23,"['supervised Feature Selection method', 'classification accuracy', 'modality complement', 'machine learning', 'data and classifier', 'Random Forests', 'deep convolutional neural network', 'new classification scheme', 'XGBoost classification model', 'machine learning technology', 'parallel deep convolutional neural network', 'manual classification', 'machine learning classifier', 'SVM classifier', 'developed scene classification algorithms', 'Decision tree classification', 'generic image feature', 'random forest classifier', 'pixel color', 'computer vision', 'gaze analysis system', 'manifold alignment', 'autonomous humanoid robot']",15,"[107, 189, 267, 305, 315, 383, 396, 445, 449, 455, 482, 483, 538, 575, 579]"
2,0.6326579302,37,"['public policy decision making', 'UK city', 'urban functional area', 'climate change', 'urban environment', 'world airport', 'yearly growth', 'urban planning', 'nighttime light', 'modern urban planning', 'street context', 'urban functional zone classification approach', 'Gaode and Baidu Heat Map', 'source geospatial datasets', 'land use analysis', 'smart city', 'open map', 'available data', 'urban valuation estimation', 'visual urban scene data', ""neighborhood's environment"", 'Google Cloud Vision', 'particular natural attraction and nature photographs', 'Rome and Paris', 'building block level land use mapping', 'Google Street View', 'urban form classification', 'urban land use map', 'street level imagery Google Street View image', 'LiDAR data', 'Environmental landscape attributes', 'urban planning and management practice', 'road and parking lot pixel', 'Mapping sidewalk', 'sustainable city', 'multidimensional trajectory data', 'model street scene']",16,"[107, 189, 267, 305, 315, 383, 396, 445, 449, 455, 482, 483, 538, 567, 575, 579]"
3,-0.0854784717,17,"['geodemographic classification development', 'Library use', 'image and user behavior data', 'European Space Agency Sentinel2 API', 'low cost', 'vehicular transportational feature', 'Social data', 'cultural ecosystem service', 'social metadata', 'aesthetic rating', 'Flickr photo', 'different photo', 'landscape ecology', 'bootstrap aggregation', 'metric', 'building block level', 'Building type classification result']",12,"[107, 189, 267, 305, 315, 445, 449, 455, 482, 483, 538, 567]"
