,parent,child,lambda_val,child_size
0,28,7,729.9202088318468,1
1,28,6,750.1549742901856,1
2,28,9,751.0953127098536,1
3,28,2,774.0710528744117,1
4,28,14,820.9637893912703,1
5,28,26,822.2110267091399,1
6,28,5,822.2110267091399,1
7,28,1,882.5932979115156,1
8,28,23,891.0779689823667,1
9,28,0,923.5503688208742,1
10,28,3,948.2939181550984,1
11,28,11,948.2939181550984,1
12,28,8,956.1301647005187,1
13,28,19,956.1301647005187,1
14,28,25,956.1301647005187,1
15,28,27,956.1301647005187,1
16,28,13,997.4563614744352,1
17,28,29,998.2872783529692,6
18,28,30,998.2872783529692,5
19,29,20,998.2872783529692,1
20,30,21,1050.3484630313653,1
21,30,16,1050.3484630313653,1
22,30,12,1050.3484630313653,1
23,30,18,1050.3484630313653,1
24,30,15,1050.3484630313653,1
25,29,17,1083.5195040041333,1
26,29,22,1083.5195040041333,1
27,29,4,1083.5195040041333,1
28,29,10,1083.5195040041333,1
29,29,24,1083.5195040041333,1
