HDBSCAN_Cluster,DocId,x,y
1,531,10.42,1.32
2,533,8.37,4.54
-1,536,9.22,1.17
1,537,10.43,1.89
-1,541,7.98,3.35
-1,544,6.76,3.83
-1,546,8.69,1.47
1,551,10.1,2.07
-1,552,8.15,4.86
-1,553,8.78,2.49
0,558,9.49,4.44
0,559,8.82,4.25
-1,560,10.61,3.19
-1,562,9.09,3.26
2,563,7.95,4.27
1,564,10.69,2.24
-1,565,10.74,1.15
2,566,8.14,2.76
2,567,8.69,3.12
-1,569,9.65,4.72
-1,570,9.27,2.9
-1,571,10.59,3.77
2,573,8.71,3.89
2,574,7.96,3.92
2,577,7.82,3.65
2,578,7.98,2.89
-1,579,9.28,2.8
1,580,11.43,2.4
-1,583,10.05,2.6
2,585,7.86,3.71
2,587,8.01,3.57
-1,588,9.84,2.94
0,590,9.97,3.99
2,591,7.52,4.09
-1,592,9.42,4.43
-1,595,9.82,3.13
0,596,9.51,3.9
-1,598,11.0,2.85
0,599,9.35,3.88
-1,600,7.72,4.58
