Group,TopicWords,NumPhrases,Key-phrases,NumDocs,DocIds,score,dimension,min_samples,min_cluster_size
1,"['data', 'urban', 'sustainable', 'forecasting', 'building']",32,"['urban morphological element', 'diurnal variation', 'big geospatial data', 'sustainable smart city', 'healthcare data', 'several medical IoT sensor', 'fog', 'accurate electric consumption forecasting', 'residential building', 'spatial and temporal ensemble forecasting', 'urban planning', 'relevant body', 'systematic review', 'modelling occupant behaviour', 'centric urban data', 'traditional model', 'transition suitability', 'VCA model', 'Smart Cities', 'multiobjective Household Energy', 'outdoor computational fluid dynamic', 'wind speed ratio', 'sustainable campus', 'Architectural Design Futures', 'Computational Urban Studies', 'Drone 3D', 'multi-criteria performance analysis', 'parametric modeling technique', 'university building', 'S framework', 'surface point', 'actual data']",14,"[20, 80, 101, 192, 224, 239, 306, 322, 349, 403, 409, 441, 481, 517]",0.8738,32,10,17
2,"['learning', 'design', 'neural network', 'regression', 'cluster analysis']",17,"['ridge regression', 'deep learning algorithm', 'deep learning model', 'cluster analysis', 'machine learning', 'cellular automata', 'convolutional neural network', 'Evolutionary Algorithms', 'key design variable', 'reinforcement learning', 'generative design approach', 'Parametric Design Method', 'generative design', 'statistical learning method', 'artificial neural network', 'detail composition', 'support vector regression']",13,"[20, 80, 101, 192, 239, 306, 322, 349, 403, 409, 441, 481, 517]",0.8738,32,10,17
3,"['urban', 'energy', 'design', 'building', 'area vitality']",20,"['heritage area vitality', 'climate solution research', 'energy use', 'urban behaviour', 'urban land use', 'Microgrid Case CEDER', 'Electric Vehicles', 'Effective urban ventilation', 'current building code', 'urban design parameter', 'optimal solar potential', 'Upcycling Waste Corrugated', 'urban design decision', 'sustainable and green campus', 'Urban Energy Simulation', 'building energy consumption', 'Roman Corinthian order capital', 'architectural design', ""city's energy benchmarking"", 'energy disclosure policy']",12,"[20, 192, 224, 239, 306, 322, 349, 403, 409, 441, 481, 517]",0.8738,32,10,17
