Group,TopicWords,NumPhrases,Key-phrases,NumDocs,DocIds,score,dimension,min_samples,min_cluster_size
1,"['urban', 'city', 'climate', 'geographical', 'building structure']",26,"['building structure', 'City factor', 'city pattern image', 'climate pressure', 'cognitive city', 'complex urban environment', 'comprehensive urban soundscape evaluation', 'connectedness and scale', 'geographical information system', 'geographical space and territory', 'German residential area', 'graffiti and restaurant', 'housing unit', 'landscape and climate variable', 'Metropolitan Manila', 'nearby crime and violence', 'OpenStreetMap data', 'relevant socioeconomic variable', 'sourced urban data and machine learning algorithms', 'typical urban coverage condition', 'unstructured mesh', 'urban area', 'urban environment', 'urban environment influence stress', 'urban morphological difference', 'urban waterlogging']",21,"[1, 12, 21, 33, 36, 53, 56, 58, 68, 109, 112, 121, 148, 166, 173, 205, 246, 369, 386, 399, 564]",0.6007,12,2,20
2,"['urban', 'planning', 'city', 'sustainable', 'governance']",20,"['architect and designer', 'classical urban design theory', 'destination accessibility', 'greenway planning', 'intercity corporate network', 'nexus governance debate', 'regional policy evaluation study', 'researcher and city developer', 'sustainable city leverage datadriven planning technology', 'sustainable urban development and Internet', 'sustainable urbanisation strategy', 'urban and smart city development', 'urban planning', 'urban planning and climate resilience', 'urban planning and crowd surveillance', 'urban planning and land readjustment policy', 'urban planning and management', 'urban planning authority', 'urban transport planning', 'water and basin governance']",17,"[21, 36, 58, 61, 68, 88, 109, 150, 166, 173, 199, 205, 250, 414, 564, 568, 580]",0.6007,12,2,20
3,"['learning', 'machine', 'model', 'bayes', 'random']",29,"['Decision Tree', 'Deep Learning', 'deep reinforcement learning', 'ensemble learning approach', 'image descriptor', 'interpolation method', 'intrusion detection method', 'KNN algorithm', 'Machine learning', 'Machine learning model', 'machine learning technique', 'mathematical fusion model', 'Naive Bayes', 'Naïve Bayes', 'naïve Bayes classifier', 'popular ML algorithms', 'Principal component analysis', 'Proper Orthogonal Decomposition', 'random forest', 'random forest algorithm', 'random forest MLA', 'recurrent neural network', 'Sequential Minimal Optimization', 'smart specialization', 'standardized and open ML pipeline', 'supervised archetype classification', 'Support vector machine SVM', 'support vector regression', 'SVM model']",24,"[1, 33, 36, 53, 56, 58, 61, 64, 68, 88, 109, 112, 121, 173, 246, 250, 332, 369, 386, 399, 564, 566, 568, 580]",0.4147,54,4,18
4,"['system', 'preference', 'intelligent', 'support', 'conventional counting']",18,"['AI system', 'constructive preference elicitation task', 'conventional counting', 'conversational demand', 'creative computing approach', 'criteria nature', 'design preference', 'Human Computer Interaction', 'intelligent decision support system', 'Intelligent Tutoring Systems', 'mobile application', 'online educational game', 'party collaborative chat', 'player and mentor', 'several processing system', 'social network analysis', 'Support Systems', 'urgent challenge']",12,"[88, 112, 148, 166, 199, 250, 399, 414, 558, 566, 568, 581]",0.4147,54,4,18
5,"['approach', 'analysis', 'natural', 'method', 'personality']",13,"['conventional statistical modeling approach', 'DT and AdaBoost', 'hot spot analysis', 'knowledge spillover', 'natural language processing approach', 'novel computational linguistics method', 'novel natural language processing component', 'order modelling', 'personality classification method', 'personality classification task', 'short time analysis', 'synthetic minority', 'Things sensor']",11,"[56, 64, 150, 173, 332, 369, 386, 558, 566, 580, 581]",0.4147,54,4,18
6,"['active ageing', 'audio descriptor', 'chat conversation', 'energy food', 'human environment']",16,"['active ageing', 'audio descriptor', 'chat conversation', 'energy and food', 'flow', 'human environment', 'Livelihood orientation', 'LSTM SAE', 'military operation', 'motor vehicle', 'serious game', 'soundscape classification', 'speaker', 'structure and material', 'urban sound recognition performance', 'visual element']",12,"[12, 33, 53, 61, 199, 250, 369, 399, 558, 564, 566, 580]",0.40040000000000003,50,2,16
7,"['simulation', 'spatial', 'agglomerative clustering', 'demand matrix', 'density estimation']",16,"['agglomerative clustering', 'demand matrix', 'density estimation', 'furniture arrangement', 'geospatial simulation framework', 'inner area strategy', 'Large Eddy Simulation', 'latent manifold', 'Layout synthesis', 'neighbourhood densification', 'positioning accuracy', 'scenario simulation', 'self organising map', 'spatial analysis and machine learning', 'spatial lag term', 'spatial plan']",14,"[1, 12, 21, 33, 36, 58, 68, 88, 109, 166, 173, 246, 386, 414]",0.40040000000000003,50,2,16
8,"['data', 'literature review', 'mosquito', 'theft', 'quality prediction']",24,"['air pollution quality prediction', 'BeiDou and Galileo satellite navigation system', 'big data', 'big data application', 'citizen science data', 'cognitive smart city', 'crowd analysis benchmark datasets', 'effective mosquito control', 'Electricity theft', 'ethnic heterogeneity and employment', 'expensive and laborious traffic count', 'false alarm rate', 'GNSS signal', 'intelligent transportation', 'IoT service', 'mosquito occurrence', 'reference framework', 'systematic literature review', 'Systematics Literature Review', 'theft rate', 'Unanticipated wind gust', 'understanding research priority', 'Unmanned Aircraft Systems', 'year microblogging data']",17,"[1, 12, 36, 56, 61, 64, 109, 112, 121, 148, 150, 166, 199, 246, 332, 369, 568]",0.40040000000000003,50,2,16
