dimension,min_samples,min_cluster_size,epsilon,total_clusters,outliers,Silhouette_score,cluster_results
400,1,6,0.0,31,129,0.33270960583950293,"[{'cluster_no': 0, 'count': 6}, {'cluster_no': 13, 'count': 6}, {'cluster_no': 15, 'count': 6}, {'cluster_no': 19, 'count': 6}, {'cluster_no': 27, 'count': 6}, {'cluster_no': 3, 'count': 7}, {'cluster_no': 4, 'count': 7}, {'cluster_no': 5, 'count': 7}, {'cluster_no': 8, 'count': 7}, {'cluster_no': 12, 'count': 7}, {'cluster_no': 21, 'count': 7}, {'cluster_no': 18, 'count': 8}, {'cluster_no': 24, 'count': 8}, {'cluster_no': 20, 'count': 9}, {'cluster_no': 1, 'count': 10}, {'cluster_no': 25, 'count': 10}, {'cluster_no': 22, 'count': 11}, {'cluster_no': 2, 'count': 12}, {'cluster_no': 10, 'count': 12}, {'cluster_no': 11, 'count': 12}, {'cluster_no': 29, 'count': 14}, {'cluster_no': 14, 'count': 15}, {'cluster_no': 26, 'count': 20}, {'cluster_no': 16, 'count': 21}, {'cluster_no': 23, 'count': 22}, {'cluster_no': 28, 'count': 25}, {'cluster_no': 9, 'count': 30}, {'cluster_no': 17, 'count': 33}, {'cluster_no': 6, 'count': 52}, {'cluster_no': 7, 'count': 59}, {'cluster_no': -1, 'count': 129}]"
400,1,7,0.0,24,121,0.36810674096062185,"[{'cluster_no': 2, 'count': 7}, {'cluster_no': 3, 'count': 7}, {'cluster_no': 4, 'count': 7}, {'cluster_no': 7, 'count': 7}, {'cluster_no': 11, 'count': 7}, {'cluster_no': 20, 'count': 8}, {'cluster_no': 0, 'count': 10}, {'cluster_no': 21, 'count': 10}, {'cluster_no': 17, 'count': 11}, {'cluster_no': 1, 'count': 12}, {'cluster_no': 9, 'count': 12}, {'cluster_no': 10, 'count': 12}, {'cluster_no': 12, 'count': 15}, {'cluster_no': 14, 'count': 17}, {'cluster_no': 22, 'count': 20}, {'cluster_no': 13, 'count': 21}, {'cluster_no': 18, 'count': 22}, {'cluster_no': 16, 'count': 25}, {'cluster_no': 8, 'count': 30}, {'cluster_no': 15, 'count': 33}, {'cluster_no': 5, 'count': 52}, {'cluster_no': 6, 'count': 59}, {'cluster_no': 19, 'count': 59}, {'cluster_no': -1, 'count': 121}]"
400,1,8,0.0,19,156,0.4506678855232461,"[{'cluster_no': 15, 'count': 8}, {'cluster_no': 0, 'count': 10}, {'cluster_no': 16, 'count': 10}, {'cluster_no': 12, 'count': 11}, {'cluster_no': 1, 'count': 12}, {'cluster_no': 5, 'count': 12}, {'cluster_no': 6, 'count': 12}, {'cluster_no': 7, 'count': 15}, {'cluster_no': 9, 'count': 17}, {'cluster_no': 17, 'count': 20}, {'cluster_no': 8, 'count': 21}, {'cluster_no': 13, 'count': 22}, {'cluster_no': 11, 'count': 25}, {'cluster_no': 4, 'count': 30}, {'cluster_no': 10, 'count': 33}, {'cluster_no': 2, 'count': 52}, {'cluster_no': 3, 'count': 59}, {'cluster_no': 14, 'count': 59}, {'cluster_no': -1, 'count': 156}]"
400,1,9,0.0,17,150,0.4810873858433244,"[{'cluster_no': 0, 'count': 10}, {'cluster_no': 12, 'count': 11}, {'cluster_no': 1, 'count': 12}, {'cluster_no': 5, 'count': 12}, {'cluster_no': 6, 'count': 12}, {'cluster_no': 7, 'count': 15}, {'cluster_no': 9, 'count': 17}, {'cluster_no': 8, 'count': 21}, {'cluster_no': 13, 'count': 22}, {'cluster_no': 11, 'count': 25}, {'cluster_no': 4, 'count': 30}, {'cluster_no': 10, 'count': 33}, {'cluster_no': 15, 'count': 44}, {'cluster_no': 2, 'count': 52}, {'cluster_no': 3, 'count': 59}, {'cluster_no': 14, 'count': 59}, {'cluster_no': -1, 'count': 150}]"
400,1,10,0.0,17,150,0.4810873858433244,"[{'cluster_no': 0, 'count': 10}, {'cluster_no': 12, 'count': 11}, {'cluster_no': 1, 'count': 12}, {'cluster_no': 5, 'count': 12}, {'cluster_no': 6, 'count': 12}, {'cluster_no': 7, 'count': 15}, {'cluster_no': 9, 'count': 17}, {'cluster_no': 8, 'count': 21}, {'cluster_no': 13, 'count': 22}, {'cluster_no': 11, 'count': 25}, {'cluster_no': 4, 'count': 30}, {'cluster_no': 10, 'count': 33}, {'cluster_no': 15, 'count': 44}, {'cluster_no': 2, 'count': 52}, {'cluster_no': 3, 'count': 59}, {'cluster_no': 14, 'count': 59}, {'cluster_no': -1, 'count': 150}]"
400,1,11,0.0,16,160,0.493030844531665,"[{'cluster_no': 11, 'count': 11}, {'cluster_no': 0, 'count': 12}, {'cluster_no': 4, 'count': 12}, {'cluster_no': 5, 'count': 12}, {'cluster_no': 6, 'count': 15}, {'cluster_no': 8, 'count': 17}, {'cluster_no': 7, 'count': 21}, {'cluster_no': 12, 'count': 22}, {'cluster_no': 10, 'count': 25}, {'cluster_no': 3, 'count': 30}, {'cluster_no': 9, 'count': 33}, {'cluster_no': 14, 'count': 44}, {'cluster_no': 1, 'count': 52}, {'cluster_no': 2, 'count': 59}, {'cluster_no': 13, 'count': 59}, {'cluster_no': -1, 'count': 160}]"
400,1,12,0.0,15,171,0.5102287053928667,"[{'cluster_no': 0, 'count': 12}, {'cluster_no': 4, 'count': 12}, {'cluster_no': 5, 'count': 12}, {'cluster_no': 6, 'count': 15}, {'cluster_no': 8, 'count': 17}, {'cluster_no': 7, 'count': 21}, {'cluster_no': 11, 'count': 22}, {'cluster_no': 10, 'count': 25}, {'cluster_no': 3, 'count': 30}, {'cluster_no': 9, 'count': 33}, {'cluster_no': 13, 'count': 44}, {'cluster_no': 1, 'count': 52}, {'cluster_no': 2, 'count': 59}, {'cluster_no': 12, 'count': 59}, {'cluster_no': -1, 'count': 171}]"
400,1,13,0.0,12,167,0.5382135838180411,"[{'cluster_no': 5, 'count': 15}, {'cluster_no': 8, 'count': 22}, {'cluster_no': 7, 'count': 25}, {'cluster_no': 3, 'count': 26}, {'cluster_no': 4, 'count': 30}, {'cluster_no': 6, 'count': 33}, {'cluster_no': 10, 'count': 44}, {'cluster_no': 0, 'count': 52}, {'cluster_no': 2, 'count': 52}, {'cluster_no': 1, 'count': 59}, {'cluster_no': 9, 'count': 59}, {'cluster_no': -1, 'count': 167}]"
400,1,14,0.0,12,167,0.5382135838180411,"[{'cluster_no': 5, 'count': 15}, {'cluster_no': 8, 'count': 22}, {'cluster_no': 7, 'count': 25}, {'cluster_no': 3, 'count': 26}, {'cluster_no': 4, 'count': 30}, {'cluster_no': 6, 'count': 33}, {'cluster_no': 10, 'count': 44}, {'cluster_no': 0, 'count': 52}, {'cluster_no': 2, 'count': 52}, {'cluster_no': 1, 'count': 59}, {'cluster_no': 9, 'count': 59}, {'cluster_no': -1, 'count': 167}]"
400,1,15,0.0,12,167,0.5382135838180411,"[{'cluster_no': 5, 'count': 15}, {'cluster_no': 8, 'count': 22}, {'cluster_no': 7, 'count': 25}, {'cluster_no': 3, 'count': 26}, {'cluster_no': 4, 'count': 30}, {'cluster_no': 6, 'count': 33}, {'cluster_no': 10, 'count': 44}, {'cluster_no': 0, 'count': 52}, {'cluster_no': 2, 'count': 52}, {'cluster_no': 1, 'count': 59}, {'cluster_no': 9, 'count': 59}, {'cluster_no': -1, 'count': 167}]"
400,2,5,0.0,28,158,0.3783841425098004,"[{'cluster_no': 1, 'count': 5}, {'cluster_no': 8, 'count': 5}, {'cluster_no': 9, 'count': 5}, {'cluster_no': 15, 'count': 5}, {'cluster_no': 18, 'count': 5}, {'cluster_no': 0, 'count': 6}, {'cluster_no': 20, 'count': 6}, {'cluster_no': 21, 'count': 6}, {'cluster_no': 2, 'count': 7}, {'cluster_no': 3, 'count': 7}, {'cluster_no': 4, 'count': 7}, {'cluster_no': 5, 'count': 7}, {'cluster_no': 10, 'count': 8}, {'cluster_no': 12, 'count': 10}, {'cluster_no': 14, 'count': 10}, {'cluster_no': 22, 'count': 10}, {'cluster_no': 25, 'count': 10}, {'cluster_no': 13, 'count': 12}, {'cluster_no': 19, 'count': 19}, {'cluster_no': 26, 'count': 19}, {'cluster_no': 23, 'count': 20}, {'cluster_no': 17, 'count': 24}, {'cluster_no': 11, 'count': 26}, {'cluster_no': 16, 'count': 29}, {'cluster_no': 7, 'count': 43}, {'cluster_no': 6, 'count': 57}, {'cluster_no': 24, 'count': 58}, {'cluster_no': -1, 'count': 158}]"
400,2,6,0.0,22,161,0.45990761765891597,"[{'cluster_no': 0, 'count': 6}, {'cluster_no': 15, 'count': 6}, {'cluster_no': 16, 'count': 6}, {'cluster_no': 2, 'count': 7}, {'cluster_no': 3, 'count': 7}, {'cluster_no': 4, 'count': 7}, {'cluster_no': 7, 'count': 8}, {'cluster_no': 9, 'count': 10}, {'cluster_no': 11, 'count': 10}, {'cluster_no': 17, 'count': 10}, {'cluster_no': 1, 'count': 12}, {'cluster_no': 10, 'count': 12}, {'cluster_no': 14, 'count': 19}, {'cluster_no': 18, 'count': 20}, {'cluster_no': 13, 'count': 24}, {'cluster_no': 8, 'count': 26}, {'cluster_no': 12, 'count': 29}, {'cluster_no': 20, 'count': 41}, {'cluster_no': 5, 'count': 48}, {'cluster_no': 6, 'count': 57}, {'cluster_no': 19, 'count': 58}, {'cluster_no': -1, 'count': 161}]"
400,2,7,0.0,20,165,0.4662357244647686,"[{'cluster_no': 1, 'count': 7}, {'cluster_no': 2, 'count': 7}, {'cluster_no': 3, 'count': 7}, {'cluster_no': 6, 'count': 8}, {'cluster_no': 8, 'count': 10}, {'cluster_no': 10, 'count': 10}, {'cluster_no': 15, 'count': 10}, {'cluster_no': 0, 'count': 12}, {'cluster_no': 9, 'count': 12}, {'cluster_no': 14, 'count': 14}, {'cluster_no': 13, 'count': 19}, {'cluster_no': 16, 'count': 20}, {'cluster_no': 12, 'count': 24}, {'cluster_no': 7, 'count': 26}, {'cluster_no': 11, 'count': 29}, {'cluster_no': 18, 'count': 41}, {'cluster_no': 4, 'count': 48}, {'cluster_no': 5, 'count': 57}, {'cluster_no': 17, 'count': 58}, {'cluster_no': -1, 'count': 165}]"
400,2,8,0.0,17,186,0.5011439253779384,"[{'cluster_no': 3, 'count': 8}, {'cluster_no': 5, 'count': 10}, {'cluster_no': 7, 'count': 10}, {'cluster_no': 12, 'count': 10}, {'cluster_no': 0, 'count': 12}, {'cluster_no': 6, 'count': 12}, {'cluster_no': 11, 'count': 14}, {'cluster_no': 10, 'count': 19}, {'cluster_no': 13, 'count': 20}, {'cluster_no': 9, 'count': 24}, {'cluster_no': 4, 'count': 26}, {'cluster_no': 8, 'count': 29}, {'cluster_no': 15, 'count': 41}, {'cluster_no': 1, 'count': 48}, {'cluster_no': 2, 'count': 57}, {'cluster_no': 14, 'count': 58}, {'cluster_no': -1, 'count': 186}]"
400,2,9,0.0,16,194,0.5282050970079372,"[{'cluster_no': 4, 'count': 10}, {'cluster_no': 6, 'count': 10}, {'cluster_no': 11, 'count': 10}, {'cluster_no': 0, 'count': 12}, {'cluster_no': 5, 'count': 12}, {'cluster_no': 10, 'count': 14}, {'cluster_no': 9, 'count': 19}, {'cluster_no': 12, 'count': 20}, {'cluster_no': 8, 'count': 24}, {'cluster_no': 3, 'count': 26}, {'cluster_no': 7, 'count': 29}, {'cluster_no': 14, 'count': 41}, {'cluster_no': 1, 'count': 48}, {'cluster_no': 2, 'count': 57}, {'cluster_no': 13, 'count': 58}, {'cluster_no': -1, 'count': 194}]"
400,2,10,0.0,16,194,0.5282050970079372,"[{'cluster_no': 4, 'count': 10}, {'cluster_no': 6, 'count': 10}, {'cluster_no': 11, 'count': 10}, {'cluster_no': 0, 'count': 12}, {'cluster_no': 5, 'count': 12}, {'cluster_no': 10, 'count': 14}, {'cluster_no': 9, 'count': 19}, {'cluster_no': 12, 'count': 20}, {'cluster_no': 8, 'count': 24}, {'cluster_no': 3, 'count': 26}, {'cluster_no': 7, 'count': 29}, {'cluster_no': 14, 'count': 41}, {'cluster_no': 1, 'count': 48}, {'cluster_no': 2, 'count': 57}, {'cluster_no': 13, 'count': 58}, {'cluster_no': -1, 'count': 194}]"
