dimension,min_samples,min_cluster_size,epsilon,total_clusters,outliers,Silhouette_score,cluster_results
40,None,5,0.0,9,156,0.4481447462229407,"[{'cluster_no': 7, 'count': 6}, {'cluster_no': 3, 'count': 11}, {'cluster_no': 4, 'count': 13}, {'cluster_no': 6, 'count': 14}, {'cluster_no': 2, 'count': 47}, {'cluster_no': 1, 'count': 50}, {'cluster_no': 5, 'count': 91}, {'cluster_no': -1, 'count': 156}, {'cluster_no': 0, 'count': 196}]"
40,None,6,0.0,8,176,0.43826863100654234,"[{'cluster_no': 3, 'count': 12}, {'cluster_no': 4, 'count': 12}, {'cluster_no': 6, 'count': 12}, {'cluster_no': 1, 'count': 48}, {'cluster_no': 2, 'count': 48}, {'cluster_no': 5, 'count': 87}, {'cluster_no': -1, 'count': 176}, {'cluster_no': 0, 'count': 189}]"
40,None,7,0.0,9,172,0.5178481303300511,"[{'cluster_no': 3, 'count': 9}, {'cluster_no': 4, 'count': 12}, {'cluster_no': 5, 'count': 18}, {'cluster_no': 7, 'count': 40}, {'cluster_no': 2, 'count': 44}, {'cluster_no': 1, 'count': 45}, {'cluster_no': 6, 'count': 51}, {'cluster_no': -1, 'count': 172}, {'cluster_no': 0, 'count': 193}]"
40,None,8,0.0,9,191,0.528701319434299,"[{'cluster_no': 2, 'count': 9}, {'cluster_no': 5, 'count': 10}, {'cluster_no': 4, 'count': 20}, {'cluster_no': 7, 'count': 36}, {'cluster_no': 3, 'count': 38}, {'cluster_no': 0, 'count': 42}, {'cluster_no': 6, 'count': 50}, {'cluster_no': 1, 'count': 188}, {'cluster_no': -1, 'count': 191}]"
40,None,9,0.0,8,216,0.5448654538768298,"[{'cluster_no': 3, 'count': 11}, {'cluster_no': 4, 'count': 14}, {'cluster_no': 6, 'count': 35}, {'cluster_no': 2, 'count': 40}, {'cluster_no': 0, 'count': 48}, {'cluster_no': 5, 'count': 49}, {'cluster_no': 1, 'count': 171}, {'cluster_no': -1, 'count': 216}]"
40,None,10,0.0,8,230,0.5808833536265605,"[{'cluster_no': 3, 'count': 10}, {'cluster_no': 4, 'count': 14}, {'cluster_no': 1, 'count': 34}, {'cluster_no': 6, 'count': 38}, {'cluster_no': 0, 'count': 43}, {'cluster_no': 5, 'count': 50}, {'cluster_no': 2, 'count': 165}, {'cluster_no': -1, 'count': 230}]"
40,None,11,0.0,5,175,0.44925673409571665,"[{'cluster_no': 0, 'count': 43}, {'cluster_no': 1, 'count': 44}, {'cluster_no': 2, 'count': 158}, {'cluster_no': 3, 'count': 164}, {'cluster_no': -1, 'count': 175}]"
40,None,12,0.0,6,190,0.48781158669434904,"[{'cluster_no': 4, 'count': 14}, {'cluster_no': 0, 'count': 42}, {'cluster_no': 1, 'count': 45}, {'cluster_no': 3, 'count': 124}, {'cluster_no': 2, 'count': 169}, {'cluster_no': -1, 'count': 190}]"
40,None,13,0.0,5,178,0.4805742342091289,"[{'cluster_no': 1, 'count': 42}, {'cluster_no': 0, 'count': 45}, {'cluster_no': 2, 'count': 152}, {'cluster_no': 3, 'count': 167}, {'cluster_no': -1, 'count': 178}]"
40,None,14,0.0,5,191,0.4965991507252284,"[{'cluster_no': 1, 'count': 43}, {'cluster_no': 0, 'count': 46}, {'cluster_no': 2, 'count': 147}, {'cluster_no': 3, 'count': 157}, {'cluster_no': -1, 'count': 191}]"
40,None,15,0.0,5,203,0.5124898613394783,"[{'cluster_no': 1, 'count': 41}, {'cluster_no': 0, 'count': 46}, {'cluster_no': 2, 'count': 140}, {'cluster_no': 3, 'count': 154}, {'cluster_no': -1, 'count': 203}]"
40,1,5,0.0,37,168,0.4636007462212944,"[{'cluster_no': 0, 'count': 5}, {'cluster_no': 1, 'count': 5}, {'cluster_no': 11, 'count': 5}, {'cluster_no': 15, 'count': 5}, {'cluster_no': 22, 'count': 5}, {'cluster_no': 2, 'count': 6}, {'cluster_no': 5, 'count': 6}, {'cluster_no': 14, 'count': 6}, {'cluster_no': 29, 'count': 6}, {'cluster_no': 6, 'count': 7}, {'cluster_no': 12, 'count': 7}, {'cluster_no': 13, 'count': 7}, {'cluster_no': 17, 'count': 7}, {'cluster_no': 21, 'count': 7}, {'cluster_no': 26, 'count': 7}, {'cluster_no': 7, 'count': 9}, {'cluster_no': 18, 'count': 9}, {'cluster_no': 31, 'count': 9}, {'cluster_no': 35, 'count': 9}, {'cluster_no': 10, 'count': 10}, {'cluster_no': 20, 'count': 10}, {'cluster_no': 28, 'count': 10}, {'cluster_no': 3, 'count': 11}, {'cluster_no': 4, 'count': 11}, {'cluster_no': 19, 'count': 11}, {'cluster_no': 25, 'count': 11}, {'cluster_no': 33, 'count': 11}, {'cluster_no': 8, 'count': 13}, {'cluster_no': 30, 'count': 13}, {'cluster_no': 27, 'count': 14}, {'cluster_no': 9, 'count': 16}, {'cluster_no': 32, 'count': 18}, {'cluster_no': 34, 'count': 18}, {'cluster_no': 24, 'count': 19}, {'cluster_no': 16, 'count': 24}, {'cluster_no': 23, 'count': 69}, {'cluster_no': -1, 'count': 168}]"
40,1,6,0.0,30,171,0.4680536116709098,"[{'cluster_no': 0, 'count': 6}, {'cluster_no': 3, 'count': 6}, {'cluster_no': 4, 'count': 7}, {'cluster_no': 10, 'count': 7}, {'cluster_no': 12, 'count': 7}, {'cluster_no': 21, 'count': 7}, {'cluster_no': 5, 'count': 9}, {'cluster_no': 13, 'count': 9}, {'cluster_no': 24, 'count': 9}, {'cluster_no': 28, 'count': 9}, {'cluster_no': 8, 'count': 10}, {'cluster_no': 15, 'count': 10}, {'cluster_no': 1, 'count': 11}, {'cluster_no': 2, 'count': 11}, {'cluster_no': 14, 'count': 11}, {'cluster_no': 20, 'count': 11}, {'cluster_no': 26, 'count': 11}, {'cluster_no': 6, 'count': 13}, {'cluster_no': 16, 'count': 13}, {'cluster_no': 23, 'count': 13}, {'cluster_no': 22, 'count': 14}, {'cluster_no': 7, 'count': 16}, {'cluster_no': 25, 'count': 18}, {'cluster_no': 27, 'count': 18}, {'cluster_no': 19, 'count': 19}, {'cluster_no': 9, 'count': 20}, {'cluster_no': 11, 'count': 24}, {'cluster_no': 18, 'count': 25}, {'cluster_no': 17, 'count': 69}, {'cluster_no': -1, 'count': 171}]"
40,1,7,0.0,28,183,0.4665961612396441,"[{'cluster_no': 2, 'count': 7}, {'cluster_no': 8, 'count': 7}, {'cluster_no': 10, 'count': 7}, {'cluster_no': 19, 'count': 7}, {'cluster_no': 3, 'count': 9}, {'cluster_no': 11, 'count': 9}, {'cluster_no': 22, 'count': 9}, {'cluster_no': 26, 'count': 9}, {'cluster_no': 6, 'count': 10}, {'cluster_no': 13, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 1, 'count': 11}, {'cluster_no': 12, 'count': 11}, {'cluster_no': 18, 'count': 11}, {'cluster_no': 24, 'count': 11}, {'cluster_no': 4, 'count': 13}, {'cluster_no': 14, 'count': 13}, {'cluster_no': 21, 'count': 13}, {'cluster_no': 20, 'count': 14}, {'cluster_no': 5, 'count': 16}, {'cluster_no': 23, 'count': 18}, {'cluster_no': 25, 'count': 18}, {'cluster_no': 17, 'count': 19}, {'cluster_no': 7, 'count': 20}, {'cluster_no': 9, 'count': 24}, {'cluster_no': 16, 'count': 25}, {'cluster_no': 15, 'count': 69}, {'cluster_no': -1, 'count': 183}]"
40,1,8,0.0,24,177,0.4318103292531545,"[{'cluster_no': 3, 'count': 9}, {'cluster_no': 8, 'count': 9}, {'cluster_no': 18, 'count': 9}, {'cluster_no': 22, 'count': 9}, {'cluster_no': 6, 'count': 10}, {'cluster_no': 10, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 1, 'count': 11}, {'cluster_no': 9, 'count': 11}, {'cluster_no': 16, 'count': 11}, {'cluster_no': 20, 'count': 11}, {'cluster_no': 4, 'count': 13}, {'cluster_no': 11, 'count': 13}, {'cluster_no': 17, 'count': 13}, {'cluster_no': 5, 'count': 16}, {'cluster_no': 19, 'count': 18}, {'cluster_no': 21, 'count': 18}, {'cluster_no': 15, 'count': 19}, {'cluster_no': 7, 'count': 24}, {'cluster_no': 13, 'count': 25}, {'cluster_no': 14, 'count': 30}, {'cluster_no': 2, 'count': 38}, {'cluster_no': 12, 'count': 69}, {'cluster_no': -1, 'count': 177}]"
40,1,9,0.0,24,177,0.4318103292531545,"[{'cluster_no': 3, 'count': 9}, {'cluster_no': 8, 'count': 9}, {'cluster_no': 18, 'count': 9}, {'cluster_no': 22, 'count': 9}, {'cluster_no': 6, 'count': 10}, {'cluster_no': 10, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 1, 'count': 11}, {'cluster_no': 9, 'count': 11}, {'cluster_no': 16, 'count': 11}, {'cluster_no': 20, 'count': 11}, {'cluster_no': 4, 'count': 13}, {'cluster_no': 11, 'count': 13}, {'cluster_no': 17, 'count': 13}, {'cluster_no': 5, 'count': 16}, {'cluster_no': 19, 'count': 18}, {'cluster_no': 21, 'count': 18}, {'cluster_no': 15, 'count': 19}, {'cluster_no': 7, 'count': 24}, {'cluster_no': 13, 'count': 25}, {'cluster_no': 14, 'count': 30}, {'cluster_no': 2, 'count': 38}, {'cluster_no': 12, 'count': 69}, {'cluster_no': -1, 'count': 177}]"
40,1,10,0.0,18,162,0.4506462692023666,"[{'cluster_no': 6, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 2, 'count': 11}, {'cluster_no': 5, 'count': 11}, {'cluster_no': 12, 'count': 11}, {'cluster_no': 16, 'count': 11}, {'cluster_no': 7, 'count': 13}, {'cluster_no': 14, 'count': 13}, {'cluster_no': 15, 'count': 18}, {'cluster_no': 11, 'count': 19}, {'cluster_no': 4, 'count': 24}, {'cluster_no': 9, 'count': 25}, {'cluster_no': 10, 'count': 30}, {'cluster_no': 13, 'count': 41}, {'cluster_no': 3, 'count': 49}, {'cluster_no': 1, 'count': 56}, {'cluster_no': 8, 'count': 69}, {'cluster_no': -1, 'count': 162}]"
