dimension,min_samples,min_cluster_size,epsilon,total_groups,outliers,score,group_results,group_labels
100,20,20,0.0,3,56,0.9651,"[{'group': 1, 'count': 44}, {'group': 0, 'count': 55}, {'group': -1, 'count': 56}]","[0, 1, 1, 0, 0, -1, 1, 0, 1, -1, -1, 0, -1, -1, 1, -1, -1, 1, 1, 0, 1, -1, -1, -1, -1, 1, -1, -1, 0, 0, -1, 0, 0, 1, 0, 1, -1, 0, -1, 0, 1, -1, -1, 1, 0, 1, -1, -1, 0, 0, 1, -1, 1, 0, 1, -1, 1, 1, 0, -1, 1, -1, 0, 0, 0, 1, -1, 0, 1, -1, -1, -1, 0, 0, 1, 0, 0, 0, -1, 1, -1, 1, 0, -1, 0, -1, -1, 1, -1, -1, 0, 1, -1, 1, 0, 0, -1, 1, 0, 1, 0, 0, -1, -1, -1, 0, 1, -1, 1, -1, 1, 0, -1, -1, 1, 1, 0, 1, 0, -1, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, -1, -1, 0, 0, 1, -1, 1, 1, 1, -1, 1, 0, -1, 0, -1, -1, -1, 0, 1, 0, 1, 1]"
100,20,19,0.0,3,56,0.9651,"[{'group': 1, 'count': 44}, {'group': 0, 'count': 55}, {'group': -1, 'count': 56}]","[0, 1, 1, 0, 0, -1, 1, 0, 1, -1, -1, 0, -1, -1, 1, -1, -1, 1, 1, 0, 1, -1, -1, -1, -1, 1, -1, -1, 0, 0, -1, 0, 0, 1, 0, 1, -1, 0, -1, 0, 1, -1, -1, 1, 0, 1, -1, -1, 0, 0, 1, -1, 1, 0, 1, -1, 1, 1, 0, -1, 1, -1, 0, 0, 0, 1, -1, 0, 1, -1, -1, -1, 0, 0, 1, 0, 0, 0, -1, 1, -1, 1, 0, -1, 0, -1, -1, 1, -1, -1, 0, 1, -1, 1, 0, 0, -1, 1, 0, 1, 0, 0, -1, -1, -1, 0, 1, -1, 1, -1, 1, 0, -1, -1, 1, 1, 0, 1, 0, -1, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, -1, -1, 0, 0, 1, -1, 1, 1, 1, -1, 1, 0, -1, 0, -1, -1, -1, 0, 1, 0, 1, 1]"
100,20,18,0.0,3,56,0.9651,"[{'group': 1, 'count': 44}, {'group': 0, 'count': 55}, {'group': -1, 'count': 56}]","[0, 1, 1, 0, 0, -1, 1, 0, 1, -1, -1, 0, -1, -1, 1, -1, -1, 1, 1, 0, 1, -1, -1, -1, -1, 1, -1, -1, 0, 0, -1, 0, 0, 1, 0, 1, -1, 0, -1, 0, 1, -1, -1, 1, 0, 1, -1, -1, 0, 0, 1, -1, 1, 0, 1, -1, 1, 1, 0, -1, 1, -1, 0, 0, 0, 1, -1, 0, 1, -1, -1, -1, 0, 0, 1, 0, 0, 0, -1, 1, -1, 1, 0, -1, 0, -1, -1, 1, -1, -1, 0, 1, -1, 1, 0, 0, -1, 1, 0, 1, 0, 0, -1, -1, -1, 0, 1, -1, 1, -1, 1, 0, -1, -1, 1, 1, 0, 1, 0, -1, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, -1, -1, 0, 0, 1, -1, 1, 1, 1, -1, 1, 0, -1, 0, -1, -1, -1, 0, 1, 0, 1, 1]"
100,20,17,0.0,3,56,0.9651,"[{'group': 1, 'count': 44}, {'group': 0, 'count': 55}, {'group': -1, 'count': 56}]","[0, 1, 1, 0, 0, -1, 1, 0, 1, -1, -1, 0, -1, -1, 1, -1, -1, 1, 1, 0, 1, -1, -1, -1, -1, 1, -1, -1, 0, 0, -1, 0, 0, 1, 0, 1, -1, 0, -1, 0, 1, -1, -1, 1, 0, 1, -1, -1, 0, 0, 1, -1, 1, 0, 1, -1, 1, 1, 0, -1, 1, -1, 0, 0, 0, 1, -1, 0, 1, -1, -1, -1, 0, 0, 1, 0, 0, 0, -1, 1, -1, 1, 0, -1, 0, -1, -1, 1, -1, -1, 0, 1, -1, 1, 0, 0, -1, 1, 0, 1, 0, 0, -1, -1, -1, 0, 1, -1, 1, -1, 1, 0, -1, -1, 1, 1, 0, 1, 0, -1, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, -1, -1, 0, 0, 1, -1, 1, 1, 1, -1, 1, 0, -1, 0, -1, -1, -1, 0, 1, 0, 1, 1]"
100,20,16,0.0,3,56,0.9651,"[{'group': 1, 'count': 44}, {'group': 0, 'count': 55}, {'group': -1, 'count': 56}]","[0, 1, 1, 0, 0, -1, 1, 0, 1, -1, -1, 0, -1, -1, 1, -1, -1, 1, 1, 0, 1, -1, -1, -1, -1, 1, -1, -1, 0, 0, -1, 0, 0, 1, 0, 1, -1, 0, -1, 0, 1, -1, -1, 1, 0, 1, -1, -1, 0, 0, 1, -1, 1, 0, 1, -1, 1, 1, 0, -1, 1, -1, 0, 0, 0, 1, -1, 0, 1, -1, -1, -1, 0, 0, 1, 0, 0, 0, -1, 1, -1, 1, 0, -1, 0, -1, -1, 1, -1, -1, 0, 1, -1, 1, 0, 0, -1, 1, 0, 1, 0, 0, -1, -1, -1, 0, 1, -1, 1, -1, 1, 0, -1, -1, 1, 1, 0, 1, 0, -1, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, -1, -1, 0, 0, 1, -1, 1, 1, 1, -1, 1, 0, -1, 0, -1, -1, -1, 0, 1, 0, 1, 1]"
100,20,15,0.0,3,56,0.9651,"[{'group': 1, 'count': 44}, {'group': 0, 'count': 55}, {'group': -1, 'count': 56}]","[0, 1, 1, 0, 0, -1, 1, 0, 1, -1, -1, 0, -1, -1, 1, -1, -1, 1, 1, 0, 1, -1, -1, -1, -1, 1, -1, -1, 0, 0, -1, 0, 0, 1, 0, 1, -1, 0, -1, 0, 1, -1, -1, 1, 0, 1, -1, -1, 0, 0, 1, -1, 1, 0, 1, -1, 1, 1, 0, -1, 1, -1, 0, 0, 0, 1, -1, 0, 1, -1, -1, -1, 0, 0, 1, 0, 0, 0, -1, 1, -1, 1, 0, -1, 0, -1, -1, 1, -1, -1, 0, 1, -1, 1, 0, 0, -1, 1, 0, 1, 0, 0, -1, -1, -1, 0, 1, -1, 1, -1, 1, 0, -1, -1, 1, 1, 0, 1, 0, -1, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, -1, -1, 0, 0, 1, -1, 1, 1, 1, -1, 1, 0, -1, 0, -1, -1, -1, 0, 1, 0, 1, 1]"
100,20,14,0.0,3,56,0.9651,"[{'group': 1, 'count': 44}, {'group': 0, 'count': 55}, {'group': -1, 'count': 56}]","[0, 1, 1, 0, 0, -1, 1, 0, 1, -1, -1, 0, -1, -1, 1, -1, -1, 1, 1, 0, 1, -1, -1, -1, -1, 1, -1, -1, 0, 0, -1, 0, 0, 1, 0, 1, -1, 0, -1, 0, 1, -1, -1, 1, 0, 1, -1, -1, 0, 0, 1, -1, 1, 0, 1, -1, 1, 1, 0, -1, 1, -1, 0, 0, 0, 1, -1, 0, 1, -1, -1, -1, 0, 0, 1, 0, 0, 0, -1, 1, -1, 1, 0, -1, 0, -1, -1, 1, -1, -1, 0, 1, -1, 1, 0, 0, -1, 1, 0, 1, 0, 0, -1, -1, -1, 0, 1, -1, 1, -1, 1, 0, -1, -1, 1, 1, 0, 1, 0, -1, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, -1, -1, 0, 0, 1, -1, 1, 1, 1, -1, 1, 0, -1, 0, -1, -1, -1, 0, 1, 0, 1, 1]"
100,20,13,0.0,3,56,0.9651,"[{'group': 1, 'count': 44}, {'group': 0, 'count': 55}, {'group': -1, 'count': 56}]","[0, 1, 1, 0, 0, -1, 1, 0, 1, -1, -1, 0, -1, -1, 1, -1, -1, 1, 1, 0, 1, -1, -1, -1, -1, 1, -1, -1, 0, 0, -1, 0, 0, 1, 0, 1, -1, 0, -1, 0, 1, -1, -1, 1, 0, 1, -1, -1, 0, 0, 1, -1, 1, 0, 1, -1, 1, 1, 0, -1, 1, -1, 0, 0, 0, 1, -1, 0, 1, -1, -1, -1, 0, 0, 1, 0, 0, 0, -1, 1, -1, 1, 0, -1, 0, -1, -1, 1, -1, -1, 0, 1, -1, 1, 0, 0, -1, 1, 0, 1, 0, 0, -1, -1, -1, 0, 1, -1, 1, -1, 1, 0, -1, -1, 1, 1, 0, 1, 0, -1, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, -1, -1, 0, 0, 1, -1, 1, 1, 1, -1, 1, 0, -1, 0, -1, -1, -1, 0, 1, 0, 1, 1]"
100,20,12,0.0,3,56,0.9651,"[{'group': 1, 'count': 44}, {'group': 0, 'count': 55}, {'group': -1, 'count': 56}]","[0, 1, 1, 0, 0, -1, 1, 0, 1, -1, -1, 0, -1, -1, 1, -1, -1, 1, 1, 0, 1, -1, -1, -1, -1, 1, -1, -1, 0, 0, -1, 0, 0, 1, 0, 1, -1, 0, -1, 0, 1, -1, -1, 1, 0, 1, -1, -1, 0, 0, 1, -1, 1, 0, 1, -1, 1, 1, 0, -1, 1, -1, 0, 0, 0, 1, -1, 0, 1, -1, -1, -1, 0, 0, 1, 0, 0, 0, -1, 1, -1, 1, 0, -1, 0, -1, -1, 1, -1, -1, 0, 1, -1, 1, 0, 0, -1, 1, 0, 1, 0, 0, -1, -1, -1, 0, 1, -1, 1, -1, 1, 0, -1, -1, 1, 1, 0, 1, 0, -1, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, -1, -1, 0, 0, 1, -1, 1, 1, 1, -1, 1, 0, -1, 0, -1, -1, -1, 0, 1, 0, 1, 1]"
100,20,11,0.0,3,56,0.9651,"[{'group': 1, 'count': 44}, {'group': 0, 'count': 55}, {'group': -1, 'count': 56}]","[0, 1, 1, 0, 0, -1, 1, 0, 1, -1, -1, 0, -1, -1, 1, -1, -1, 1, 1, 0, 1, -1, -1, -1, -1, 1, -1, -1, 0, 0, -1, 0, 0, 1, 0, 1, -1, 0, -1, 0, 1, -1, -1, 1, 0, 1, -1, -1, 0, 0, 1, -1, 1, 0, 1, -1, 1, 1, 0, -1, 1, -1, 0, 0, 0, 1, -1, 0, 1, -1, -1, -1, 0, 0, 1, 0, 0, 0, -1, 1, -1, 1, 0, -1, 0, -1, -1, 1, -1, -1, 0, 1, -1, 1, 0, 0, -1, 1, 0, 1, 0, 0, -1, -1, -1, 0, 1, -1, 1, -1, 1, 0, -1, -1, 1, 1, 0, 1, 0, -1, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, -1, -1, 0, 0, 1, -1, 1, 1, 1, -1, 1, 0, -1, 0, -1, -1, -1, 0, 1, 0, 1, 1]"
