HDBSCAN_Cluster,Percent,NumDocs,DocIds
-1,0.7286821705426356,94,"[5, 10, 14, 24, 27, 35, 36, 38, 42, 49, 51, 52, 66, 69, 73, 85, 91, 103, 128, 134, 136, 140, 142, 145, 146, 149, 153, 157, 167, 173, 174, 181, 184, 188, 196, 198, 209, 227, 234, 246, 247, 251, 252, 253, 254, 259, 263, 277, 278, 285, 287, 307, 308, 318, 320, 323, 326, 338, 342, 343, 345, 355, 380, 383, 386, 391, 394, 395, 399, 412, 413, 432, 434, 438, 447, 457, 462, 463, 466, 467, 472, 473, 480, 481, 484, 516, 560, 565, 567, 569, 571, 579, 588, 589]"
0,0.10852713178294573,14,"[79, 162, 164, 195, 200, 212, 233, 269, 312, 445, 476, 492, 553, 592]"
1,0.16279069767441862,21,"[6, 67, 120, 121, 130, 154, 168, 221, 226, 229, 266, 304, 325, 328, 350, 396, 443, 475, 524, 541, 598]"
