,parent,child,lambda_val,child_size
0,287,202,4286.462953500256,1
1,287,165,4363.385175552666,1
2,287,43,4429.043294614572,1
3,287,4,4572.694467157264,1
4,287,164,4673.3192200557105,1
5,287,278,4732.642031029619,1
6,287,239,4894.170361726954,1
7,287,180,4982.8381348381345,1
8,287,259,5015.610164424515,1
9,287,163,5064.055538786598,1
10,287,161,5102.559610705596,1
11,287,186,5309.245569620253,1
12,287,238,5353.29164007658,1
13,287,63,5452.458888527787,1
14,287,184,5671.810682893847,1
15,287,246,5712.364998297582,1
16,287,34,5866.159440559441,1
17,287,100,6000.434907010014,1
18,287,124,6083.109499637419,1
19,287,277,6118.605397520058,1
20,287,262,6174.904674273095,1
21,287,264,6232.249628528974,1
22,287,279,6236.883271375465,1
23,287,62,6239.202677575307,1
24,287,197,6297.753753753754,1
25,287,198,6333.414873537184,1
26,287,137,6335.80664652568,1
27,287,196,6352.599772813328,1
28,287,50,6369.4821564160975,1
29,287,134,6460.2294955718135,1
30,287,123,6510.367093519596,1
31,287,275,6523.0233281493,1
32,287,144,6558.724003127443,1
33,287,273,6589.63707776905,1
34,287,94,6681.487853444843,1
35,287,103,6689.480063795853,1
36,287,83,6745.965420184962,1
37,287,90,6792.395141700405,1
38,287,36,6938.468155500414,1
39,287,261,6961.500414937759,1
40,287,51,6981.779442363712,1
41,287,107,6987.595168679717,1
42,287,213,6993.420591913297,1
43,287,222,6996.336947456213,1
44,287,65,7016.81974069427,1
45,287,87,7022.694014231896,1
46,287,217,7142.28011919966,1
47,287,142,7225.329888027562,1
48,287,267,7240.921881743634,1
49,287,168,7244.048359240069,1
50,287,131,7250.309420916163,1
51,287,284,7253.44401210549,1
52,287,223,7303.968654767087,1
53,287,42,7371.360281195079,1
54,287,155,7390.844052863436,1
55,287,195,7410.43109540636,1
56,287,97,7459.855935971543,1
57,287,11,7526.790489008524,1
58,287,234,7619.080835603996,1
59,287,7,7629.475216007276,1
60,287,32,7692.441999082989,1
61,287,33,7713.662528735632,1
62,287,12,7717.210671573137,1
63,287,119,7738.568265682657,1
64,287,25,7806.987436016752,1
65,287,271,7825.194029850746,1
66,287,57,7825.194029850746,1
67,287,152,7843.485741000468,1
68,287,23,7869.238273921201,1
69,287,177,7884.0300751879695,1
70,287,229,7943.757575757576,1
71,287,150,7966.389363722697,1
72,287,187,7985.347929557353,1
73,287,110,8000.579876013352,1
74,287,280,8058.220941402497,1
75,287,128,8089.303760848602,1
76,287,104,8089.303760848602,1
77,287,179,8192.0,1
78,287,3,8200.007820136852,1
79,287,28,8252.442695523856,1
80,287,151,8297.337289812067,1
81,287,77,8359.350274040857,1
82,287,74,8392.8044022011,1
83,287,125,8397.005005005005,1
84,287,18,8469.06410903584,1
85,287,171,8473.341414141414,1
86,287,141,8503.403953370502,1
87,287,183,8533.680569684639,1
88,287,9,8542.370672097759,1
89,287,176,8643.594023699125,1
90,287,49,8706.391281785158,1
91,287,8,8710.91173416407,1
92,287,24,8738.133333333333,1
93,287,106,8834.763559768298,1
94,287,199,8844.078017923037,1
95,287,243,8848.742616033755,1
96,287,45,8848.742616033755,1
97,287,40,8853.412137203166,1
98,287,216,8890.946475887653,1
99,287,191,8890.946475887653,1
100,287,112,8919.306751727805,1
101,287,99,8947.848533333334,1
102,287,147,8957.403096636412,1
103,287,85,9010.320085929108,1
104,287,31,9054.083108472747,1
105,287,16,9054.083108472747,1
106,287,26,9054.083108472747,1
107,287,6,9068.765405405406,1
108,287,47,9162.870562534134,1
109,287,102,9279.433628318584,1
110,287,130,9336.235948803562,1
111,287,236,9372.746368715083,1
112,287,143,9372.746368715083,1
113,287,113,9377.985466741196,1
114,287,92,9404.269058295964,1
115,287,153,9409.543466068424,1
116,287,127,9425.402247191012,1
117,287,129,9516.288145207034,1
118,287,0,9554.223234624145,1
119,287,193,9845.784037558686,1
120,287,154,9933.22439313203,1
121,287,27,9986.438095238096,1
122,287,220,9992.385944014295,1
123,287,98,9992.385944014295,1
124,287,48,10034.22009569378,1
125,287,15,10052.256440982625,1
126,287,192,10058.282973621102,1
127,287,244,10064.316736652669,1
128,287,167,10064.316736652669,1
129,287,126,10070.357743097238,1
130,287,254,10076.406006006006,1
131,287,231,10076.406006006006,1
132,287,212,10076.406006006006,1
133,287,10,10112.848704038577,1
134,287,30,10149.555958862675,1
135,287,157,10149.555958862675,1
136,287,210,10174.175864160097,1
137,287,64,10174.175864160097,1
138,287,71,10180.349514563106,1
139,287,283,10198.915501519758,1
140,287,41,10198.915501519758,1
141,287,200,10255.022004889976,1
142,287,250,10330.79802955665,1
143,287,39,10337.163277880469,1
144,287,178,10362.70290302656,1
145,287,53,10388.369040247679,1
146,287,219,10420.631055900622,1
147,287,133,10420.631055900622,1
148,287,114,10427.10752019888,1
149,287,86,10446.585305105853,1
150,287,159,10498.883604505632,1
151,287,93,10505.457733249843,1
152,287,105,10505.457733249843,1
153,287,247,10538.452261306533,1
154,287,237,10591.676767676769,1
155,287,233,10611.774826059456,1
156,287,240,10631.949302915082,1
157,287,205,10658.968233799238,1
158,287,61,10658.968233799238,1
159,287,20,10713.42017879949,1
160,287,286,10761.524053880692,1
161,287,149,10768.431322207958,1
162,287,108,10817.031592520954,1
163,287,235,10880.166018158236,1
164,287,160,10915.560182173065,1
165,287,188,10936.907431551499,1
166,287,242,11008.671916010499,1
167,287,175,11008.671916010499,1
