1-gram,1-gram-score,1-gram-freq,1-gram-docs,1-gram-clusters,2-gram,2-gram-score,2-gram-freq,2-gram-docs,2-gram-clusters,3-gram,3-gram-score,3-gram-freq,3-gram-docs,3-gram-clusters,N-gram,N-gram-score,N-gram-freq,N-gram-docs,N-gram-clusters
scoring,0.0057248177,3,1,1,urban modeling,0.0163603259,5,1,1,urban modeling technique,0.048164799300000005,6,1,1,urban modeling technique,0.048164799300000005,6,1,1
sidewalk,0.0057248177,6,1,4,urban perception,0.0147242933,6,1,2,local urban perception,0.0321098662,4,1,1,local urban perception,0.0321098662,4,1,1
height,0.0056897297,10,2,7,modeling technique,0.0118532401,6,1,3,proposed urban modeling,0.0240823997,3,1,1,proposed urban modeling,0.0240823997,3,1,1
perception,0.0051207567,9,2,7,building height,0.0079021601,4,1,3,adversarial scoring framework,0.0160549331,2,1,1,urban modeling,0.0163603259,5,1,1
image,0.0042053245000000005,13,5,10,urban model,0.0079021601,4,1,3,urban perception assessment,0.0160549331,2,1,1,adversarial scoring framework,0.0160549331,2,1,1
valuation,0.0038165451,2,1,1,urban environment,0.0067901487,10,4,9,building usable floor,0.0160549331,2,1,1,urban perception assessment,0.0160549331,2,1,1
floor,0.0034564123,3,2,3,adversarial scoring,0.0065441303,2,1,1,usable floor area,0.0160549331,2,1,1,building usable floor,0.0160549331,2,1,1
classifier,0.0033394770000000004,7,3,8,scoring framework,0.0065441303,2,1,1,spatial information system,0.0160549331,2,1,1,usable floor area,0.0160549331,2,1,1
presence,0.0032022186,4,2,5,perception assessment,0.0065441303,2,1,1,predict building height,0.0160549331,2,1,1,spatial information system,0.0160549331,2,1,1
classification,0.0030946554,12,3,11,seven type,0.0065441303,2,1,1,artificial urban environment,0.0160549331,2,1,1,predict building height,0.0160549331,2,1,1
scene,0.0027002772,4,2,6,five classifier,0.0065441303,2,1,1,street view image,0.0085193746,3,1,6,artificial urban environment,0.0160549331,2,1,1
street,0.0019800117,5,3,9,sidewalk segment,0.0065441303,2,1,1,urban perception datasets,0.0080274666,1,1,1,urban perception,0.0147242933,6,1,2
matplotlib,0.0019082726000000001,1,1,1,georeferenced image,0.0065441303,2,1,1,created using machine,0.0080274666,1,1,1,street view image,0.0085193746,3,1,6
arise,0.0019082726000000001,1,1,1,urban valuation,0.0065441303,2,1,1,incorporates deep learning,0.0080274666,1,1,1,urban perception datasets,0.0080274666,1,1,1
acquisition,0.0019082726000000001,2,1,4,usable floor,0.0065441303,2,1,1,method provides perception,0.0080274666,1,1,1,created using machine,0.0080274666,1,1,1
implanting,0.0019082726000000001,1,1,1,predict building,0.0065441303,2,1,1,provides perception estimation,0.0080274666,1,1,1,incorporates deep learning,0.0080274666,1,1,1
compete,0.0019082726000000001,1,1,1,height data,0.0065441303,2,2,1,driving factor analysis,0.0080274666,1,1,1,method provides perception,0.0080274666,1,1,1
rapidity,0.0019082726000000001,1,1,1,building reconstruction,0.0065441303,2,1,1,urban functional aspect,0.0080274666,1,1,1,provides perception estimation,0.0080274666,1,1,1
stock,0.0019082726000000001,2,1,4,historical map,0.0065441303,2,1,1,urban perception derivation,0.0080274666,1,1,1,driving factor analysis,0.0080274666,1,1,1
cuboid,0.0019082726000000001,1,1,1,missing height,0.0065441303,2,1,1,obtaining accurate information,0.0080274666,1,1,1,urban functional aspect,0.0080274666,1,1,1
