1-gram,1-gram-score,1-gram-freq,1-gram-docs,1-gram-clusters,2-gram,2-gram-score,2-gram-freq,2-gram-docs,2-gram-clusters,3-gram,3-gram-score,3-gram-freq,3-gram-docs,3-gram-clusters,N-gram,N-gram-score,N-gram-freq,N-gram-docs,N-gram-clusters
temperature,0.0326997336,43,9,3,surface temperature,0.0275518979,18,5,2,urban thermal landscape,0.022195760000000002,4,1,1,temperature,0.0326997336,43,9,3
aridity,0.0163740165,13,1,1,thermal landscape,0.020408813300000002,10,1,1,thermal landscape pattern,0.022195760000000002,4,1,1,surface temperature,0.0275518979,18,5,2
surface,0.0100395916,19,6,5,thermal patch,0.018367931900000002,9,1,1,land surface temperature,0.020808525,5,4,2,urban thermal landscape,0.022195760000000002,4,1,1
park,0.0063407947,12,1,5,cooling effect,0.013775949000000001,9,4,2,urban thermal condition,0.01664682,3,2,1,thermal landscape pattern,0.022195760000000002,4,1,1
grade,0.0062976987,5,1,1,urban vegetation,0.012245288,8,1,2,urban thermal environment,0.01664682,3,2,1,land surface temperature,0.020808525,5,4,2
summer,0.0056679288,6,5,2,cooling efficiency,0.012245288,6,1,1,urban heat island,0.0134008982,4,3,3,thermal landscape,0.020408813300000002,10,1,1
effect,0.0055513803,26,7,10,urban park,0.010714627000000001,7,1,2,urban vegetation configuration,0.011097880000000001,2,1,1,thermal patch,0.018367931900000002,9,1,1
landscape,0.0052275622,20,4,9,air temperature,0.009183966,6,2,2,urban vegetation type,0.011097880000000001,2,1,1,urban thermal condition,0.01664682,3,2,1
heat,0.0050381589,8,6,4,vegetation type,0.0081635253,4,1,1,urban ecological infrastructure,0.011097880000000001,2,2,1,urban thermal environment,0.01664682,3,2,1
vegetation,0.0050381589,16,3,8,heat island,0.0061610062,5,5,3,urban surface temperature,0.011097880000000001,2,2,1,aridity,0.0163740165,13,1,1
patch,0.0049013139,11,1,6,land surface,0.0061610062,5,4,3,thermal landscape patch,0.011097880000000001,2,1,1,cooling effect,0.013775949000000001,9,4,2
cooling,0.004723274,5,3,2,vegetation configuration,0.006122644,3,1,1,data envelopment analysis,0.011097880000000001,2,1,1,urban heat island,0.0134008982,4,3,3
trait,0.004723274,5,2,2,thermal condition,0.006122644,3,2,1,cooling effect index,0.011097880000000001,2,1,1,urban vegetation,0.012245288,8,1,2
island,0.0037786192,6,6,4,thermal environment,0.006122644,3,2,1,urban development pattern,0.0100506737,3,1,3,cooling efficiency,0.012245288,6,1,1
circumference,0.0037786192,3,1,1,architectural pattern,0.006122644,3,1,1,protect urban dweller,0.0055489400000000005,1,1,1,urban vegetation configuration,0.011097880000000001,2,1,1
index,0.003416234,16,6,10,marginal effect,0.006122644,3,1,1,adverse heat impact,0.0055489400000000005,1,1,1,urban vegetation type,0.011097880000000001,2,1,1
urbanization,0.0031488493,10,2,8,mean architecture,0.006122644,3,1,1,estimated statistical model,0.0055489400000000005,1,1,1,urban ecological infrastructure,0.011097880000000001,2,2,1
light,0.0031488493,5,1,4,whole landscape,0.006122644,3,1,1,remotely sensed temperature,0.0055489400000000005,1,1,1,urban surface temperature,0.011097880000000001,2,2,1
indicator,0.0030043677,8,3,7,aridity index,0.006122644,3,1,1,sensed temperature data,0.0055489400000000005,1,1,1,thermal landscape patch,0.011097880000000001,2,1,1
winter,0.0028339644,3,2,2,tree trait,0.006122644,3,1,1,vegetation configuration influence,0.0055489400000000005,1,1,1,data envelopment analysis,0.011097880000000001,2,1,1
