Cluster,DocId,x,y
5,258,4.97,5.1
10,259,3.3,2.65
8,260,3.29,3.75
2,261,2.47,2.92
1,262,7.75,2.89
10,263,3.9,2.14
10,264,3.39,2.73
13,265,3.35,4.5
9,266,0.68,1.28
5,267,4.07,5.39
7,268,5.58,2.22
10,269,3.7,3.02
7,270,7.16,2.52
2,271,2.25,3.33
2,272,2.56,3.94
5,273,5.42,4.64
5,274,4.55,5.47
13,275,3.43,4.5600000000000005
8,276,4.31,3.42
8,277,4.28,3.45
13,278,3.66,4.87
9,279,0.63,1.23
13,280,2.98,4.41
5,281,4.68,4.79
14,282,4.75,2.89
10,283,3.62,2.44
13,284,2.98,4.95
11,285,6.67,7.0
0,286,6.85,3.52
2,287,2.31,3.77
13,288,3.71,4.48
14,289,4.9,2.88
9,290,0.74,1.34
1,291,9.06,1.79
12,292,6.0,4.65
12,293,5.8,4.87
2,294,2.55,2.69
10,295,3.15,2.37
4,296,7.44,4.17
2,297,2.67,2.99
2,298,2.76,4.03
4,299,8.25,3.94
2,300,2.63,3.4
2,301,2.43,3.14
10,302,3.2800000000000002,2.66
3,303,7.41,4.87
13,304,3.94,4.65
12,305,6.26,4.96
2,306,1.87,2.89
13,307,3.06,5.1
0,308,6.94,2.88
10,309,3.49,3.25
2,310,2.31,3.8
14,311,4.57,3.44
4,312,8.69,3.3
7,313,6.47,2.26
0,314,6.45,3.48
5,315,4.79,5.37
5,316,4.83,5.39
5,317,5.48,5.75
5,318,4.92,5.41
13,319,2.96,4.8100000000000005
2,320,2.3,3.84
5,321,5.5,4.95
6,322,5.98,6.84
4,323,7.69,3.26
3,324,8.69,5.13
6,325,6.04,6.78
1,326,8.57,2.2
8,327,6.88,6.15
0,328,6.98,3.94
11,329,7.25,7.14
7,330,5.57,2.4
4,331,7.95,4.26
14,332,4.52,2.91
10,333,3.33,2.75
2,334,2.87,3.11
14,335,5.1,2.94
13,336,3.62,4.57
5,337,3.96,4.95
2,338,2.3,2.59
0,339,6.62,3.58
8,340,4.23,3.7
0,341,7.29,3.2
5,342,4.62,5.11
8,343,4.52,3.63
4,344,7.78,4.34
7,345,5.65,1.83
4,346,7.91,3.93
6,347,7.01,6.34
11,348,7.1,7.08
10,349,4.03,2.58
2,350,3.02,2.95
2,351,2.24,2.96
2,352,2.91,3.05
5,353,4.3,5.14
14,354,5.44,3.34
11,355,7.14,7.19
5,356,4.64,5.25
9,357,0.59,1.19
9,358,0.59,1.19
7,359,6.02,2.23
4,360,8.72,3.21
9,361,0.75,1.35
7,362,6.69,2.74
1,363,8.45,2.05
7,364,6.46,2.5700000000000003
7,365,6.07,2.46
1,366,8.68,2.09
13,367,3.03,4.32
10,368,3.93,2.11
14,369,4.37,2.61
10,370,3.41,2.89
14,371,4.41,2.79
14,372,4.3,2.54
10,373,3.6,3.21
7,374,5.7,2.37
5,375,4.94,4.6
13,376,3.75,4.92
1,377,9.2,1.9300000000000002
7,378,6.22,2.4
3,379,7.63,5.21
2,380,2.94,2.71
4,381,8.43,2.88
14,382,4.89,2.23
7,383,4.37,1.92
1,384,8.37,2.2
5,385,4.76,4.84
13,386,2.89,4.35
2,387,3.12,3.84
1,388,8.84,1.79
7,389,6.75,2.7199999999999998
5,390,4.83,5.19
10,391,3.73,2.4
8,392,3.48,3.54
0,393,6.32,4.24
5,394,4.48,5.49
3,395,8.71,5.1
10,396,3.25,2.75
2,397,2.59,2.9
12,398,6.46,4.36
2,399,2.25,3.19
1,400,8.12,2.04
5,401,4.49,5.23
13,402,2.91,4.52
10,403,3.94,2.88
8,404,3.44,3.93
5,405,4.16,5.5
4,406,7.97,4.26
2,407,2.62,3.64
10,408,3.9699999999999998,2.95
7,409,6.23,2.58
1,410,7.57,2.35
5,411,4.87,5.2
6,412,7.25,5.74
11,413,7.08,7.08
13,414,6.66,6.2
6,415,6.67,6.7
10,416,3.56,3.26
0,417,6.47,3.64
10,418,3.43,2.42
6,419,6.09,6.8100000000000005
11,420,7.17,7.13
7,421,5.87,2.31
7,422,5.9,2.37
11,423,7.08,7.11
6,424,7.15,6.39
8,425,4.52,3.89
7,426,6.19,2.54
1,427,8.52,1.9300000000000002
12,428,5.78,4.75
1,429,8.04,1.9300000000000002
0,430,7.18,3.9699999999999998
0,431,6.86,3.91
13,432,4.05,4.75
13,433,2.89,4.95
6,434,7.16,6.54
7,435,6.13,2.14
1,436,9.2,1.9300000000000002
1,437,7.75,2.88
0,438,6.87,4.16
6,439,6.76,6.55
7,440,6.21,1.94
10,441,3.99,2.92
3,442,7.54,5.19
1,443,8.26,2.33
0,444,6.62,3.64
6,445,6.76,6.05
10,446,3.93,2.65
10,447,3.24,2.45
14,448,4.28,2.52
1,449,8.81,2.26
1,450,8.33,2.03
6,451,7.14,5.76
14,452,4.37,2.83
1,453,8.77,1.5899999999999999
1,454,8.14,1.88
12,455,6.59,5.06
0,456,6.99,3.07
8,457,4.21,3.7199999999999998
4,458,7.8,4.0
1,459,8.76,1.69
2,460,2.62,3.5
0,461,6.71,3.73
0,462,6.42,4.26
2,463,2.76,3.89
1,464,8.84,1.8
5,465,5.06,4.48
6,466,6.63,5.88
14,467,5.22,2.84
1,468,9.25,1.87
7,469,5.94,2.5700000000000003
4,470,8.18,3.89
4,471,7.5600000000000005,3.39
0,472,6.4,3.89
0,473,6.67,3.85
3,474,8.53,5.19
7,475,5.58,1.78
2,476,2.05,2.83
13,477,3.07,4.7
11,478,6.61,6.96
5,479,5.08,5.43
4,480,7.42,3.08
13,481,3.44,4.13
2,482,3.0,3.8200000000000003
6,483,6.73,5.77
12,484,6.7,4.89
1,485,8.91,1.9500000000000002
8,486,3.84,3.88
4,487,7.73,3.77
13,488,4.16,5.0
2,489,2.44,3.9
14,490,4.6,3.19
7,491,5.53,2.3
11,492,7.07,7.12
8,493,4.08,3.3
