Cluster,DocId,x,y
2,0,9.34,2.02
9,1,8.32,3.76
2,2,8.69,1.77
4,3,3.71,4.74
9,4,7.93,4.32
9,5,8.57,5.18
4,6,3.59,4.47
6,7,6.18,6.76
1,8,6.37,5.03
9,9,7.8,4.39
0,10,5.86,2.14
1,11,6.79,4.12
5,12,3.88,2.96
0,13,7.05,2.5
0,14,5.89,2.31
0,15,6.0,2.58
9,16,8.32,3.93
3,17,2.33,2.71
2,18,9.08,1.9500000000000002
2,19,7.76,2.21
2,20,9.17,1.9
6,21,6.3,6.76
1,22,6.04,4.94
6,23,7.36,6.43
9,24,8.69,3.26
9,25,8.26,3.03
0,26,5.86,2.8200000000000003
6,27,7.08,7.18
1,28,6.66,4.91
9,29,7.75,3.16
9,30,7.93,3.92
5,31,3.89,2.1
5,32,3.37,2.99
4,33,5.45,4.98
1,34,7.52,5.3
1,35,6.58,3.5
2,36,9.16,1.9500000000000002
3,37,2.86,3.04
6,38,7.05,7.12
5,39,3.41,2.91
2,40,7.39,2.48
9,41,7.49,6.28
0,42,5.98,2.73
4,43,3.95,4.29
6,44,7.05,7.08
5,45,6.83,6.19
4,46,3.13,4.26
8,47,5.67,4.86
9,48,7.92,4.29
1,49,6.68,4.86
0,50,5.43,3.46
6,51,6.67,6.0
9,52,8.39,3.7199999999999998
2,53,8.43,2.19
7,54,0.76,1.3599999999999999
2,55,8.13,1.82
3,56,2.43,2.84
2,57,8.37,2.7
0,58,5.95,2.11
3,59,2.36,3.87
2,60,8.14,1.82
0,61,6.0,2.4
2,62,8.34,2.83
2,63,8.73,2.75
5,64,3.45,2.46
0,65,5.64,2.87
9,66,8.7,5.11
9,67,8.3,3.76
0,68,5.6,1.78
1,69,7.19,4.09
2,70,8.86,2.4
9,71,8.45,3.37
1,72,5.66,3.68
1,73,6.94,4.66
1,74,6.58,4.96
9,75,8.36,3.41
9,76,8.35,3.58
5,77,4.41,2.71
0,78,5.46,1.98
7,79,0.61,1.21
2,80,8.62,1.71
5,81,3.63,3.12
6,82,7.06,6.49
9,83,8.13,3.8
1,84,5.49,3.66
6,85,6.72,6.85
3,86,3.14,2.75
0,87,6.26,2.04
6,88,7.04,7.1
9,89,8.37,3.8200000000000003
0,90,5.89,2.83
5,91,4.09,3.66
0,92,5.64,2.36
4,93,3.6,4.37
6,94,6.96,7.08
1,95,6.69,4.71
5,96,4.17,2.87
6,97,7.26,7.12
2,98,9.23,1.92
2,99,8.55,2.01
6,100,6.43,6.8
9,101,8.43,3.66
0,102,5.39,2.81
1,103,6.66,4.89
2,104,9.27,2.09
3,105,1.9,2.96
5,106,4.58,2.96
3,107,2.9699999999999998,3.41
9,108,8.66,3.33
2,109,7.85,2.74
2,110,8.43,2.02
9,111,7.84,3.47
9,112,8.57,3.5300000000000002
6,113,6.69,6.93
0,114,5.93,2.66
3,115,2.29,3.5
0,116,4.88,2.9
3,117,3.22,2.79
6,118,6.3,6.58
9,119,8.76,5.06
9,120,8.53,5.18
