HDBSCAN_Cluster,Percent,NumDocs,DocIds
-1,0.5074626865671642,34,"[1, 12, 21, 33, 36, 53, 56, 58, 61, 64, 68, 88, 109, 112, 121, 148, 150, 166, 173, 199, 205, 246, 250, 332, 369, 386, 399, 414, 558, 564, 566, 568, 580, 581]"
0,0.29850746268656714,20,"[47, 67, 75, 76, 98, 103, 143, 151, 152, 174, 297, 354, 377, 381, 385, 390, 487, 532, 541, 583]"
1,0.19402985074626866,13,"[40, 54, 70, 108, 132, 179, 207, 266, 275, 308, 357, 408, 442]"
