Group,score,NumPhrases,Key-phrases,NumDocs,DocIds
1,0.9570945208,19,"['analytical hierarchical process', 'CIOI prediction model', 'complex system and data science', 'decision tree', 'hierarchical clustering algorithm', 'machine learning', 'machine learning method', 'machine learning model', 'mean absolute percentage error', 'metamodels', 'neural network', 'particle swarm optimization', 'random forest method', 'random forest regression', 'regression analysis', 'regression tree', 'result ELM', 'soft computing methodology', 'Unified Model Local Data Assimilation']",17,"[10, 62, 102, 178, 201, 228, 338, 371, 379, 421, 431, 453, 454, 495, 500, 512, 520]"
2,0.7970513914,21,"['agricultural afforestation area', 'block planning', 'city design strategy', 'floor area ratio', 'foot traffic', 'geographic information system', 'green sidewalk', 'land parcel', 'metropolitan area', 'open urban area', 'optimal zoning', 'physical and socioeconomic characteristic', 'physical urban form feature', 'smart city management', 'spatial decomposition capability', 'sustainable urban planning', 'urban area', 'urban configuration', 'urban geometric type and energy pattern', 'urban planning', 'urban rural dichotomy']",14,"[10, 62, 178, 201, 228, 338, 371, 379, 421, 431, 453, 495, 500, 520]"
3,0.6433828589,16,"['CFD simulation result', 'city temperature prediction model', 'conventional urban environmental study', 'heating', 'improved urban natural ventilation', 'land surface temperature', 'Mediterranean climate', 'microclimate', 'new Dynamic urban Thermal Exposure index', 'outdoor thermal comfort', 'sustainable travel', 'thermal comfort prediction', 'urban block carbon emission', 'urban heat island', 'urban heat island study', 'urban thermal environment mitigation planning']",13,"[10, 62, 102, 178, 201, 338, 371, 431, 453, 454, 500, 512, 520]"
4,0.0589676602,18,"['BEF', 'BRT modelling', 'CFD simulation', 'CO2 emission', 'Cold air path identification', 'energy efficiency', 'energy engineering modeling', 'EnergyPlus and Scikit', 'environment determinant', 'heat', 'important mitigation aspect', 'indoor and outdoor wind environment', 'multispectral and spatial vector data', 'power market design', 'UHI concept', 'UHI definition', 'wind direction', 'wind speed']",13,"[10, 62, 102, 178, 201, 228, 338, 379, 454, 495, 500, 512, 520]"
5,-0.4979029258,5,"['carbon sequestration potential', 'current building standard', 'Korean peninsula', 'smartphone location data', 'wide geospatial energy consumption']",5,"[62, 421, 453, 495, 512]"
