cluster,doc_ids,count,score
1,"[98, 149, 284, 385, 466, 471, 518, 568, 573, 579, 583]",11,0.6393176176
2,"[45, 88, 122, 136, 177, 180, 189, 219, 227, 270, 324, 345, 368, 375, 412, 470, 472, 486, 508, 509, 520]",21,0.4049834782
3,"[2, 5, 6, 10, 11, 12, 14, 15, 18, 19, 20, 21, 24, 26, 27, 29, 32, 34, 35, 36, 40, 41, 42, 47, 50, 51, 53, 54, 55, 58, 61, 64, 67, 68, 70, 71, 75, 76, 78, 80, 81, 83, 84, 86, 91, 94, 95, 97, 101, 105, 107, 108, 111, 113, 117, 124, 128, 131, 133, 140, 142, 156, 157, 158, 163, 166, 167, 168, 173, 174, 175, 178, 181, 191, 193, 197, 199, 203, 205, 207, 210, 213, 218, 221, 223, 225, 235, 241, 246, 250, 253, 254, 255, 257, 265, 268, 275, 277, 278, 279, 285, 286, 288, 292, 295, 315, 322, 323, 332, 333, 335, 338, 349, 352, 357, 361, 363, 369, 377, 379, 382, 386, 399, 400, 409, 411, 424, 428, 442, 446, 447, 448, 480, 481, 494, 498, 500, 503, 506, 512, 517, 524, 537, 552, 558, 561, 564, 566, 577, 580, 581, 582, 585, 589]",154,-0.2759287679
