score,keyword
0.7492434,urban land prediction
0.5789842,influence urban thermal
0.5770706,planning sustainable city
0.5133841,pollutant prediction model
0.6056328,approach analysing urban
0.6123047,relation urbanization climate
0.40060335,using classification tree
0.69029146,urban sustainability prediction
0.643931,city modelling residential
0.63122344,city classification classification
0.613659,mitigation urban area
0.7465788,predicting urbanization city
0.5115698,gis artificial neural
0.63389456,intelligence urban planning
0.6369931,urban planning multivariate
0.5291419,urban vegetation important
0.5421936,transformation forest urban
0.6078899,pollution inform urban
0.57785076,applied optimizing urban
0.6240393,urban area analytics
0.44155577,geomorphological characteristic model
0.5742287,urban planning china
0.63777363,quantify urban environment
0.6992203,forecasting urban area
0.3846938,study machine learning
0.5930203,urban spatial pattern
0.5541261,method predicting building
0.58281374,data mining land
0.49573505,machine learning climate
0.69935906,urban change predicting
