min_cluster_size,min_samples,cluster_selection_epsilon,cluster_selection_method,cluster_num,outliers
10,10,0.5,leaf,1,150
10,11,0.0,leaf,10,267
10,11,0.1,leaf,10,267
10,11,0.2,leaf,10,267
10,11,0.3,leaf,8,226
10,11,0.4,leaf,1,126
10,11,0.5,leaf,1,126
10,12,0.0,leaf,8,300
10,12,0.1,leaf,8,300
10,12,0.2,leaf,8,300
10,12,0.3,leaf,7,278
10,12,0.4,leaf,1,174
10,12,0.5,leaf,1,174
10,13,0.0,leaf,8,301
10,13,0.1,leaf,8,301
10,13,0.2,leaf,8,301
10,13,0.3,leaf,7,276
10,13,0.4,leaf,1,172
10,13,0.5,leaf,1,172
10,14,0.0,leaf,7,293
10,14,0.1,leaf,7,293
10,14,0.2,leaf,7,293
10,14,0.3,leaf,7,293
10,14,0.4,leaf,1,157
10,14,0.5,leaf,1,157
10,15,0.0,leaf,8,311
10,15,0.1,leaf,8,311
10,15,0.2,leaf,8,311
10,15,0.3,leaf,8,311
10,15,0.4,leaf,3,193
10,15,0.5,leaf,1,132
10,16,0.0,leaf,7,301
10,16,0.1,leaf,7,301
10,16,0.2,leaf,7,301
10,16,0.3,leaf,7,301
10,16,0.4,leaf,4,214
10,16,0.5,leaf,1,146
10,17,0.0,leaf,7,306
10,17,0.1,leaf,7,306
10,17,0.2,leaf,7,306
10,17,0.3,leaf,7,306
10,17,0.4,leaf,5,226
10,17,0.5,leaf,1,172
10,18,0.0,leaf,7,302
10,18,0.1,leaf,7,302
10,18,0.2,leaf,7,302
10,18,0.3,leaf,7,302
10,18,0.4,leaf,6,249
10,18,0.5,leaf,1,163
10,19,0.0,leaf,7,319
10,19,0.1,leaf,7,319
10,19,0.2,leaf,7,319
10,19,0.3,leaf,7,319
10,19,0.4,leaf,6,261
10,19,0.5,leaf,1,145
10,20,0.0,leaf,7,317
10,20,0.1,leaf,7,317
10,20,0.2,leaf,7,317
10,20,0.3,leaf,7,317
10,20,0.4,leaf,6,251
10,20,0.5,leaf,1,158
