cluster,doc_ids,count,score
1,"[5, 19, 26, 50, 94, 105, 292, 409, 447, 500, 512]",11,0.5172670416
2,"[6, 55, 58, 67, 140, 193, 241, 277, 286, 315, 369, 503, 582, 585]",14,0.3754396285
3,"[20, 53, 95, 128, 205, 207, 275, 285, 288, 333, 352, 379, 561]",13,0.3090495755
4,"[2, 10, 11, 12, 14, 15, 18, 21, 24, 27, 29, 32, 34, 35, 36, 40, 41, 42, 47, 51, 54, 61, 64, 68, 70, 71, 75, 76, 78, 80, 81, 83, 84, 86, 91, 97, 101, 107, 108, 111, 113, 117, 124, 131, 133, 142, 156, 157, 158, 163, 166, 167, 168, 173, 174, 175, 178, 181, 191, 197, 199, 203, 210, 213, 218, 221, 223, 225, 235, 246, 250, 253, 254, 255, 257, 265, 268, 278, 279, 295, 322, 323, 332, 335, 338, 349, 357, 361, 363, 377, 382, 386, 399, 400, 411, 424, 428, 442, 446, 448, 480, 481, 494, 498, 506, 517, 524, 537, 552, 558, 564, 566, 577, 580, 581, 589]",116,-0.3272159934
