,travel,traffic,urban human mobility,mobility,human mobility,bike,transit,transportation mode recognition,trajectory,human mobility data
soundscape,-0.22,-0.13,0.01,0.02,-0.06,-0.03,-0.04,-0.06,-0.06,-0.04
perception,0.07,0.12,0.33,0.21,0.33,0.04,0.05,0.31,0.07,0.36
street,0.15,0.34,0.16,0.04,0.09,0.2,0.19,0.17,0.05,0.16
greenery,-0.03,0.06,0.11,0.04,0.01,0.11,-0.04,-0.02,0.01,-0.02
public space,0.37,0.35,0.47,0.19,0.39,0.2,0.32,0.46,0.13,0.5
street greenery,0.1,0.3,0.19,0.05,0.07,0.23,0.12,0.11,0.04,0.11
human perception,0.2,0.21,0.66,0.24,0.73,0.04,0.11,0.38,0.07,0.7
perceptual,-0.15,-0.07,0.13,0.16,0.19,0.04,-0.11,0.11,0.11,0.21
pedestrian,0.15,0.53,0.25,0.18,0.15,0.37,0.3,0.24,0.06,0.13
street view image,0.25,0.32,0.31,0.1,0.25,0.21,0.19,0.38,0.16,0.37
