,smart infrastructure system,smart infrastructure,infrastructure system,outbreak,smart city network,data sharing,governance,smart,urban governance,air quality
urban planning reform,0.59,0.53,0.6,0.14,0.52,0.31,0.48,0.27,0.77,0.33
expert system,0.67,0.42,0.7,0.14,0.46,0.41,0.39,0.29,0.43,0.4
urban information system,0.76,0.57,0.79,0.16,0.64,0.6,0.4,0.35,0.66,0.5
heterogeneous expert knowledge,0.37,0.31,0.36,0.06,0.31,0.42,0.31,0.21,0.35,0.24
democratic urban land,0.47,0.4,0.49,0.13,0.46,0.28,0.36,0.19,0.67,0.35
expert system approach,0.69,0.47,0.68,0.14,0.51,0.45,0.43,0.37,0.48,0.44
intelligent decision making,0.55,0.5,0.4,0.07,0.56,0.38,0.21,0.55,0.27,0.39
mathematical programming,0.31,0.24,0.28,-0.11,0.31,0.35,0.14,0.21,0.17,0.21
expert,0.25,0.2,0.23,0.11,0.21,0.18,0.24,0.16,0.27,0.21
urban land dynamic,0.55,0.5,0.54,0.07,0.51,0.35,0.33,0.31,0.7,0.4
