,aerial,point cloud,detection,deep,cloud,object,building detection,segmentation,semantic segmentation,airborne
aerial,1.0,0.22,0.2,0.13,0.2,0.16,0.24,0.04,0.08,0.39
point cloud,0.22,1.0,0.26,0.37,0.78,0.39,0.35,-0.06,0.01,0.21
detection,0.2,0.26,1.0,0.13,0.23,0.26,0.77,0.24,0.31,0.34
deep,0.13,0.37,0.13,1.0,0.28,0.22,0.2,-0.05,0.03,0.13
cloud,0.2,0.78,0.23,0.28,1.0,0.27,0.26,-0.02,0.03,0.21
object,0.16,0.39,0.26,0.22,0.27,1.0,0.33,0.12,0.25,0.15
building detection,0.24,0.35,0.77,0.2,0.26,0.33,1.0,0.09,0.18,0.3
segmentation,0.04,-0.06,0.24,-0.05,-0.02,0.12,0.09,1.0,0.82,0.03
semantic segmentation,0.08,0.01,0.31,0.03,0.03,0.25,0.18,0.82,1.0,0.05
airborne,0.39,0.21,0.34,0.13,0.21,0.15,0.3,0.03,0.05,1.0
