,temperature,thermal,cooling,surface temperature,energy,land surface temperature,urban heat island,ventilation,thermal comfort,comfort
aerial,0.06,0.16,0.08,0.19,0.04,0.26,0.18,0.05,0.11,-0.01
point cloud,0.3,0.13,0.25,0.38,0.25,0.43,0.36,0.07,0.17,0.13
detection,0.26,0.37,0.24,0.32,0.13,0.29,0.14,0.34,0.32,0.1
deep,0.2,0.1,0.17,0.34,0.16,0.39,0.27,0.1,0.2,0.22
cloud,0.2,0.1,0.23,0.28,0.16,0.28,0.22,0.11,0.07,-0.01
object,0.24,0.21,0.17,0.35,0.16,0.36,0.2,0.06,0.23,0.14
building detection,0.26,0.34,0.33,0.35,0.27,0.39,0.31,0.38,0.34,0.17
segmentation,-0.01,0.08,0.05,-0.03,-0.15,-0.07,-0.16,0.16,0.05,-0.01
semantic segmentation,0.03,0.1,0.08,0.05,-0.07,0.01,-0.11,0.15,0.08,0.02
airborne,0.08,0.15,0.06,0.17,-0.01,0.18,0.09,0.13,0.11,0.0
