,temperature,thermal,cooling,surface temperature,energy,land surface temperature,urban heat island,ventilation,thermal comfort,comfort
smart urban environment,0.19,0.15,0.16,0.25,0.4,0.37,0.59,0.15,0.24,0.24
urban design problem,0.18,0.22,0.24,0.29,0.33,0.39,0.58,0.19,0.29,0.24
let spatial agent,0.24,0.15,0.18,0.3,0.25,0.36,0.24,0.1,0.22,0.19
game,0.13,-0.05,0.05,0.19,0.15,0.23,0.27,0.04,0.05,0.15
interactive machine learning,0.16,0.11,0.14,0.22,0.18,0.23,0.27,0.11,0.2,0.21
urban aesthetic,0.13,0.14,0.12,0.2,0.17,0.27,0.48,0.1,0.25,0.27
aesthetic,0.11,0.12,0.09,0.15,0.05,0.13,0.09,0.09,0.23,0.25
present study aim,0.23,0.15,0.15,0.29,0.37,0.38,0.39,0.06,0.23,0.22
typical spatial behaviour,0.33,0.24,0.2,0.36,0.21,0.34,0.21,0.2,0.29,0.21
structured simple space,0.2,0.18,0.23,0.32,0.3,0.39,0.31,0.18,0.28,0.27
