,smart urban environment,urban design problem,let spatial agent,game,interactive machine learning,urban aesthetic,aesthetic,present study aim,typical spatial behaviour,structured simple space
stream water quality,0.46,0.48,0.31,0.24,0.32,0.35,0.21,0.43,0.31,0.38
carbon sequestration potential,0.28,0.27,0.25,0.05,0.12,0.15,0.1,0.38,0.25,0.27
flood,0.21,0.25,0.08,0.05,0.07,0.11,-0.05,0.18,0.06,0.1
complexity science research,0.44,0.53,0.32,0.19,0.48,0.38,0.3,0.61,0.38,0.49
automata,0.01,-0.03,0.06,-0.03,0.19,0.0,0.03,-0.13,0.21,0.1
land use change,0.53,0.58,0.49,0.32,0.34,0.36,0.16,0.6,0.35,0.48
mosquito,0.09,0.12,0.04,0.01,0.04,0.07,0.0,0.07,0.09,0.01
analog,0.14,0.17,0.15,0.13,0.3,0.11,0.09,0.11,0.22,0.26
cellular automata,0.14,0.09,0.17,0.05,0.27,0.06,0.04,0.04,0.26,0.19
urban land growth,0.69,0.66,0.28,0.21,0.24,0.59,0.15,0.52,0.26,0.38
