,smart urban environment,urban design problem,let spatial agent,game,interactive machine learning,urban aesthetic,aesthetic,present study aim,typical spatial behaviour,structured simple space
temperature,0.19,0.18,0.24,0.13,0.16,0.13,0.11,0.23,0.33,0.2
thermal,0.15,0.22,0.15,-0.05,0.11,0.14,0.12,0.15,0.24,0.18
cooling,0.16,0.24,0.18,0.05,0.14,0.12,0.09,0.15,0.2,0.23
surface temperature,0.25,0.29,0.3,0.19,0.22,0.2,0.15,0.29,0.36,0.32
energy,0.4,0.33,0.25,0.15,0.18,0.17,0.05,0.37,0.21,0.3
land surface temperature,0.37,0.39,0.36,0.23,0.23,0.27,0.13,0.38,0.34,0.39
urban heat island,0.59,0.58,0.24,0.27,0.27,0.48,0.09,0.39,0.21,0.31
ventilation,0.15,0.19,0.1,0.04,0.11,0.1,0.09,0.06,0.2,0.18
thermal comfort,0.24,0.29,0.22,0.05,0.2,0.25,0.23,0.23,0.29,0.28
comfort,0.24,0.24,0.19,0.15,0.21,0.27,0.25,0.22,0.21,0.27
