,smart city ecosystem,innovation,application area,artificial intelligence technology,smart city initiative,sharing economy,city ecosystem,increasingly turning toward,turning toward specialized,toward specialized technology
urban planning reform,0.49,0.44,0.48,0.39,0.58,0.46,0.44,0.43,0.42,0.46
expert system,0.4,0.27,0.43,0.55,0.4,0.39,0.32,0.33,0.42,0.56
urban information system,0.58,0.39,0.61,0.57,0.57,0.51,0.5,0.41,0.44,0.58
heterogeneous expert knowledge,0.33,0.32,0.38,0.55,0.26,0.3,0.28,0.23,0.33,0.51
democratic urban land,0.47,0.26,0.49,0.29,0.5,0.42,0.46,0.45,0.36,0.35
expert system approach,0.47,0.34,0.48,0.57,0.49,0.45,0.35,0.48,0.55,0.63
intelligent decision making,0.49,0.32,0.43,0.49,0.59,0.36,0.27,0.51,0.48,0.49
mathematical programming,0.21,0.3,0.36,0.38,0.19,0.17,0.13,0.17,0.27,0.36
expert,0.19,0.14,0.21,0.43,0.2,0.18,0.14,0.17,0.28,0.39
urban land dynamic,0.57,0.37,0.57,0.36,0.52,0.43,0.52,0.41,0.37,0.43
