,smart urban environment,urban design problem,let spatial agent,game,interactive machine learning,urban aesthetic,aesthetic,present study aim,typical spatial behaviour,structured simple space
traffic,0.31,0.4,0.26,0.16,0.2,0.2,0.0,0.26,0.23,0.25
traffic light control,0.43,0.51,0.39,0.25,0.36,0.25,0.05,0.47,0.33,0.41
road traffic safety,0.39,0.47,0.25,0.24,0.23,0.25,0.06,0.36,0.18,0.29
traffic control,0.4,0.49,0.36,0.23,0.31,0.22,0.01,0.4,0.29,0.35
traffic control system,0.47,0.56,0.4,0.3,0.41,0.25,0.04,0.47,0.34,0.44
routing,0.05,0.14,0.1,0.1,0.11,0.04,0.02,0.05,0.16,0.18
light control,0.41,0.47,0.39,0.26,0.39,0.23,0.08,0.5,0.33,0.42
traffic safety,0.39,0.47,0.3,0.2,0.21,0.24,0.09,0.35,0.23,0.3
pedestrian,0.3,0.24,0.05,0.1,0.14,0.26,0.1,0.09,0.13,0.22
congestion,0.28,0.39,0.08,0.06,0.03,0.25,0.05,0.13,0.19,0.12
