,smart urban environment,urban design problem,let spatial agent,game,interactive machine learning,urban aesthetic,aesthetic,present study aim,typical spatial behaviour,structured simple space
land cover,0.39,0.44,0.36,0.23,0.2,0.28,0.06,0.4,0.17,0.4
land cover change,0.5,0.55,0.45,0.3,0.27,0.34,0.13,0.55,0.3,0.46
cropland,0.01,-0.05,-0.05,-0.1,-0.22,0.02,-0.03,-0.09,-0.07,-0.06
cover,0.26,0.34,0.3,0.19,0.19,0.19,0.09,0.32,0.16,0.34
land cover map,0.4,0.47,0.41,0.25,0.28,0.26,0.04,0.47,0.25,0.43
annual,0.2,0.22,0.04,0.21,0.14,0.1,-0.01,0.39,0.12,0.17
impervious surface,0.22,0.25,0.14,0.07,0.11,0.24,0.17,0.13,0.21,0.25
green area,0.46,0.48,0.28,0.32,0.22,0.35,0.09,0.38,0.2,0.3
land use change,0.53,0.58,0.49,0.32,0.34,0.36,0.16,0.6,0.35,0.48
annual growth rate,0.37,0.38,0.17,0.23,0.2,0.23,0.04,0.51,0.23,0.26
