,smart city ecosystem,innovation,application area,artificial intelligence technology,smart city initiative,sharing economy,city ecosystem,increasingly turning toward,turning toward specialized,toward specialized technology
travel,0.29,0.14,0.33,0.25,0.37,0.3,0.21,0.28,0.26,0.31
traffic,0.32,0.13,0.34,0.25,0.33,0.3,0.3,0.28,0.26,0.26
urban human mobility,0.49,0.43,0.43,0.43,0.46,0.35,0.44,0.37,0.39,0.47
mobility,0.25,0.36,0.23,0.21,0.22,0.2,0.16,0.15,0.19,0.29
human mobility,0.34,0.39,0.33,0.43,0.33,0.31,0.29,0.31,0.35,0.44
bike,0.17,0.06,0.16,0.02,0.21,0.14,0.11,0.14,0.23,0.2
transit,0.27,0.12,0.29,0.15,0.34,0.18,0.26,0.18,0.18,0.22
transportation mode recognition,0.38,0.36,0.47,0.42,0.43,0.41,0.3,0.35,0.41,0.54
trajectory,0.04,0.05,0.09,0.05,-0.03,0.09,0.04,0.23,0.23,0.19
human mobility data,0.39,0.39,0.45,0.55,0.37,0.44,0.33,0.33,0.38,0.51
