,smart urban environment,urban design problem,let spatial agent,game,interactive machine learning,urban aesthetic,aesthetic,present study aim,typical spatial behaviour,structured simple space
smart urban environment,1.0,0.73,0.31,0.25,0.43,0.64,0.23,0.47,0.37,0.51
urban design problem,0.73,1.0,0.36,0.29,0.44,0.71,0.37,0.57,0.43,0.56
let spatial agent,0.31,0.36,1.0,0.3,0.34,0.2,0.15,0.36,0.55,0.45
game,0.25,0.29,0.3,1.0,0.4,0.14,0.1,0.26,0.18,0.3
interactive machine learning,0.43,0.44,0.34,0.4,1.0,0.25,0.17,0.4,0.34,0.5
urban aesthetic,0.64,0.71,0.2,0.14,0.25,1.0,0.77,0.37,0.38,0.41
aesthetic,0.23,0.37,0.15,0.1,0.17,0.77,1.0,0.22,0.36,0.32
present study aim,0.47,0.57,0.36,0.26,0.4,0.37,0.22,1.0,0.36,0.47
typical spatial behaviour,0.37,0.43,0.55,0.18,0.34,0.38,0.36,0.36,1.0,0.47
structured simple space,0.51,0.56,0.45,0.3,0.5,0.41,0.32,0.47,0.47,1.0
