,topic modeling,retail store placement,store placement problem,syntactic,store,leisure,heterogeneous urban data,store placement,business,functional region
person detection method,0.39,0.23,0.45,0.12,0.19,0.01,0.37,0.32,0.23,0.34
freeway,-0.03,0.04,0.06,-0.06,0.07,0.0,0.1,0.03,0.07,0.02
task scheduling algorithm,0.37,0.14,0.38,0.23,0.1,-0.0,0.32,0.2,0.18,0.26
sustainable smart city,0.23,0.34,0.39,-0.17,0.3,0.21,0.42,0.3,0.49,0.37
urban data management,0.37,0.45,0.49,-0.0,0.3,0.27,0.81,0.36,0.51,0.39
smart city application,0.3,0.41,0.49,-0.11,0.37,0.16,0.45,0.41,0.46,0.32
urban freeway corridor,0.08,0.18,0.2,-0.08,0.15,0.16,0.41,0.13,0.21,0.25
anomaly detection,0.2,0.08,0.25,0.13,0.06,-0.0,0.25,0.13,0.01,0.23
person detection,0.29,0.21,0.4,0.07,0.21,0.03,0.31,0.3,0.2,0.29
freeway corridor,0.01,0.11,0.11,-0.09,0.11,0.06,0.18,0.08,0.12,0.14
