,stream water quality,carbon sequestration potential,flood,complexity science research,automata,land use change,mosquito,analog,cellular automata,urban land growth
smart urban environment,0.46,0.28,0.21,0.44,0.01,0.53,0.09,0.14,0.14,0.69
urban design problem,0.48,0.27,0.25,0.53,-0.03,0.58,0.12,0.17,0.09,0.66
let spatial agent,0.31,0.25,0.08,0.32,0.06,0.49,0.04,0.15,0.17,0.28
game,0.24,0.05,0.05,0.19,-0.03,0.32,0.01,0.13,0.05,0.21
interactive machine learning,0.32,0.12,0.07,0.48,0.19,0.34,0.04,0.3,0.27,0.24
urban aesthetic,0.35,0.15,0.11,0.38,0.0,0.36,0.07,0.11,0.06,0.59
aesthetic,0.21,0.1,-0.05,0.3,0.03,0.16,0.0,0.09,0.04,0.15
present study aim,0.43,0.38,0.18,0.61,-0.13,0.6,0.07,0.11,0.04,0.52
typical spatial behaviour,0.31,0.25,0.06,0.38,0.21,0.35,0.09,0.22,0.26,0.26
structured simple space,0.38,0.27,0.1,0.49,0.1,0.48,0.01,0.26,0.19,0.38
