,landscape pattern,land cover pattern,urban greenness space,landscape,various land cover,dust,sediment yield,urban greenness,sediment,watershed soil erosion
smart urban environment,0.4,0.41,0.63,0.44,0.42,0.19,0.14,0.57,0.1,0.27
urban design problem,0.51,0.53,0.63,0.43,0.49,0.2,0.17,0.5,0.14,0.3
let spatial agent,0.3,0.42,0.28,0.19,0.39,0.16,0.2,0.08,0.12,0.13
game,0.19,0.26,0.1,0.15,0.27,0.08,0.01,-0.07,-0.05,0.05
interactive machine learning,0.28,0.28,0.24,0.19,0.31,0.14,0.04,0.06,0.0,0.06
urban aesthetic,0.44,0.31,0.68,0.51,0.32,0.1,0.13,0.71,0.13,0.27
aesthetic,0.31,0.11,0.32,0.36,0.12,-0.02,0.1,0.31,0.07,0.13
present study aim,0.35,0.46,0.37,0.26,0.51,0.17,0.25,0.19,0.1,0.28
typical spatial behaviour,0.51,0.4,0.36,0.28,0.27,0.08,0.24,0.28,0.22,0.23
structured simple space,0.34,0.48,0.6,0.21,0.45,0.2,0.23,0.22,0.12,0.17
