,aerial,point cloud,detection,deep,cloud,object,building detection,segmentation,semantic segmentation,airborne
urban planning reform,0.11,0.23,0.08,0.22,0.11,0.15,0.31,-0.0,0.01,0.07
expert system,0.16,0.31,0.37,0.19,0.22,0.24,0.42,0.04,0.06,0.22
urban information system,0.22,0.38,0.33,0.24,0.25,0.3,0.48,0.05,0.12,0.2
heterogeneous expert knowledge,0.11,0.22,0.33,0.16,0.18,0.27,0.32,0.15,0.26,0.07
democratic urban land,0.18,0.24,0.02,0.26,0.09,0.19,0.26,-0.12,-0.1,0.04
expert system approach,0.2,0.36,0.39,0.25,0.21,0.32,0.48,0.06,0.11,0.21
intelligent decision making,0.14,0.38,0.21,0.28,0.18,0.32,0.36,-0.04,0.05,0.08
mathematical programming,0.08,0.19,0.18,0.09,0.09,0.35,0.25,0.16,0.32,0.06
expert,0.1,0.11,0.21,0.06,0.07,0.08,0.19,-0.04,-0.05,0.13
urban land dynamic,0.23,0.29,0.14,0.28,0.16,0.28,0.34,0.01,0.08,0.07
