,travel,traffic,urban human mobility,mobility,human mobility,bike,transit,transportation mode recognition,trajectory,human mobility data
temperature,0.12,0.19,0.15,0.11,0.14,0.01,0.11,0.19,0.22,0.22
thermal,-0.02,0.05,0.15,0.14,0.13,0.1,0.19,0.2,0.1,0.18
cooling,0.03,0.2,0.09,0.1,0.06,0.1,0.14,0.2,0.17,0.17
surface temperature,0.15,0.23,0.26,0.18,0.24,0.08,0.16,0.25,0.31,0.31
energy,0.23,0.17,0.33,0.2,0.31,0.06,0.25,0.39,0.12,0.39
land surface temperature,0.23,0.29,0.38,0.21,0.31,0.13,0.22,0.31,0.28,0.37
urban heat island,0.29,0.31,0.5,0.15,0.25,0.23,0.28,0.35,0.04,0.3
ventilation,-0.03,0.18,0.1,0.13,0.09,0.0,0.08,0.19,0.01,0.11
thermal comfort,0.1,0.08,0.25,0.23,0.23,0.17,0.17,0.29,0.07,0.28
comfort,0.2,0.08,0.27,0.25,0.25,0.18,0.05,0.27,-0.02,0.27
