,traffic,traffic light control,road traffic safety,traffic control,traffic control system,routing,light control,traffic safety,pedestrian,congestion
aerial,0.18,0.28,0.2,0.26,0.25,0.13,0.28,0.2,0.09,0.02
point cloud,0.28,0.42,0.31,0.33,0.39,0.1,0.42,0.28,0.05,0.18
detection,0.22,0.31,0.23,0.28,0.36,0.13,0.31,0.29,0.16,0.2
deep,0.11,0.24,0.2,0.16,0.21,-0.06,0.27,0.18,0.06,0.07
cloud,0.2,0.29,0.13,0.19,0.25,0.04,0.28,0.16,-0.0,0.15
object,0.15,0.3,0.11,0.22,0.28,0.1,0.33,0.11,0.04,0.02
building detection,0.32,0.46,0.41,0.42,0.49,0.14,0.45,0.41,0.3,0.18
segmentation,0.04,-0.02,-0.06,0.01,0.05,0.19,-0.07,-0.01,0.07,0.16
semantic segmentation,0.05,0.01,-0.04,0.02,0.08,0.26,-0.02,-0.0,0.08,0.13
airborne,0.18,0.32,0.15,0.27,0.28,0.11,0.34,0.19,-0.02,0.09
